target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
BAC Credomatic,legit_bac-credomatic_20251102T191528.png,BANCO (REF),BAC Credomatic,1.0000001,True,True,False,True
BAC Credomatic,legit_aug_bac-credomatic_v9_20251130T221005.png,BANCO (AUG),BAC Credomatic,0.94281167,True,True,False,False
BAC Credomatic,legit_aug_bac-credomatic_v4_20251130T221005.png,BANCO (AUG),BAC Credomatic,0.9417852,True,True,False,False
BAC Credomatic,legit_aug_bac-credomatic_v0_20251130T221004.png,BANCO (AUG),BAC Credomatic,0.9272319,True,True,False,False
BAC Credomatic,legit_aug_bac-credomatic_v7_20251130T221005.png,BANCO (AUG),BAC Credomatic,0.9160584,True,True,False,False
BAC Credomatic,legit_aug_bac-credomatic_v8_20251130T221005.png,BANCO (AUG),BAC Credomatic,0.89298165,True,True,False,False
BAC Credomatic,legit_aug_bac-credomatic_v3_20251130T221005.png,BANCO (AUG),BAC Credomatic,0.8206908,True,True,False,False
BAC Credomatic,legit_aug_bac-credomatic_v5_20251130T221005.png,BANCO (AUG),BAC Credomatic,0.80657965,True,True,False,False
BAC Credomatic,legit_aug_bac-credomatic_v1_20251130T221004.png,BANCO (AUG),BAC Credomatic,0.79592085,False,False,False,False
BAC Credomatic,legit_aug_bac-credomatic_v2_20251130T221004.png,BANCO (AUG),BAC Credomatic,0.7922024,False,False,False,False
BAC Credomatic,legit_aug_bac-credomatic_v6_20251130T221005.png,BANCO (AUG),BAC Credomatic,0.7449429,False,False,False,False
BAC Credomatic,legit_aug_banco-nacional-panamá_v8_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.71050984,False,False,False,False
BAC Credomatic,legit_aug_banco-nacional-panamá_v6_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.6850569,False,False,False,False
BAC Credomatic,legit_aug_banco-nacional-panamá_v9_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.68325037,False,False,False,False
BAC Credomatic,legit_aug_banco-nacional-panamá_v5_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.6812158,False,False,False,False
BAC Credomatic,legit_aug_banco-nacional-panamá_v7_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.67571056,False,False,False,False
BAC Credomatic,legit_aug_banco-nacional-panamá_v1_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.67567015,False,False,False,False
BAC Credomatic,legit_aug_banco-nacional-panamá_v3_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.67497236,False,False,False,False
BAC Credomatic,legit_aug_banco-bolivariano_v2_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.66830516,False,False,False,False
BAC Credomatic,legit_aug_banco-nacional-panamá_v4_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.6681707,False,False,False,False
BAC Credomatic,legit_aug_banco-bolivariano_v7_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.6646726,False,False,False,False
BAC Credomatic,legit_aug_banco-nacional-panamá_v0_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.66189826,False,False,False,False
BAC Credomatic,legit_aug_banco-bolivariano_v6_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.658468,False,False,False,False
BAC Credomatic,legit_aug_banco-bolivariano_v5_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.6568304,False,False,False,False
BAC Credomatic,legit_aug_banco-santander-uruguay_v3_20251130T221016.png,BANCO (AUG),Banco Santander Uruguay,0.6518146,False,False,False,False
BAC Credomatic,legit_banco-nacional-panam_20251102T192611.png,BANCO (REF),Banco Nacional Panamá,0.65082556,False,False,False,False
BAC Credomatic,legit_aug_banco-bolivariano_v4_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.6497495,False,False,False,False
BAC Credomatic,legit_aug_banco-santander-uruguay_v8_20251130T221016.png,BANCO (AUG),Banco Santander Uruguay,0.64865357,False,False,False,False
BAC Credomatic,legit_aug_banco-bolivariano_v3_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.6477614,False,False,False,False
BAC Credomatic,legit_aug_banco-bolivariano_v1_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.64738524,False,False,False,False
BAC Credomatic,legit_aug_scotiabank-chile_v0_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.64483184,False,False,False,False
BAC Credomatic,legit_aug_banco-bolivariano_v9_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.6431439,False,False,False,False
BAC Credomatic,legit_aug_banco-nacional-panamá_v2_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.64140356,False,False,False,False
BAC Credomatic,legit_aug_banco-azteca_v9_20251130T221008.png,BANCO (AUG),Banco Azteca,0.63874936,False,False,False,False
BAC Credomatic,legit_banco-bolivariano_20251102T194855.png,BANCO (REF),Banco Bolivariano,0.638309,False,False,False,False
BAC Credomatic,legit_aug_banco-azteca_v7_20251130T221008.png,BANCO (AUG),Banco Azteca,0.6375149,False,False,False,False
BAC Credomatic,legit_aug_banco-caja-social_v7_20251130T221020.png,BANCO (AUG),Banco Caja Social,0.63418794,False,False,False,False
BAC Credomatic,legit_aug_banco-nacional-de-costa-rica_v6_20251130T221009.png,BANCO (AUG),Banco Nacional de Costa Rica,0.63215023,False,False,False,False
BAC Credomatic,legit_bbva-colombia_20251102T195957.png,BANCO (REF),BBVA Colombia,0.6319779,False,False,False,False
BAC Credomatic,legit_aug_scotiabank-chile_v9_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.6314063,False,False,False,False
BAC Credomatic,legit_aug_banco-caja-social_v8_20251130T221020.png,BANCO (AUG),Banco Caja Social,0.63119656,False,False,False,False
BAC Credomatic,legit_aug_scotiabank-chile_v6_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.63098085,False,False,False,False
BAC Credomatic,legit_aug_banco-azteca_v6_20251130T221008.png,BANCO (AUG),Banco Azteca,0.63083565,False,False,False,False
BAC Credomatic,legit_aug_banco-azteca_v1_20251130T221008.png,BANCO (AUG),Banco Azteca,0.63071704,False,False,False,False
BAC Credomatic,legit_aug_banco-caja-social_v0_20251130T221020.png,BANCO (AUG),Banco Caja Social,0.6305091,False,False,False,False
BAC Credomatic,legit_aug_banco-nacional-de-costa-rica_v3_20251130T221009.png,BANCO (AUG),Banco Nacional de Costa Rica,0.62971175,False,False,False,False
BAC Credomatic,legit_aug_scotiabank-chile_v4_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.62852836,False,False,False,False
BAC Credomatic,legit_aug_banco-nacional-de-costa-rica_v2_20251130T221009.png,BANCO (AUG),Banco Nacional de Costa Rica,0.62637794,False,False,False,False
BAC Credomatic,legit_aug_banco-santander-uruguay_v6_20251130T221016.png,BANCO (AUG),Banco Santander Uruguay,0.62604797,False,False,False,False
BAC Credomatic,legit_aug_banco-santander-uruguay_v0_20251130T221016.png,BANCO (AUG),Banco Santander Uruguay,0.62600875,False,False,False,False
BAC Credomatic,legit_aug_banco-del-pacífico_v0_20251130T221017.png,BANCO (AUG),Banco del Pacífico,0.6258861,False,False,False,False
BAC Credomatic,legit_aug_bbva-colombia_v5_20251130T221007.png,BANCO (AUG),BBVA Colombia,0.625586,False,False,False,False
BAC Credomatic,legit_aug_banco-santander-argentina_v1_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.6253066,False,False,False,False
BAC Credomatic,legit_banco-santander-uruguay_20251102T193706.png,BANCO (REF),Banco Santander Uruguay,0.62388897,False,False,False,False
BAC Credomatic,legit_aug_banco-del-pacífico_v7_20251130T221018.png,BANCO (AUG),Banco del Pacífico,0.62387955,False,False,False,False
BAC Credomatic,legit_aug_banco-santander-uruguay_v2_20251130T221016.png,BANCO (AUG),Banco Santander Uruguay,0.62367386,False,False,False,False
BAC Credomatic,legit_aug_banco-nacional-de-costa-rica_v1_20251130T221009.png,BANCO (AUG),Banco Nacional de Costa Rica,0.62307525,False,False,False,False
BAC Credomatic,legit_aug_scotiabank-chile_v2_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.62198365,False,False,False,False
BAC Credomatic,legit_aug_banco-azteca_v5_20251130T221008.png,BANCO (AUG),Banco Azteca,0.6209011,False,False,False,False
BAC Credomatic,legit_banco-nacional-de-costa-rica_20251102T192522.png,BANCO (REF),Banco Nacional de Costa Rica,0.6202402,False,False,False,False
BAC Credomatic,legit_aug_bbva-colombia_v0_20251130T221006.png,BANCO (AUG),BBVA Colombia,0.6198102,False,False,False,False
BAC Credomatic,legit_aug_bbva-colombia_v8_20251130T221007.png,BANCO (AUG),BBVA Colombia,0.6197485,False,False,False,False
BAC Credomatic,legit_aug_banco-bolivariano_v8_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.6188193,False,False,False,False
BAC Credomatic,legit_aug_banamex_v3_20251130T221003.png,BANCO (AUG),Banamex,0.6187085,False,False,False,False
BAC Credomatic,legit_aug_banco-nacional-de-costa-rica_v5_20251130T221009.png,BANCO (AUG),Banco Nacional de Costa Rica,0.6186489,False,False,False,False
BAC Credomatic,legit_scotiabank-chile_20251102T191440.png,BANCO (REF),Scotiabank Chile,0.61841786,False,False,False,False
BAC Credomatic,legit_aug_banco-nacional-de-bolivia_v1_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.6181072,False,False,False,False
BAC Credomatic,legit_aug_scotiabank-chile_v1_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.6175707,False,False,False,False
BAC Credomatic,legit_aug_banamex_v4_20251130T221003.png,BANCO (AUG),Banamex,0.6158648,False,False,False,False
BAC Credomatic,legit_aug_scotiabank-chile_v7_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.6156378,False,False,False,False
BAC Credomatic,legit_aug_banco-santander-uruguay_v1_20251130T221016.png,BANCO (AUG),Banco Santander Uruguay,0.61543036,False,False,False,False
BAC Credomatic,legit_banco-del-pac-fico_20251102T194055.png,BANCO (REF),Banco del Pacífico,0.6152596,False,False,False,False
BAC Credomatic,legit_aug_banco-itaú-uruguay_v4_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.6142829,False,False,False,False
BAC Credomatic,legit_aug_banco-del-pacífico_v3_20251130T221017.png,BANCO (AUG),Banco del Pacífico,0.6128132,False,False,False,False
BAC Credomatic,legit_aug_banco-azteca_v2_20251130T221008.png,BANCO (AUG),Banco Azteca,0.6126428,False,False,False,False
BAC Credomatic,legit_aug_banco-del-pacífico_v1_20251130T221017.png,BANCO (AUG),Banco del Pacífico,0.6124879,False,False,False,False
BAC Credomatic,legit_aug_hsbc-méxico_v6_20251130T221004.png,BANCO (AUG),HSBC México,0.611794,False,False,False,False
BAC Credomatic,legit_aug_banco-del-pacífico_v2_20251130T221017.png,BANCO (AUG),Banco del Pacífico,0.61173654,False,False,False,False
BAC Credomatic,legit_aug_banco-guayaquil_v0_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.61160415,False,False,False,False
BAC Credomatic,legit_aug_banco-bolivariano_v0_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.61144423,False,False,False,False
BAC Credomatic,legit_aug_banco-azteca_v3_20251130T221008.png,BANCO (AUG),Banco Azteca,0.6113956,False,False,False,False
BAC Credomatic,legit_aug_scotiabank-chile_v8_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.61108327,False,False,False,False
BAC Credomatic,legit_aug_banco-azteca_v8_20251130T221008.png,BANCO (AUG),Banco Azteca,0.61012805,False,False,False,False
BAC Credomatic,legit_aug_banco-santander-uruguay_v9_20251130T221016.png,BANCO (AUG),Banco Santander Uruguay,0.6099796,False,False,False,False
BAC Credomatic,legit_aug_produbanco_v8_20251130T221018.png,BANCO (AUG),Produbanco,0.6098925,False,False,False,False
BAC Credomatic,legit_banco-azteca_20251102T192503.png,BANCO (REF),Banco Azteca,0.6098379,False,False,False,False
BAC Credomatic,legit_aug_banco-nacional-de-costa-rica_v0_20251130T221008.png,BANCO (AUG),Banco Nacional de Costa Rica,0.6092925,False,False,False,False
BAC Credomatic,legit_aug_banco-santander-argentina_v3_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.6092695,False,False,False,False
BAC Credomatic,legit_aug_banco-santander-uruguay_v7_20251130T221016.png,BANCO (AUG),Banco Santander Uruguay,0.60731757,False,False,False,False
BAC Credomatic,legit_aug_banco-itaú-uruguay_v0_20251130T221016.png,BANCO (AUG),Banco Itaú Uruguay,0.60723114,False,False,False,False
BAC Credomatic,legit_aug_produbanco_v1_20251130T221018.png,BANCO (AUG),Produbanco,0.6071893,False,False,False,False
BAC Credomatic,legit_aug_banco-popular-costa-rica_v5_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.6062132,False,False,False,False
BAC Credomatic,legit_aug_banco-nacional-de-bolivia_v8_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.60607743,False,False,False,False
BAC Credomatic,legit_aug_banco-caja-social_v4_20251130T221020.png,BANCO (AUG),Banco Caja Social,0.6053933,False,False,False,False
BAC Credomatic,legit_aug_produbanco_v6_20251130T221018.png,BANCO (AUG),Produbanco,0.6053501,False,False,False,False
BAC Credomatic,legit_aug_produbanco_v2_20251130T221018.png,BANCO (AUG),Produbanco,0.6042906,False,False,False,False
BAC Credomatic,legit_aug_banco-guayaquil_v4_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.604136,False,False,False,False
BAC Credomatic,legit_aug_banco-ciudad-de-buenos-aires_v5_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.6040566,False,False,False,False
BAC Credomatic,legit_aug_scotiabank-chile_v5_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.6037217,False,False,False,False
BAC Credomatic,random_lenovo-com_20251129T173507.png,RANDOM,unknown,0.60361993,False,False,False,False
BAC Credomatic,legit_aug_banco-santander-uruguay_v4_20251130T221016.png,BANCO (AUG),Banco Santander Uruguay,0.6034266,False,False,False,False
BAC Credomatic,legit_aug_banco-de-crédito-e-inversiones_v0_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.6033264,False,False,False,False
BAC Credomatic,legit_aug_sudameris-paraguay_v8_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.6031532,False,False,False,False
BAC Credomatic,legit_aug_bbva-colombia_v7_20251130T221007.png,BANCO (AUG),BBVA Colombia,0.6030985,False,False,False,False
BAC Credomatic,legit_aug_hsbc-méxico_v4_20251130T221004.png,BANCO (AUG),HSBC México,0.60287774,False,False,False,False
BAC Credomatic,legit_aug_banco-caja-social_v3_20251130T221020.png,BANCO (AUG),Banco Caja Social,0.6028054,False,False,False,False
BAC Credomatic,legit_aug_produbanco_v4_20251130T221018.png,BANCO (AUG),Produbanco,0.6014838,False,False,False,False
BAC Credomatic,legit_aug_banco-santander-uruguay_v5_20251130T221016.png,BANCO (AUG),Banco Santander Uruguay,0.60076565,False,False,False,False
BAC Credomatic,legit_aug_citibank-méxico_v7_20251130T221006.png,BANCO (AUG),Citibank México,0.6007558,False,False,False,False
BAC Credomatic,legit_aug_banco-azteca_v4_20251130T221008.png,BANCO (AUG),Banco Azteca,0.60040885,False,False,False,False
BAC Credomatic,legit_aug_scotiabank-chile_v3_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.599815,False,False,False,False
BAC Credomatic,legit_banamex_20251102T195813.png,BANCO (REF),Banamex,0.59962964,False,False,False,False
BAC Credomatic,legit_aug_banco-bice_v6_20251130T221013.png,BANCO (AUG),Banco Bice,0.59962875,False,False,False,False
BAC Credomatic,legit_aug_citibank-méxico_v6_20251130T221006.png,BANCO (AUG),Citibank México,0.5993798,False,False,False,False
BAC Credomatic,legit_aug_banco-azteca_v0_20251130T221008.png,BANCO (AUG),Banco Azteca,0.5993053,False,False,False,False
BAC Credomatic,legit_aug_sudameris-paraguay_v3_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.5986713,False,False,False,False
BAC Credomatic,legit_aug_banco-nacional-de-costa-rica_v7_20251130T221009.png,BANCO (AUG),Banco Nacional de Costa Rica,0.59849435,False,False,False,False
BAC Credomatic,legit_aug_banco-de-crédito-e-inversiones_v5_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.5982854,False,False,False,False
BAC Credomatic,legit_aug_banco-santander-argentina_v7_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.59820986,False,False,False,False
BAC Credomatic,legit_aug_banco-santander-argentina_v6_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.59723145,False,False,False,False
BAC Credomatic,legit_aug_banco-caja-social_v9_20251130T221020.png,BANCO (AUG),Banco Caja Social,0.5965432,False,False,False,False
BAC Credomatic,legit_banco-ita-uruguay_20251102T193855.png,BANCO (REF),Banco Itaú Uruguay,0.59652793,False,False,False,False
BAC Credomatic,legit_aug_bbva-méxico_v6_20251130T221002.png,BANCO (AUG),BBVA México,0.5963867,False,False,False,False
BAC Credomatic,legit_aug_banco-itaú-uruguay_v7_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.59635514,False,False,False,False
BAC Credomatic,legit_aug_banco-itaú-uruguay_v8_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.59581494,False,False,False,False
BAC Credomatic,legit_aug_hsbc-méxico_v5_20251130T221004.png,BANCO (AUG),HSBC México,0.59573734,False,False,False,False
BAC Credomatic,legit_aug_banamex_v8_20251130T221003.png,BANCO (AUG),Banamex,0.595634,False,False,False,False
BAC Credomatic,legit_aug_banco-santander-argentina_v9_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.5954961,False,False,False,False
BAC Credomatic,legit_colpatria_20251102T193647.png,BANCO (REF),Colpatria,0.59532607,False,False,False,False
BAC Credomatic,legit_aug_banco-ciudad-de-buenos-aires_v0_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.5950512,False,False,False,False
BAC Credomatic,legit_aug_produbanco_v3_20251130T221018.png,BANCO (AUG),Produbanco,0.59453857,False,False,False,False
