target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
BBVA Colombia,legit_bbva-colombia_20251102T195957.png,BANCO (REF),BBVA Colombia,0.9999997,True,True,False,True
BBVA Colombia,legit_aug_bbva-colombia_v5_20251130T221007.png,BANCO (AUG),BBVA Colombia,0.9590048,True,True,False,False
BBVA Colombia,legit_aug_bbva-colombia_v0_20251130T221006.png,BANCO (AUG),BBVA Colombia,0.9508677,True,True,False,False
BBVA Colombia,legit_aug_bbva-colombia_v7_20251130T221007.png,BANCO (AUG),BBVA Colombia,0.94808173,True,True,False,False
BBVA Colombia,legit_aug_bbva-colombia_v8_20251130T221007.png,BANCO (AUG),BBVA Colombia,0.94656193,True,True,False,False
BBVA Colombia,legit_aug_bbva-colombia_v4_20251130T221006.png,BANCO (AUG),BBVA Colombia,0.92275256,True,True,False,False
BBVA Colombia,legit_aug_bbva-colombia_v6_20251130T221007.png,BANCO (AUG),BBVA Colombia,0.91891265,True,True,False,False
BBVA Colombia,legit_aug_bbva-colombia_v2_20251130T221006.png,BANCO (AUG),BBVA Colombia,0.9088179,True,True,False,False
BBVA Colombia,legit_aug_bbva-colombia_v9_20251130T221007.png,BANCO (AUG),BBVA Colombia,0.89998686,True,True,False,False
BBVA Colombia,legit_aug_bbva-colombia_v3_20251130T221006.png,BANCO (AUG),BBVA Colombia,0.8824662,True,True,False,False
BBVA Colombia,legit_aug_bbva-colombia_v1_20251130T221006.png,BANCO (AUG),BBVA Colombia,0.87473786,True,True,False,False
BBVA Colombia,legit_bbva-m-xico_20251102T190939.png,BANCO (REF),BBVA México,0.7819903,False,False,False,False
BBVA Colombia,legit_aug_banco-nacional-panamá_v8_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.7749607,False,False,False,False
BBVA Colombia,legit_aug_banco-nacional-panamá_v5_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.76974535,False,False,False,False
BBVA Colombia,legit_aug_bbva-méxico_v5_20251130T221002.png,BANCO (AUG),BBVA México,0.7696388,False,False,False,False
BBVA Colombia,legit_aug_bbva-méxico_v8_20251130T221002.png,BANCO (AUG),BBVA México,0.7677758,False,False,False,False
BBVA Colombia,legit_aug_bbva-méxico_v6_20251130T221002.png,BANCO (AUG),BBVA México,0.76683486,False,False,False,False
BBVA Colombia,legit_aug_bbva-méxico_v2_20251130T221002.png,BANCO (AUG),BBVA México,0.76566505,False,False,False,False
BBVA Colombia,legit_aug_banco-bolivariano_v2_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.7637521,False,False,False,False
BBVA Colombia,legit_aug_bbva-méxico_v1_20251130T221002.png,BANCO (AUG),BBVA México,0.75731647,False,False,False,False
BBVA Colombia,legit_aug_banco-nacional-panamá_v6_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.7554022,False,False,False,False
BBVA Colombia,legit_aug_banco-nacional-panamá_v1_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.75330794,False,False,False,False
BBVA Colombia,legit_aug_banco-nacional-panamá_v9_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.7532502,False,False,False,False
BBVA Colombia,legit_aug_banco-de-chile_v6_20251130T221003.png,BANCO (AUG),Banco de Chile,0.7474337,False,False,False,False
BBVA Colombia,legit_aug_banco-bolivariano_v4_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.7473279,False,False,False,False
BBVA Colombia,legit_aug_banco-guayaquil_v3_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.74710256,False,False,False,False
