target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
BBVA México,legit_bbva-m-xico_20251102T190939.png,BANCO (REF),BBVA México,0.9999999,True,True,False,True
BBVA México,legit_aug_bbva-méxico_v2_20251130T221002.png,BANCO (AUG),BBVA México,0.95972526,True,True,False,False
BBVA México,legit_aug_bbva-méxico_v8_20251130T221002.png,BANCO (AUG),BBVA México,0.95661575,True,True,False,False
BBVA México,legit_aug_bbva-méxico_v6_20251130T221002.png,BANCO (AUG),BBVA México,0.92545795,True,True,False,False
BBVA México,legit_aug_bbva-méxico_v1_20251130T221002.png,BANCO (AUG),BBVA México,0.92119586,True,True,False,False
BBVA México,legit_aug_bbva-méxico_v5_20251130T221002.png,BANCO (AUG),BBVA México,0.9181299,True,True,False,False
BBVA México,legit_aug_bbva-méxico_v7_20251130T221002.png,BANCO (AUG),BBVA México,0.91184497,True,True,False,False
BBVA México,legit_aug_bbva-méxico_v3_20251130T221002.png,BANCO (AUG),BBVA México,0.91040844,True,True,False,False
BBVA México,legit_aug_bbva-méxico_v9_20251130T221002.png,BANCO (AUG),BBVA México,0.90394425,True,True,False,False
BBVA México,legit_aug_bbva-méxico_v0_20251130T221002.png,BANCO (AUG),BBVA México,0.90069073,True,True,False,False
BBVA México,legit_aug_bbva-méxico_v4_20251130T221002.png,BANCO (AUG),BBVA México,0.8694083,True,True,False,False
BBVA México,legit_aug_bbva-colombia_v2_20251130T221006.png,BANCO (AUG),BBVA Colombia,0.82656074,True,False,True,False
BBVA México,legit_aug_bbva-colombia_v4_20251130T221006.png,BANCO (AUG),BBVA Colombia,0.81630844,True,False,True,False
BBVA México,legit_aug_bbva-colombia_v6_20251130T221007.png,BANCO (AUG),BBVA Colombia,0.8092375,True,False,True,False
BBVA México,legit_aug_bbva-colombia_v9_20251130T221007.png,BANCO (AUG),BBVA Colombia,0.8046136,True,False,True,False
BBVA México,legit_aug_bbva-colombia_v3_20251130T221006.png,BANCO (AUG),BBVA Colombia,0.79739887,False,False,False,False
BBVA México,legit_aug_bbva-colombia_v1_20251130T221006.png,BANCO (AUG),BBVA Colombia,0.79676247,False,False,False,False
BBVA México,legit_aug_bbva-colombia_v7_20251130T221007.png,BANCO (AUG),BBVA Colombia,0.7884331,False,False,False,False
BBVA México,legit_bbva-colombia_20251102T195957.png,BANCO (REF),BBVA Colombia,0.7819903,False,False,False,False
BBVA México,legit_aug_bbva-colombia_v0_20251130T221006.png,BANCO (AUG),BBVA Colombia,0.7662106,False,False,False,False
BBVA México,legit_aug_bbva-colombia_v8_20251130T221007.png,BANCO (AUG),BBVA Colombia,0.7640267,False,False,False,False
