target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
BanBif,legit_banbif_20251102T194347.png,BANCO (REF),BanBif,1.0000002,True,True,False,True
BanBif,legit_aug_banbif_v1_20251130T221019.png,BANCO (AUG),BanBif,0.9602623,True,True,False,False
BanBif,legit_aug_banbif_v4_20251130T221019.png,BANCO (AUG),BanBif,0.95954084,True,True,False,False
BanBif,legit_aug_banbif_v2_20251130T221019.png,BANCO (AUG),BanBif,0.95862395,True,True,False,False
BanBif,legit_aug_banbif_v9_20251130T221019.png,BANCO (AUG),BanBif,0.9535468,True,True,False,False
BanBif,legit_aug_banbif_v0_20251130T221019.png,BANCO (AUG),BanBif,0.9510736,True,True,False,False
BanBif,legit_aug_banbif_v5_20251130T221019.png,BANCO (AUG),BanBif,0.9502928,True,True,False,False
BanBif,legit_aug_banbif_v3_20251130T221019.png,BANCO (AUG),BanBif,0.9482253,True,True,False,False
BanBif,legit_aug_banbif_v7_20251130T221019.png,BANCO (AUG),BanBif,0.94124,True,True,False,False
BanBif,legit_aug_banbif_v8_20251130T221019.png,BANCO (AUG),BanBif,0.92819285,True,True,False,False
BanBif,legit_aug_banbif_v6_20251130T221019.png,BANCO (AUG),BanBif,0.9242545,True,True,False,False
BanBif,legit_aug_banco-agromercantil_v8_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.71031237,False,False,False,False
BanBif,legit_aug_banco-agromercantil_v2_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.7043303,False,False,False,False
BanBif,legit_aug_banco-agromercantil_v6_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.7033148,False,False,False,False
BanBif,legit_aug_banco-agromercantil_v4_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.69933206,False,False,False,False
BanBif,legit_aug_banco-agromercantil_v1_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.6980102,False,False,False,False
