target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banamex,legit_banamex_20251102T195813.png,BANCO (REF),Banamex,1.0000002,True,True,False,True
Banamex,legit_aug_banamex_v1_20251130T221003.png,BANCO (AUG),Banamex,0.91582656,True,True,False,False
Banamex,legit_aug_banamex_v9_20251130T221003.png,BANCO (AUG),Banamex,0.91388303,True,True,False,False
Banamex,legit_aug_banamex_v8_20251130T221003.png,BANCO (AUG),Banamex,0.9089787,True,True,False,False
Banamex,legit_citibank-m-xico_20251102T195922.png,BANCO (REF),Citibank México,0.9054911,True,False,True,False
Banamex,legit_aug_banamex_v2_20251130T221003.png,BANCO (AUG),Banamex,0.90414155,True,True,False,False
Banamex,legit_aug_banamex_v5_20251130T221003.png,BANCO (AUG),Banamex,0.89733016,True,True,False,False
Banamex,legit_aug_banamex_v4_20251130T221003.png,BANCO (AUG),Banamex,0.88960814,True,True,False,False
Banamex,legit_aug_banamex_v6_20251130T221003.png,BANCO (AUG),Banamex,0.8853451,True,True,False,False
Banamex,legit_aug_banamex_v0_20251130T221003.png,BANCO (AUG),Banamex,0.8836261,True,True,False,False
Banamex,legit_aug_citibank-méxico_v2_20251130T221006.png,BANCO (AUG),Citibank México,0.8699597,True,False,True,False
Banamex,legit_aug_banamex_v3_20251130T221003.png,BANCO (AUG),Banamex,0.86319685,True,True,False,False
Banamex,legit_aug_citibank-méxico_v1_20251130T221006.png,BANCO (AUG),Citibank México,0.8567215,True,False,True,False
Banamex,legit_aug_banamex_v7_20251130T221003.png,BANCO (AUG),Banamex,0.8543953,True,True,False,False
Banamex,legit_aug_citibank-méxico_v3_20251130T221006.png,BANCO (AUG),Citibank México,0.85232794,True,False,True,False
Banamex,legit_aug_citibank-méxico_v5_20251130T221006.png,BANCO (AUG),Citibank México,0.8311486,True,False,True,False
Banamex,legit_aug_citibank-méxico_v8_20251130T221006.png,BANCO (AUG),Citibank México,0.8301761,True,False,True,False
Banamex,legit_aug_banco-bolivariano_v8_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.8178484,True,False,True,False
Banamex,legit_aug_citibank-méxico_v9_20251130T221006.png,BANCO (AUG),Citibank México,0.81674814,True,False,True,False
Banamex,legit_aug_citibank-méxico_v0_20251130T221006.png,BANCO (AUG),Citibank México,0.8152437,True,False,True,False
Banamex,legit_aug_citibank-méxico_v6_20251130T221006.png,BANCO (AUG),Citibank México,0.8074614,True,False,True,False
Banamex,legit_aug_banco-azteca_v9_20251130T221008.png,BANCO (AUG),Banco Azteca,0.8011013,True,False,True,False
Banamex,legit_aug_banco-nacional-panamá_v5_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.7998102,False,False,False,False
