target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banca Afirme,legit_banca-afirme_20251102T200113.png,BANCO (REF),Banca Afirme,1.0000002,True,True,False,True
Banca Afirme,legit_aug_banca-afirme_v2_20251130T221011.png,BANCO (AUG),Banca Afirme,0.96533614,True,True,False,False
Banca Afirme,legit_aug_banca-afirme_v0_20251130T221010.png,BANCO (AUG),Banca Afirme,0.9649155,True,True,False,False
Banca Afirme,legit_aug_banca-afirme_v3_20251130T221011.png,BANCO (AUG),Banca Afirme,0.952461,True,True,False,False
Banca Afirme,legit_aug_banca-afirme_v6_20251130T221011.png,BANCO (AUG),Banca Afirme,0.9516237,True,True,False,False
Banca Afirme,legit_aug_banca-afirme_v1_20251130T221010.png,BANCO (AUG),Banca Afirme,0.94419396,True,True,False,False
Banca Afirme,legit_aug_banca-afirme_v5_20251130T221011.png,BANCO (AUG),Banca Afirme,0.9399848,True,True,False,False
Banca Afirme,legit_aug_banca-afirme_v9_20251130T221011.png,BANCO (AUG),Banca Afirme,0.93734705,True,True,False,False
Banca Afirme,legit_aug_banca-afirme_v8_20251130T221011.png,BANCO (AUG),Banca Afirme,0.932648,True,True,False,False
Banca Afirme,legit_aug_banca-afirme_v4_20251130T221011.png,BANCO (AUG),Banca Afirme,0.9132998,True,True,False,False
Banca Afirme,legit_aug_banca-afirme_v7_20251130T221011.png,BANCO (AUG),Banca Afirme,0.8863995,True,True,False,False
Banca Afirme,legit_aug_citibank-méxico_v7_20251130T221006.png,BANCO (AUG),Citibank México,0.65393245,False,False,False,False
Banca Afirme,legit_banco-ita-uruguay_20251102T193855.png,BANCO (REF),Banco Itaú Uruguay,0.64894557,False,False,False,False
Banca Afirme,legit_aug_citibank-méxico_v6_20251130T221006.png,BANCO (AUG),Citibank México,0.6451601,False,False,False,False
Banca Afirme,legit_aug_banco-itaú-uruguay_v9_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.64389646,False,False,False,False
Banca Afirme,legit_citibank-m-xico_20251102T195922.png,BANCO (REF),Citibank México,0.6424427,False,False,False,False
Banca Afirme,legit_aug_banco-itaú-uruguay_v2_20251130T221016.png,BANCO (AUG),Banco Itaú Uruguay,0.6369493,False,False,False,False
Banca Afirme,legit_aug_banco-itaú-uruguay_v5_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.6369189,False,False,False,False
Banca Afirme,legit_aug_banco-azteca_v3_20251130T221008.png,BANCO (AUG),Banco Azteca,0.63407195,False,False,False,False
Banca Afirme,legit_aug_banco-itaú-uruguay_v3_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.6329946,False,False,False,False
Banca Afirme,legit_aug_banco-azteca_v8_20251130T221008.png,BANCO (AUG),Banco Azteca,0.63144886,False,False,False,False
Banca Afirme,legit_aug_gnb-sudameris_v0_20251130T221011.png,BANCO (AUG),GNB Sudameris,0.62915754,False,False,False,False
Banca Afirme,legit_aug_produbanco_v0_20251130T221018.png,BANCO (AUG),Produbanco,0.625786,False,False,False,False
Banca Afirme,legit_aug_banco-de-crédito-e-inversiones_v0_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.6238462,False,False,False,False
Banca Afirme,legit_aug_citibank-méxico_v0_20251130T221006.png,BANCO (AUG),Citibank México,0.6238236,False,False,False,False
Banca Afirme,legit_aug_banco-itaú-uruguay_v6_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.62242496,False,False,False,False
Banca Afirme,legit_aug_gnb-sudameris_v7_20251130T221012.png,BANCO (AUG),GNB Sudameris,0.62223935,False,False,False,False
Banca Afirme,legit_aug_banco-de-crédito-e-inversiones_v6_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.6208463,False,False,False,False
Banca Afirme,legit_aug_banco-azteca_v4_20251130T221008.png,BANCO (AUG),Banco Azteca,0.6208372,False,False,False,False
Banca Afirme,legit_banamex_20251102T195813.png,BANCO (REF),Banamex,0.62059057,False,False,False,False
Banca Afirme,legit_aug_banco-azteca_v1_20251130T221008.png,BANCO (AUG),Banco Azteca,0.61986434,False,False,False,False
Banca Afirme,legit_aug_banco-de-crédito-e-inversiones_v2_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.6195445,False,False,False,False
Banca Afirme,legit_aug_produbanco_v1_20251130T221018.png,BANCO (AUG),Produbanco,0.6171895,False,False,False,False
Banca Afirme,legit_aug_banco-de-crédito-e-inversiones_v3_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.61679053,False,False,False,False
Banca Afirme,legit_aug_banco-itaú-uruguay_v1_20251130T221016.png,BANCO (AUG),Banco Itaú Uruguay,0.6167623,False,False,False,False
Banca Afirme,legit_aug_banco-itaú-uruguay_v7_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.61550975,False,False,False,False
Banca Afirme,legit_aug_banco-azteca_v9_20251130T221008.png,BANCO (AUG),Banco Azteca,0.61427927,False,False,False,False
Banca Afirme,legit_aug_banco-itaú-uruguay_v0_20251130T221016.png,BANCO (AUG),Banco Itaú Uruguay,0.61398387,False,False,False,False
Banca Afirme,legit_banco-azteca_20251102T192503.png,BANCO (REF),Banco Azteca,0.61249375,False,False,False,False
