target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Agromercantil,legit_banco-agromercantil_20251102T194301.png,BANCO (REF),Banco Agromercantil,0.99999994,True,True,False,True
Banco Agromercantil,legit_aug_banco-agromercantil_v1_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.96482,True,True,False,False
Banco Agromercantil,legit_aug_banco-agromercantil_v7_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.95938206,True,True,False,False
Banco Agromercantil,legit_aug_banco-agromercantil_v2_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.9547116,True,True,False,False
Banco Agromercantil,legit_aug_banco-agromercantil_v0_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.95385945,True,True,False,False
Banco Agromercantil,legit_aug_banco-agromercantil_v3_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.9521929,True,True,False,False
Banco Agromercantil,legit_aug_banco-agromercantil_v8_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.95155954,True,True,False,False
Banco Agromercantil,legit_aug_banco-agromercantil_v4_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.9498977,True,True,False,False
Banco Agromercantil,legit_aug_banco-agromercantil_v5_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.9463985,True,True,False,False
Banco Agromercantil,legit_aug_banco-agromercantil_v9_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.94501054,True,True,False,False
Banco Agromercantil,legit_aug_banco-agromercantil_v6_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.93589175,True,True,False,False
Banco Agromercantil,legit_aug_banbif_v9_20251130T221019.png,BANCO (AUG),BanBif,0.6869051,False,False,False,False
Banco Agromercantil,legit_banbif_20251102T194347.png,BANCO (REF),BanBif,0.6855259,False,False,False,False
Banco Agromercantil,legit_aug_banbif_v4_20251130T221019.png,BANCO (AUG),BanBif,0.6819457,False,False,False,False
Banco Agromercantil,legit_aug_banbif_v2_20251130T221019.png,BANCO (AUG),BanBif,0.6817982,False,False,False,False
Banco Agromercantil,legit_aug_banbif_v3_20251130T221019.png,BANCO (AUG),BanBif,0.6801882,False,False,False,False
Banco Agromercantil,legit_aug_banbif_v5_20251130T221019.png,BANCO (AUG),BanBif,0.6759262,False,False,False,False
Banco Agromercantil,legit_aug_banbif_v7_20251130T221019.png,BANCO (AUG),BanBif,0.6700329,False,False,False,False
Banco Agromercantil,legit_aug_banrural_v8_20251130T221010.png,BANCO (AUG),Banrural,0.669651,False,False,False,False
Banco Agromercantil,legit_aug_banbif_v1_20251130T221019.png,BANCO (AUG),BanBif,0.6689887,False,False,False,False
Banco Agromercantil,legit_aug_banco-provincia_v9_20251130T221013.png,BANCO (AUG),Banco Provincia,0.66694564,False,False,False,False
Banco Agromercantil,legit_aug_banco-provincia_v7_20251130T221013.png,BANCO (AUG),Banco Provincia,0.6650368,False,False,False,False
Banco Agromercantil,legit_aug_banbif_v0_20251130T221019.png,BANCO (AUG),BanBif,0.66451055,False,False,False,False
Banco Agromercantil,legit_aug_banco-provincia_v8_20251130T221013.png,BANCO (AUG),Banco Provincia,0.66133213,False,False,False,False
Banco Agromercantil,legit_aug_banistmo_v5_20251130T221014.png,BANCO (AUG),Banistmo,0.6566621,False,False,False,False
Banco Agromercantil,legit_banco-provincia_20251102T193232.png,BANCO (REF),Banco Provincia,0.6566477,False,False,False,False
Banco Agromercantil,legit_aug_banrural_v0_20251130T221010.png,BANCO (AUG),Banrural,0.65651095,False,False,False,False
Banco Agromercantil,legit_aug_banrural_v2_20251130T221010.png,BANCO (AUG),Banrural,0.6560801,False,False,False,False
Banco Agromercantil,legit_aug_banrural_v9_20251130T221010.png,BANCO (AUG),Banrural,0.6559126,False,False,False,False
Banco Agromercantil,legit_aug_banco-provincia_v0_20251130T221013.png,BANCO (AUG),Banco Provincia,0.65463567,False,False,False,False
Banco Agromercantil,legit_aug_banbif_v6_20251130T221019.png,BANCO (AUG),BanBif,0.6543851,False,False,False,False
Banco Agromercantil,legit_aug_banrural_v1_20251130T221010.png,BANCO (AUG),Banrural,0.6519737,False,False,False,False
Banco Agromercantil,legit_aug_banistmo_v0_20251130T221014.png,BANCO (AUG),Banistmo,0.65183556,False,False,False,False
Banco Agromercantil,legit_aug_banbif_v8_20251130T221019.png,BANCO (AUG),BanBif,0.6503618,False,False,False,False
Banco Agromercantil,legit_banco-internacional-chile_20251102T194936.png,BANCO (REF),Banco Internacional Chile,0.65032226,False,False,False,False
Banco Agromercantil,legit_aug_bbva-méxico_v6_20251130T221002.png,BANCO (AUG),BBVA México,0.6488886,False,False,False,False
Banco Agromercantil,legit_aug_banrural_v7_20251130T221010.png,BANCO (AUG),Banrural,0.64782506,False,False,False,False
Banco Agromercantil,legit_aug_banco-consorcio_v9_20251130T221017.png,BANCO (AUG),Banco Consorcio,0.6473489,False,False,False,False
Banco Agromercantil,legit_aug_banco-provincia_v3_20251130T221013.png,BANCO (AUG),Banco Provincia,0.6473011,False,False,False,False
Banco Agromercantil,legit_aug_produbanco_v9_20251130T221018.png,BANCO (AUG),Produbanco,0.64697766,False,False,False,False
Banco Agromercantil,legit_aug_banistmo_v6_20251130T221014.png,BANCO (AUG),Banistmo,0.64555204,False,False,False,False
Banco Agromercantil,legit_aug_banco-provincia_v6_20251130T221013.png,BANCO (AUG),Banco Provincia,0.64516526,False,False,False,False
Banco Agromercantil,legit_aug_banrural_v6_20251130T221010.png,BANCO (AUG),Banrural,0.6449441,False,False,False,False
Banco Agromercantil,legit_aug_banco-consorcio_v4_20251130T221017.png,BANCO (AUG),Banco Consorcio,0.6444477,False,False,False,False
Banco Agromercantil,legit_aug_banco-consorcio_v8_20251130T221017.png,BANCO (AUG),Banco Consorcio,0.6436304,False,False,False,False
Banco Agromercantil,legit_aug_banco-consorcio_v5_20251130T221017.png,BANCO (AUG),Banco Consorcio,0.6427807,False,False,False,False
Banco Agromercantil,legit_aug_banistmo_v9_20251130T221014.png,BANCO (AUG),Banistmo,0.6424206,False,False,False,False
Banco Agromercantil,legit_aug_banco-consorcio_v2_20251130T221017.png,BANCO (AUG),Banco Consorcio,0.64182925,False,False,False,False
Banco Agromercantil,legit_aug_banco-provincia_v2_20251130T221013.png,BANCO (AUG),Banco Provincia,0.6417519,False,False,False,False
Banco Agromercantil,legit_aug_banistmo_v2_20251130T221014.png,BANCO (AUG),Banistmo,0.6407526,False,False,False,False
Banco Agromercantil,legit_aug_banrural_v3_20251130T221010.png,BANCO (AUG),Banrural,0.6405133,False,False,False,False
Banco Agromercantil,legit_aug_banco-provincia_v4_20251130T221013.png,BANCO (AUG),Banco Provincia,0.6400927,False,False,False,False
Banco Agromercantil,legit_aug_banistmo_v7_20251130T221014.png,BANCO (AUG),Banistmo,0.6388551,False,False,False,False
Banco Agromercantil,legit_aug_banco-popular-costa-rica_v2_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.6385021,False,False,False,False
Banco Agromercantil,legit_aug_banistmo_v4_20251130T221014.png,BANCO (AUG),Banistmo,0.63838285,False,False,False,False
Banco Agromercantil,legit_aug_banco-consorcio_v6_20251130T221017.png,BANCO (AUG),Banco Consorcio,0.63795495,False,False,False,False
Banco Agromercantil,legit_aug_banco-consorcio_v3_20251130T221017.png,BANCO (AUG),Banco Consorcio,0.6377511,False,False,False,False
Banco Agromercantil,legit_bbva-m-xico_20251102T190939.png,BANCO (REF),BBVA México,0.63660014,False,False,False,False
Banco Agromercantil,legit_aug_banistmo_v1_20251130T221014.png,BANCO (AUG),Banistmo,0.6363924,False,False,False,False
Banco Agromercantil,legit_aug_banco-consorcio_v7_20251130T221017.png,BANCO (AUG),Banco Consorcio,0.6363225,False,False,False,False
Banco Agromercantil,legit_sudameris-paraguay_20251102T194916.png,BANCO (REF),Sudameris Paraguay,0.6362339,False,False,False,False
Banco Agromercantil,legit_aug_banco-consorcio_v0_20251130T221017.png,BANCO (AUG),Banco Consorcio,0.63611233,False,False,False,False
Banco Agromercantil,legit_aug_banco-ciudad-de-buenos-aires_v4_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.6355678,False,False,False,False
Banco Agromercantil,legit_aug_banco-provincia_v1_20251130T221013.png,BANCO (AUG),Banco Provincia,0.6346121,False,False,False,False
Banco Agromercantil,legit_aug_banco-popular-costa-rica_v5_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.6342534,False,False,False,False
Banco Agromercantil,legit_aug_banco-itaú-chile_v7_20251130T221004.png,BANCO (AUG),Banco Itaú Chile,0.6325859,False,False,False,False
Banco Agromercantil,legit_aug_banco-consorcio_v1_20251130T221017.png,BANCO (AUG),Banco Consorcio,0.63216156,False,False,False,False
Banco Agromercantil,legit_aug_hsbc-méxico_v4_20251130T221004.png,BANCO (AUG),HSBC México,0.63156694,False,False,False,False
Banco Agromercantil,legit_aug_hsbc-méxico_v1_20251130T221004.png,BANCO (AUG),HSBC México,0.63143134,False,False,False,False
Banco Agromercantil,legit_aug_banrural_v5_20251130T221010.png,BANCO (AUG),Banrural,0.6306295,False,False,False,False
Banco Agromercantil,legit_aug_bbva-méxico_v7_20251130T221002.png,BANCO (AUG),BBVA México,0.6305394,False,False,False,False
Banco Agromercantil,legit_aug_banco-provincia_v5_20251130T221013.png,BANCO (AUG),Banco Provincia,0.6304018,False,False,False,False
Banco Agromercantil,legit_aug_bbva-méxico_v1_20251130T221002.png,BANCO (AUG),BBVA México,0.63036126,False,False,False,False
Banco Agromercantil,legit_aug_banco-bolivariano_v8_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.63015413,False,False,False,False
Banco Agromercantil,legit_aug_bbva-colombia_v4_20251130T221006.png,BANCO (AUG),BBVA Colombia,0.63004756,False,False,False,False
Banco Agromercantil,legit_aug_banco-ciudad-de-buenos-aires_v3_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.62983125,False,False,False,False
Banco Agromercantil,legit_banco-bolivariano_20251102T194855.png,BANCO (REF),Banco Bolivariano,0.62954676,False,False,False,False
Banco Agromercantil,legit_aug_bbva-colombia_v2_20251130T221006.png,BANCO (AUG),BBVA Colombia,0.62893015,False,False,False,False
Banco Agromercantil,legit_aug_banco-bice_v8_20251130T221013.png,BANCO (AUG),Banco Bice,0.62881494,False,False,False,False
Banco Agromercantil,legit_aug_hsbc-méxico_v2_20251130T221004.png,BANCO (AUG),HSBC México,0.627163,False,False,False,False
Banco Agromercantil,legit_aug_banco-falabella_v4_20251130T221015.png,BANCO (AUG),Banco Falabella,0.6263071,False,False,False,False
Banco Agromercantil,legit_aug_banco-falabella_v2_20251130T221015.png,BANCO (AUG),Banco Falabella,0.62596095,False,False,False,False
Banco Agromercantil,legit_aug_banco-popular-costa-rica_v0_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.6258053,False,False,False,False
Banco Agromercantil,legit_banco-consorcio_20251102T193919.png,BANCO (REF),Banco Consorcio,0.62563425,False,False,False,False
Banco Agromercantil,legit_aug_bbva-méxico_v3_20251130T221002.png,BANCO (AUG),BBVA México,0.62548923,False,False,False,False
Banco Agromercantil,legit_aug_bbva-méxico_v5_20251130T221002.png,BANCO (AUG),BBVA México,0.6249145,False,False,False,False
Banco Agromercantil,legit_aug_banco-bice_v7_20251130T221013.png,BANCO (AUG),Banco Bice,0.6248382,False,False,False,False
Banco Agromercantil,legit_aug_banco-popular-costa-rica_v4_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.62476575,False,False,False,False
Banco Agromercantil,legit_aug_banco-guayaquil_v4_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.6238706,False,False,False,False
Banco Agromercantil,legit_banrural_20251102T192634.png,BANCO (REF),Banrural,0.6233788,False,False,False,False
Banco Agromercantil,legit_aug_banistmo_v8_20251130T221014.png,BANCO (AUG),Banistmo,0.6223533,False,False,False,False
Banco Agromercantil,legit_aug_banco-ciudad-de-buenos-aires_v5_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.62229717,False,False,False,False
Banco Agromercantil,legit_aug_bbva-méxico_v8_20251130T221002.png,BANCO (AUG),BBVA México,0.62200594,False,False,False,False
Banco Agromercantil,legit_aug_banco-falabella_v3_20251130T221015.png,BANCO (AUG),Banco Falabella,0.6210148,False,False,False,False
Banco Agromercantil,legit_banco-falabella_20251102T193607.png,BANCO (REF),Banco Falabella,0.62088734,False,False,False,False
Banco Agromercantil,legit_aug_hsbc-méxico_v5_20251130T221004.png,BANCO (AUG),HSBC México,0.62009525,False,False,False,False
Banco Agromercantil,legit_aug_bbva-méxico_v9_20251130T221002.png,BANCO (AUG),BBVA México,0.6189634,False,False,False,False
Banco Agromercantil,legit_aug_banco-galicia_v2_20251130T221009.png,BANCO (AUG),Banco Galicia,0.6188556,False,False,False,False
Banco Agromercantil,legit_aug_banco-falabella_v7_20251130T221015.png,BANCO (AUG),Banco Falabella,0.6187959,False,False,False,False
Banco Agromercantil,legit_aug_banistmo_v3_20251130T221014.png,BANCO (AUG),Banistmo,0.61852205,False,False,False,False
Banco Agromercantil,legit_aug_sudameris-paraguay_v5_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.617839,False,False,False,False
Banco Agromercantil,legit_aug_bbva-colombia_v3_20251130T221006.png,BANCO (AUG),BBVA Colombia,0.6177727,False,False,False,False
Banco Agromercantil,legit_aug_hsbc-méxico_v7_20251130T221004.png,BANCO (AUG),HSBC México,0.6173229,False,False,False,False
Banco Agromercantil,legit_aug_banco-ciudad-de-buenos-aires_v7_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.6172874,False,False,False,False
Banco Agromercantil,legit_aug_banco-bice_v3_20251130T221013.png,BANCO (AUG),Banco Bice,0.61721414,False,False,False,False
Banco Agromercantil,legit_aug_banco-ciudad-de-buenos-aires_v8_20251130T221022.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.61706173,False,False,False,False
Banco Agromercantil,legit_aug_banco-bolivariano_v3_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.6163461,False,False,False,False
Banco Agromercantil,legit_banistmo_20251102T193415.png,BANCO (REF),Banistmo,0.6163235,False,False,False,False
Banco Agromercantil,legit_aug_bbva-méxico_v2_20251130T221002.png,BANCO (AUG),BBVA México,0.61608243,False,False,False,False
Banco Agromercantil,legit_aug_banamex_v2_20251130T221003.png,BANCO (AUG),Banamex,0.6157342,False,False,False,False
Banco Agromercantil,legit_aug_banco-del-pacífico_v4_20251130T221017.png,BANCO (AUG),Banco del Pacífico,0.615347,False,False,False,False
Banco Agromercantil,legit_aug_banco-falabella_v5_20251130T221015.png,BANCO (AUG),Banco Falabella,0.6149072,False,False,False,False
Banco Agromercantil,legit_aug_produbanco_v4_20251130T221018.png,BANCO (AUG),Produbanco,0.6147954,False,False,False,False
Banco Agromercantil,legit_banamex_20251102T195813.png,BANCO (REF),Banamex,0.61469626,False,False,False,False
Banco Agromercantil,legit_aug_hsbc-méxico_v9_20251130T221004.png,BANCO (AUG),HSBC México,0.6145668,False,False,False,False
Banco Agromercantil,legit_aug_banco-galicia_v0_20251130T221009.png,BANCO (AUG),Banco Galicia,0.6139518,False,False,False,False
Banco Agromercantil,legit_aug_banco-itaú-chile_v6_20251130T221004.png,BANCO (AUG),Banco Itaú Chile,0.6133506,False,False,False,False
Banco Agromercantil,legit_aug_banco-popular-costa-rica_v3_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.6132839,False,False,False,False
Banco Agromercantil,legit_aug_banco-bice_v1_20251130T221012.png,BANCO (AUG),Banco Bice,0.6130955,False,False,False,False
Banco Agromercantil,legit_aug_banamex_v3_20251130T221003.png,BANCO (AUG),Banamex,0.6128688,False,False,False,False
Banco Agromercantil,legit_banco-ciudad-de-buenos-aires_20251102T194956.png,BANCO (REF),Banco Ciudad de Buenos Aires,0.6128682,False,False,False,False
Banco Agromercantil,legit_aug_banco-guayaquil_v0_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.61270344,False,False,False,False
Banco Agromercantil,legit_aug_bbva-colombia_v1_20251130T221006.png,BANCO (AUG),BBVA Colombia,0.61238,False,False,False,False
Banco Agromercantil,legit_aug_banamex_v4_20251130T221003.png,BANCO (AUG),Banamex,0.6121206,False,False,False,False
Banco Agromercantil,legit_aug_banco-bice_v2_20251130T221012.png,BANCO (AUG),Banco Bice,0.6121137,False,False,False,False
