target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Azteca,legit_banco-azteca_20251102T192503.png,BANCO (REF),Banco Azteca,0.9999999,True,True,False,True
Banco Azteca,legit_aug_banco-azteca_v2_20251130T221008.png,BANCO (AUG),Banco Azteca,0.9424143,True,True,False,False
Banco Azteca,legit_aug_banco-azteca_v9_20251130T221008.png,BANCO (AUG),Banco Azteca,0.9420126,True,True,False,False
Banco Azteca,legit_aug_banco-azteca_v6_20251130T221008.png,BANCO (AUG),Banco Azteca,0.93427664,True,True,False,False
Banco Azteca,legit_aug_banco-azteca_v5_20251130T221008.png,BANCO (AUG),Banco Azteca,0.9334091,True,True,False,False
Banco Azteca,legit_aug_banco-azteca_v7_20251130T221008.png,BANCO (AUG),Banco Azteca,0.914202,True,True,False,False
Banco Azteca,legit_aug_banco-azteca_v4_20251130T221008.png,BANCO (AUG),Banco Azteca,0.89765596,True,True,False,False
Banco Azteca,legit_aug_banco-azteca_v3_20251130T221008.png,BANCO (AUG),Banco Azteca,0.8957838,True,True,False,False
Banco Azteca,legit_aug_banco-azteca_v1_20251130T221008.png,BANCO (AUG),Banco Azteca,0.88901687,True,True,False,False
Banco Azteca,legit_aug_banco-azteca_v0_20251130T221008.png,BANCO (AUG),Banco Azteca,0.883162,True,True,False,False
Banco Azteca,legit_aug_banco-azteca_v8_20251130T221008.png,BANCO (AUG),Banco Azteca,0.87520134,True,True,False,False
Banco Azteca,legit_aug_banamex_v8_20251130T221003.png,BANCO (AUG),Banamex,0.7958105,False,False,False,False
Banco Azteca,legit_aug_banco-nacional-panamá_v9_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.7868816,False,False,False,False
Banco Azteca,legit_aug_banco-nacional-panamá_v1_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.78474414,False,False,False,False
Banco Azteca,legit_banamex_20251102T195813.png,BANCO (REF),Banamex,0.78377736,False,False,False,False
Banco Azteca,legit_banco-nacional-panam_20251102T192611.png,BANCO (REF),Banco Nacional Panamá,0.78240776,False,False,False,False
Banco Azteca,legit_aug_banco-nacional-panamá_v0_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.77704436,False,False,False,False
Banco Azteca,legit_aug_banamex_v4_20251130T221003.png,BANCO (AUG),Banamex,0.77584696,False,False,False,False
Banco Azteca,legit_aug_banco-nacional-panamá_v3_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.7752265,False,False,False,False
Banco Azteca,legit_aug_banco-nacional-panamá_v5_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.7744436,False,False,False,False
Banco Azteca,legit_aug_banco-bolivariano_v8_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.77382874,False,False,False,False
Banco Azteca,legit_aug_banco-nacional-panamá_v2_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.77249587,False,False,False,False
Banco Azteca,legit_aug_banamex_v5_20251130T221003.png,BANCO (AUG),Banamex,0.7718287,False,False,False,False
