target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco BHD,legit_banco-bhd_20251102T193442.png,BANCO (REF),Banco BHD,0.9999998,True,True,False,True
Banco BHD,legit_aug_banco-bhd_v9_20251130T221014.png,BANCO (AUG),Banco BHD,0.94667166,True,True,False,False
Banco BHD,legit_aug_banco-bhd_v4_20251130T221014.png,BANCO (AUG),Banco BHD,0.9243015,True,True,False,False
Banco BHD,legit_aug_banco-bhd_v6_20251130T221014.png,BANCO (AUG),Banco BHD,0.92139626,True,True,False,False
Banco BHD,legit_aug_banco-bhd_v8_20251130T221014.png,BANCO (AUG),Banco BHD,0.9190085,True,True,False,False
Banco BHD,legit_aug_banco-bhd_v0_20251130T221014.png,BANCO (AUG),Banco BHD,0.9151133,True,True,False,False
Banco BHD,legit_aug_banco-bhd_v7_20251130T221014.png,BANCO (AUG),Banco BHD,0.90420127,True,True,False,False
Banco BHD,legit_aug_banco-bhd_v1_20251130T221014.png,BANCO (AUG),Banco BHD,0.8955297,True,True,False,False
Banco BHD,legit_aug_banco-bhd_v5_20251130T221014.png,BANCO (AUG),Banco BHD,0.8932042,True,True,False,False
Banco BHD,legit_aug_banco-bhd_v3_20251130T221014.png,BANCO (AUG),Banco BHD,0.8930252,True,True,False,False
Banco BHD,legit_aug_banco-bhd_v2_20251130T221014.png,BANCO (AUG),Banco BHD,0.88087404,True,True,False,False
Banco BHD,legit_aug_banco-nacional-de-bolivia_v1_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.6699916,False,False,False,False
Banco BHD,legit_aug_banco-internacional-chile_v5_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.6599478,False,False,False,False
Banco BHD,legit_aug_banco-ciudad-de-buenos-aires_v5_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.65007925,False,False,False,False
Banco BHD,legit_aug_banco-popular-costa-rica_v2_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.6454302,False,False,False,False
Banco BHD,legit_aug_banco-internacional-chile_v0_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.6451601,False,False,False,False
Banco BHD,legit_aug_scotiabank-chile_v0_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.64493227,False,False,False,False
Banco BHD,legit_aug_banco-ciudad-de-buenos-aires_v3_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.64399374,False,False,False,False
Banco BHD,legit_aug_banco-ciudad-de-buenos-aires_v4_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.64351463,False,False,False,False
Banco BHD,legit_banco-provincia_20251102T193232.png,BANCO (REF),Banco Provincia,0.6425712,False,False,False,False
Banco BHD,legit_aug_banco-ciudad-de-buenos-aires_v7_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.6423961,False,False,False,False
Banco BHD,legit_aug_banco-provincia_v7_20251130T221013.png,BANCO (AUG),Banco Provincia,0.641018,False,False,False,False
Banco BHD,legit_aug_banbif_v5_20251130T221019.png,BANCO (AUG),BanBif,0.64015913,False,False,False,False
Banco BHD,legit_aug_banco-provincia_v9_20251130T221013.png,BANCO (AUG),Banco Provincia,0.63951623,False,False,False,False
Banco BHD,legit_aug_banco-provincia_v4_20251130T221013.png,BANCO (AUG),Banco Provincia,0.63939524,False,False,False,False
Banco BHD,legit_aug_sudameris-paraguay_v2_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.63886184,False,False,False,False
Banco BHD,legit_aug_scotiabank-chile_v9_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.63658386,False,False,False,False
Banco BHD,legit_banco-ciudad-de-buenos-aires_20251102T194956.png,BANCO (REF),Banco Ciudad de Buenos Aires,0.6361555,False,False,False,False
Banco BHD,legit_aug_scotiabank-chile_v8_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.6354579,False,False,False,False
Banco BHD,legit_aug_scotiabank-chile_v4_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.63527495,False,False,False,False
Banco BHD,legit_aug_banbif_v9_20251130T221019.png,BANCO (AUG),BanBif,0.63512856,False,False,False,False
Banco BHD,legit_aug_banco-nacional-de-bolivia_v8_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.63480663,False,False,False,False
Banco BHD,legit_aug_scotiabank-chile_v5_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.63444066,False,False,False,False
Banco BHD,legit_aug_scotiabank-chile_v3_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.63360536,False,False,False,False
Banco BHD,legit_aug_sudameris-paraguay_v8_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.6333438,False,False,False,False
Banco BHD,legit_aug_banco-ciudad-de-buenos-aires_v8_20251130T221022.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.63324285,False,False,False,False
Banco BHD,legit_scotiabank-chile_20251102T191440.png,BANCO (REF),Scotiabank Chile,0.63275677,False,False,False,False
