target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Bice,legit_banco-bice_20251102T193210.png,BANCO (REF),Banco Bice,1.0000002,True,True,False,True
Banco Bice,legit_aug_banco-bice_v7_20251130T221013.png,BANCO (AUG),Banco Bice,0.9559181,True,True,False,False
Banco Bice,legit_aug_banco-bice_v9_20251130T221013.png,BANCO (AUG),Banco Bice,0.95163393,True,True,False,False
Banco Bice,legit_aug_banco-bice_v3_20251130T221013.png,BANCO (AUG),Banco Bice,0.9497044,True,True,False,False
Banco Bice,legit_aug_banco-bice_v8_20251130T221013.png,BANCO (AUG),Banco Bice,0.9472845,True,True,False,False
Banco Bice,legit_aug_banco-bice_v6_20251130T221013.png,BANCO (AUG),Banco Bice,0.938709,True,True,False,False
Banco Bice,legit_aug_banco-bice_v2_20251130T221012.png,BANCO (AUG),Banco Bice,0.9346239,True,True,False,False
Banco Bice,legit_aug_banco-bice_v5_20251130T221013.png,BANCO (AUG),Banco Bice,0.9344119,True,True,False,False
Banco Bice,legit_aug_banco-bice_v4_20251130T221013.png,BANCO (AUG),Banco Bice,0.92881453,True,True,False,False
Banco Bice,legit_aug_banco-bice_v0_20251130T221012.png,BANCO (AUG),Banco Bice,0.92572486,True,True,False,False
Banco Bice,legit_aug_banco-bice_v1_20251130T221012.png,BANCO (AUG),Banco Bice,0.91614425,True,True,False,False
Banco Bice,legit_aug_banco-de-chile_v6_20251130T221003.png,BANCO (AUG),Banco de Chile,0.76986754,False,False,False,False
Banco Bice,legit_banco-de-chile_20251102T191314.png,BANCO (REF),Banco de Chile,0.76495206,False,False,False,False
Banco Bice,legit_aug_banco-de-chile_v3_20251130T221003.png,BANCO (AUG),Banco de Chile,0.7557043,False,False,False,False
Banco Bice,legit_aug_banco-de-chile_v1_20251130T221003.png,BANCO (AUG),Banco de Chile,0.75388396,False,False,False,False
Banco Bice,legit_aug_banco-de-chile_v8_20251130T221003.png,BANCO (AUG),Banco de Chile,0.7535075,False,False,False,False
Banco Bice,legit_aug_banco-de-chile_v0_20251130T221003.png,BANCO (AUG),Banco de Chile,0.74823,False,False,False,False
Banco Bice,legit_aug_banco-de-chile_v4_20251130T221003.png,BANCO (AUG),Banco de Chile,0.7416728,False,False,False,False
Banco Bice,legit_aug_banco-de-chile_v9_20251130T221003.png,BANCO (AUG),Banco de Chile,0.74017733,False,False,False,False
Banco Bice,legit_aug_banco-de-chile_v5_20251130T221003.png,BANCO (AUG),Banco de Chile,0.7385761,False,False,False,False
Banco Bice,legit_aug_banco-ciudad-de-buenos-aires_v4_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.7355592,False,False,False,False
Banco Bice,legit_aug_banco-de-chile_v7_20251130T221003.png,BANCO (AUG),Banco de Chile,0.7350091,False,False,False,False
Banco Bice,legit_aug_banco-del-pacífico_v3_20251130T221017.png,BANCO (AUG),Banco del Pacífico,0.73369104,False,False,False,False
Banco Bice,legit_aug_banco-ciudad-de-buenos-aires_v3_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.7334629,False,False,False,False
Banco Bice,legit_aug_banco-de-crédito-e-inversiones_v6_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.7316494,False,False,False,False
Banco Bice,legit_aug_banco-ciudad-de-buenos-aires_v2_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.725873,False,False,False,False
Banco Bice,legit_aug_banco-provincia_v4_20251130T221013.png,BANCO (AUG),Banco Provincia,0.7257271,False,False,False,False
Banco Bice,legit_aug_banco-de-crédito-e-inversiones_v7_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.7239828,False,False,False,False
Banco Bice,legit_aug_banco-ciudad-de-buenos-aires_v0_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.72108996,False,False,False,False
Banco Bice,legit_banco-del-pac-fico_20251102T194055.png,BANCO (REF),Banco del Pacífico,0.7210585,False,False,False,False
Banco Bice,legit_banco-ciudad-de-buenos-aires_20251102T194956.png,BANCO (REF),Banco Ciudad de Buenos Aires,0.7201161,False,False,False,False
Banco Bice,legit_banco-provincia_20251102T193232.png,BANCO (REF),Banco Provincia,0.7199622,False,False,False,False
Banco Bice,legit_aug_banco-ciudad-de-buenos-aires_v5_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.71924514,False,False,False,False
Banco Bice,legit_aug_banco-ciudad-de-buenos-aires_v6_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.71782327,False,False,False,False
Banco Bice,legit_aug_banco-ciudad-de-buenos-aires_v7_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.71748155,False,False,False,False
Banco Bice,legit_banco-de-cr-dito-e-inversiones_20251102T191004.png,BANCO (REF),Banco de Crédito e Inversiones,0.7172508,False,False,False,False
Banco Bice,legit_aug_banco-ciudad-de-buenos-aires_v8_20251130T221022.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.7156217,False,False,False,False
Banco Bice,legit_aug_banco-del-pacífico_v4_20251130T221017.png,BANCO (AUG),Banco del Pacífico,0.71483266,False,False,False,False
Banco Bice,legit_aug_banco-provincia_v9_20251130T221013.png,BANCO (AUG),Banco Provincia,0.7144272,False,False,False,False
Banco Bice,legit_aug_banco-de-chile_v2_20251130T221003.png,BANCO (AUG),Banco de Chile,0.71291065,False,False,False,False
Banco Bice,legit_aug_icbc-argentina_v6_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.7127875,False,False,False,False
Banco Bice,legit_aug_banco-de-crédito-e-inversiones_v9_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.71088326,False,False,False,False
Banco Bice,legit_aug_banco-provincia_v5_20251130T221013.png,BANCO (AUG),Banco Provincia,0.70994854,False,False,False,False
Banco Bice,legit_aug_banco-provincia_v1_20251130T221013.png,BANCO (AUG),Banco Provincia,0.7096878,False,False,False,False
Banco Bice,legit_aug_banco-del-pacífico_v8_20251130T221018.png,BANCO (AUG),Banco del Pacífico,0.7096122,False,False,False,False
Banco Bice,legit_aug_banco-del-pacífico_v1_20251130T221017.png,BANCO (AUG),Banco del Pacífico,0.709528,False,False,False,False
Banco Bice,legit_aug_banco-de-crédito-e-inversiones_v5_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.70895314,False,False,False,False
Banco Bice,legit_aug_banamex_v1_20251130T221003.png,BANCO (AUG),Banamex,0.7082473,False,False,False,False
Banco Bice,legit_aug_banamex_v2_20251130T221003.png,BANCO (AUG),Banamex,0.7075708,False,False,False,False
Banco Bice,legit_aug_banco-del-pacífico_v0_20251130T221017.png,BANCO (AUG),Banco del Pacífico,0.70748013,False,False,False,False
Banco Bice,legit_aug_banco-provincia_v3_20251130T221013.png,BANCO (AUG),Banco Provincia,0.70598066,False,False,False,False
Banco Bice,legit_aug_banco-del-pacífico_v7_20251130T221018.png,BANCO (AUG),Banco del Pacífico,0.7059216,False,False,False,False
Banco Bice,legit_aug_bbva-colombia_v2_20251130T221006.png,BANCO (AUG),BBVA Colombia,0.7053277,False,False,False,False
Banco Bice,legit_aug_banamex_v5_20251130T221003.png,BANCO (AUG),Banamex,0.7043046,False,False,False,False
Banco Bice,legit_aug_banco-provincia_v7_20251130T221013.png,BANCO (AUG),Banco Provincia,0.70274174,False,False,False,False
Banco Bice,legit_aug_icbc-argentina_v8_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.7026361,False,False,False,False
Banco Bice,legit_aug_bbva-méxico_v0_20251130T221002.png,BANCO (AUG),BBVA México,0.70211995,False,False,False,False
Banco Bice,legit_aug_bbva-méxico_v5_20251130T221002.png,BANCO (AUG),BBVA México,0.7012755,False,False,False,False
