target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Bolivariano,legit_banco-bolivariano_20251102T194855.png,BANCO (REF),Banco Bolivariano,1.0000002,True,True,False,True
Banco Bolivariano,legit_aug_banco-bolivariano_v6_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.9243629,True,True,False,False
Banco Bolivariano,legit_aug_banco-bolivariano_v5_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.8957397,True,True,False,False
Banco Bolivariano,legit_aug_banco-bolivariano_v1_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.877286,True,True,False,False
Banco Bolivariano,legit_aug_banco-bolivariano_v2_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.8737625,True,True,False,False
Banco Bolivariano,legit_aug_banco-bolivariano_v3_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.86254877,True,True,False,False
Banco Bolivariano,legit_aug_banco-bolivariano_v4_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.8620705,True,True,False,False
Banco Bolivariano,legit_aug_banco-bolivariano_v9_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.8397541,True,True,False,False
Banco Bolivariano,legit_aug_banco-bolivariano_v7_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.8129808,True,True,False,False
Banco Bolivariano,legit_aug_banco-bolivariano_v0_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.8124733,True,True,False,False
Banco Bolivariano,legit_aug_banco-bolivariano_v8_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.78806555,False,False,False,False
Banco Bolivariano,legit_aug_banco-guayaquil_v4_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.7282539,False,False,False,False
Banco Bolivariano,legit_aug_banco-guayaquil_v0_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.72083443,False,False,False,False
Banco Bolivariano,legit_aug_banistmo_v9_20251130T221014.png,BANCO (AUG),Banistmo,0.7207571,False,False,False,False
Banco Bolivariano,legit_aug_banistmo_v5_20251130T221014.png,BANCO (AUG),Banistmo,0.7129884,False,False,False,False
Banco Bolivariano,legit_aug_banistmo_v8_20251130T221014.png,BANCO (AUG),Banistmo,0.7065242,False,False,False,False
Banco Bolivariano,legit_aug_banco-nacional-de-bolivia_v1_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.7058933,False,False,False,False
Banco Bolivariano,legit_aug_banistmo_v6_20251130T221014.png,BANCO (AUG),Banistmo,0.7039728,False,False,False,False
Banco Bolivariano,legit_aug_banco-provincia_v9_20251130T221013.png,BANCO (AUG),Banco Provincia,0.7019285,False,False,False,False
Banco Bolivariano,legit_aug_banistmo_v2_20251130T221014.png,BANCO (AUG),Banistmo,0.70185137,False,False,False,False
Banco Bolivariano,legit_aug_banistmo_v0_20251130T221014.png,BANCO (AUG),Banistmo,0.69998753,False,False,False,False
Banco Bolivariano,legit_aug_banistmo_v7_20251130T221014.png,BANCO (AUG),Banistmo,0.6958128,False,False,False,False
Banco Bolivariano,legit_aug_banco-ciudad-de-buenos-aires_v5_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.6947121,False,False,False,False
Banco Bolivariano,legit_banistmo_20251102T193415.png,BANCO (REF),Banistmo,0.68982005,False,False,False,False
Banco Bolivariano,legit_banco-provincia_20251102T193232.png,BANCO (REF),Banco Provincia,0.6893294,False,False,False,False
Banco Bolivariano,legit_banco-guayaquil_20251102T200422.png,BANCO (REF),Banco Guayaquil,0.6881732,False,False,False,False
Banco Bolivariano,legit_banco-ciudad-de-buenos-aires_20251102T194956.png,BANCO (REF),Banco Ciudad de Buenos Aires,0.6872923,False,False,False,False
Banco Bolivariano,legit_aug_banistmo_v4_20251130T221014.png,BANCO (AUG),Banistmo,0.68679494,False,False,False,False
Banco Bolivariano,legit_aug_banco-guayaquil_v8_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.68640924,False,False,False,False
Banco Bolivariano,legit_aug_banistmo_v3_20251130T221014.png,BANCO (AUG),Banistmo,0.68567157,False,False,False,False
Banco Bolivariano,legit_aug_banco-provincia_v4_20251130T221013.png,BANCO (AUG),Banco Provincia,0.68530875,False,False,False,False
Banco Bolivariano,legit_aug_banco-ciudad-de-buenos-aires_v4_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.683931,False,False,False,False
Banco Bolivariano,legit_aug_banco-nacional-de-bolivia_v8_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.68281555,False,False,False,False
Banco Bolivariano,legit_aug_banco-guayaquil_v5_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.68206906,False,False,False,False
Banco Bolivariano,legit_aug_inbursa_v3_20251130T221006.png,BANCO (AUG),Inbursa,0.68149114,False,False,False,False
Banco Bolivariano,legit_aug_banco-provincia_v7_20251130T221013.png,BANCO (AUG),Banco Provincia,0.6801108,False,False,False,False
Banco Bolivariano,legit_aug_banco-nacional-de-bolivia_v5_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.6800126,False,False,False,False
Banco Bolivariano,legit_aug_inbursa_v4_20251130T221006.png,BANCO (AUG),Inbursa,0.67969966,False,False,False,False
Banco Bolivariano,legit_aug_hsbc-méxico_v2_20251130T221004.png,BANCO (AUG),HSBC México,0.6777631,False,False,False,False
Banco Bolivariano,legit_aug_banco-ciudad-de-buenos-aires_v3_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.6776484,False,False,False,False
