target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Bradesco,legit_banco-bradesco_20251102T190853.png,BANCO (REF),Banco Bradesco,1.0000004,True,True,False,True
Banco Bradesco,legit_aug_banco-bradesco_v1_20251130T221001.png,BANCO (AUG),Banco Bradesco,0.9567887,True,True,False,False
Banco Bradesco,legit_aug_banco-bradesco_v6_20251130T221002.png,BANCO (AUG),Banco Bradesco,0.9472512,True,True,False,False
Banco Bradesco,legit_aug_banco-bradesco_v0_20251130T221001.png,BANCO (AUG),Banco Bradesco,0.94486403,True,True,False,False
Banco Bradesco,legit_aug_banco-bradesco_v3_20251130T221001.png,BANCO (AUG),Banco Bradesco,0.93840563,True,True,False,False
Banco Bradesco,legit_aug_banco-bradesco_v9_20251130T221002.png,BANCO (AUG),Banco Bradesco,0.93769205,True,True,False,False
Banco Bradesco,legit_aug_banco-bradesco_v4_20251130T221002.png,BANCO (AUG),Banco Bradesco,0.9363878,True,True,False,False
Banco Bradesco,legit_aug_banco-bradesco_v5_20251130T221002.png,BANCO (AUG),Banco Bradesco,0.926684,True,True,False,False
Banco Bradesco,legit_aug_banco-bradesco_v2_20251130T221001.png,BANCO (AUG),Banco Bradesco,0.92477894,True,True,False,False
Banco Bradesco,legit_aug_banco-bradesco_v7_20251130T221002.png,BANCO (AUG),Banco Bradesco,0.91930306,True,True,False,False
Banco Bradesco,legit_aug_banco-bradesco_v8_20251130T221002.png,BANCO (AUG),Banco Bradesco,0.9125371,True,True,False,False
Banco Bradesco,random_gov-br_20251129T174615.png,RANDOM,unknown,0.7925006,False,False,False,False
Banco Bradesco,legit_aug_banco-do-brasil_v6_20251130T221001.png,BANCO (AUG),Banco do Brasil,0.7148291,False,False,False,False
Banco Bradesco,legit_aug_banco-do-brasil_v1_20251130T221001.png,BANCO (AUG),Banco do Brasil,0.7132733,False,False,False,False
Banco Bradesco,legit_aug_banco-do-brasil_v0_20251130T221001.png,BANCO (AUG),Banco do Brasil,0.7094629,False,False,False,False
Banco Bradesco,legit_aug_banco-do-brasil_v2_20251130T221001.png,BANCO (AUG),Banco do Brasil,0.70487726,False,False,False,False
