target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Caja Social,legit_banco-caja-social_20251102T194626.png,BANCO (REF),Banco Caja Social,1.0000001,True,True,False,True
Banco Caja Social,legit_aug_banco-caja-social_v7_20251130T221020.png,BANCO (AUG),Banco Caja Social,0.9087652,True,True,False,False
Banco Caja Social,legit_aug_banco-caja-social_v5_20251130T221020.png,BANCO (AUG),Banco Caja Social,0.8964983,True,True,False,False
Banco Caja Social,legit_aug_banco-caja-social_v0_20251130T221020.png,BANCO (AUG),Banco Caja Social,0.88279486,True,True,False,False
Banco Caja Social,legit_aug_banco-caja-social_v3_20251130T221020.png,BANCO (AUG),Banco Caja Social,0.8776758,True,True,False,False
Banco Caja Social,legit_aug_banco-caja-social_v8_20251130T221020.png,BANCO (AUG),Banco Caja Social,0.87691754,True,True,False,False
Banco Caja Social,legit_aug_banco-caja-social_v2_20251130T221020.png,BANCO (AUG),Banco Caja Social,0.8754372,True,True,False,False
Banco Caja Social,legit_aug_banco-caja-social_v9_20251130T221020.png,BANCO (AUG),Banco Caja Social,0.8742188,True,True,False,False
Banco Caja Social,legit_aug_banco-caja-social_v4_20251130T221020.png,BANCO (AUG),Banco Caja Social,0.8723559,True,True,False,False
Banco Caja Social,legit_aug_banco-caja-social_v6_20251130T221020.png,BANCO (AUG),Banco Caja Social,0.86093736,True,True,False,False
Banco Caja Social,legit_aug_banco-caja-social_v1_20251130T221020.png,BANCO (AUG),Banco Caja Social,0.8359184,True,True,False,False
Banco Caja Social,legit_aug_banco-nacional-de-costa-rica_v6_20251130T221009.png,BANCO (AUG),Banco Nacional de Costa Rica,0.7071886,False,False,False,False
Banco Caja Social,legit_aug_banco-nacional-de-bolivia_v8_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.7063457,False,False,False,False
Banco Caja Social,legit_aug_banco-nacional-de-costa-rica_v5_20251130T221009.png,BANCO (AUG),Banco Nacional de Costa Rica,0.7050231,False,False,False,False
Banco Caja Social,legit_aug_banco-nacional-de-costa-rica_v3_20251130T221009.png,BANCO (AUG),Banco Nacional de Costa Rica,0.7021927,False,False,False,False
