target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Continental Paraguay,legit_banco-continental-paraguay_20251102T200527.png,BANCO (REF),Banco Continental Paraguay,1.0,True,True,False,True
Banco Continental Paraguay,legit_aug_banco-continental-paraguay_v3_20251130T221020.png,BANCO (AUG),Banco Continental Paraguay,0.94093454,True,True,False,False
Banco Continental Paraguay,legit_aug_banco-continental-paraguay_v7_20251130T221020.png,BANCO (AUG),Banco Continental Paraguay,0.9407529,True,True,False,False
Banco Continental Paraguay,legit_aug_banco-continental-paraguay_v4_20251130T221020.png,BANCO (AUG),Banco Continental Paraguay,0.93794096,True,True,False,False
Banco Continental Paraguay,legit_aug_banco-continental-paraguay_v9_20251130T221020.png,BANCO (AUG),Banco Continental Paraguay,0.92898256,True,True,False,False
Banco Continental Paraguay,legit_aug_banco-continental-paraguay_v0_20251130T221019.png,BANCO (AUG),Banco Continental Paraguay,0.9267376,True,True,False,False
Banco Continental Paraguay,legit_aug_banco-continental-paraguay_v1_20251130T221020.png,BANCO (AUG),Banco Continental Paraguay,0.91777945,True,True,False,False
Banco Continental Paraguay,legit_aug_banco-continental-paraguay_v2_20251130T221020.png,BANCO (AUG),Banco Continental Paraguay,0.9035142,True,True,False,False
Banco Continental Paraguay,legit_aug_banco-continental-paraguay_v6_20251130T221020.png,BANCO (AUG),Banco Continental Paraguay,0.8674922,True,True,False,False
Banco Continental Paraguay,legit_aug_banco-continental-paraguay_v8_20251130T221020.png,BANCO (AUG),Banco Continental Paraguay,0.8613206,True,True,False,False
Banco Continental Paraguay,legit_aug_banco-continental-paraguay_v5_20251130T221020.png,BANCO (AUG),Banco Continental Paraguay,0.8587204,True,True,False,False
Banco Continental Paraguay,legit_aug_banco-internacional-chile_v7_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.7294635,False,False,False,False
Banco Continental Paraguay,legit_aug_icbc-argentina_v7_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.723976,False,False,False,False
Banco Continental Paraguay,legit_aug_banco-santander-argentina_v8_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.72082233,False,False,False,False
Banco Continental Paraguay,legit_banco-internacional-chile_20251102T194936.png,BANCO (REF),Banco Internacional Chile,0.7197567,False,False,False,False
Banco Continental Paraguay,legit_aug_bbva-colombia_v2_20251130T221006.png,BANCO (AUG),BBVA Colombia,0.7171001,False,False,False,False
Banco Continental Paraguay,legit_aug_banco-internacional-chile_v2_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.7164948,False,False,False,False
Banco Continental Paraguay,legit_aug_bbva-colombia_v4_20251130T221006.png,BANCO (AUG),BBVA Colombia,0.71627545,False,False,False,False
Banco Continental Paraguay,legit_aug_banco-de-chile_v8_20251130T221003.png,BANCO (AUG),Banco de Chile,0.7161955,False,False,False,False
Banco Continental Paraguay,legit_aug_banco-bice_v8_20251130T221013.png,BANCO (AUG),Banco Bice,0.71592605,False,False,False,False
Banco Continental Paraguay,legit_aug_icbc-argentina_v5_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.715676,False,False,False,False
Banco Continental Paraguay,legit_aug_hsbc-méxico_v9_20251130T221004.png,BANCO (AUG),HSBC México,0.71433043,False,False,False,False
Banco Continental Paraguay,legit_aug_bbva-méxico_v4_20251130T221002.png,BANCO (AUG),BBVA México,0.712903,False,False,False,False
Banco Continental Paraguay,legit_aug_banco-de-crédito-e-inversiones_v4_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.71159744,False,False,False,False
Banco Continental Paraguay,legit_aug_bbva-méxico_v5_20251130T221002.png,BANCO (AUG),BBVA México,0.71127474,False,False,False,False
Banco Continental Paraguay,legit_aug_hsbc-méxico_v2_20251130T221004.png,BANCO (AUG),HSBC México,0.7104858,False,False,False,False
