target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Falabella,legit_banco-falabella_20251102T193607.png,BANCO (REF),Banco Falabella,1.0,True,True,False,True
Banco Falabella,legit_aug_banco-falabella_v8_20251130T221015.png,BANCO (AUG),Banco Falabella,0.93941617,True,True,False,False
Banco Falabella,legit_aug_banco-falabella_v5_20251130T221015.png,BANCO (AUG),Banco Falabella,0.9271965,True,True,False,False
Banco Falabella,legit_aug_banco-falabella_v4_20251130T221015.png,BANCO (AUG),Banco Falabella,0.91673136,True,True,False,False
Banco Falabella,legit_aug_banco-falabella_v1_20251130T221015.png,BANCO (AUG),Banco Falabella,0.91445005,True,True,False,False
Banco Falabella,legit_aug_banco-falabella_v3_20251130T221015.png,BANCO (AUG),Banco Falabella,0.90027785,True,True,False,False
Banco Falabella,legit_aug_banco-falabella_v7_20251130T221015.png,BANCO (AUG),Banco Falabella,0.8788969,True,True,False,False
Banco Falabella,legit_aug_banco-falabella_v2_20251130T221015.png,BANCO (AUG),Banco Falabella,0.8715968,True,True,False,False
Banco Falabella,legit_aug_banco-falabella_v9_20251130T221015.png,BANCO (AUG),Banco Falabella,0.8641031,True,True,False,False
Banco Falabella,legit_aug_banco-falabella_v0_20251130T221015.png,BANCO (AUG),Banco Falabella,0.8563546,True,True,False,False
Banco Falabella,legit_aug_banco-falabella_v6_20251130T221015.png,BANCO (AUG),Banco Falabella,0.84619874,True,True,False,False
Banco Falabella,legit_aug_banistmo_v7_20251130T221014.png,BANCO (AUG),Banistmo,0.79765093,False,False,False,False
Banco Falabella,legit_aug_banamex_v3_20251130T221003.png,BANCO (AUG),Banamex,0.7961059,False,False,False,False
Banco Falabella,legit_aug_banco-internacional-chile_v6_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.7940545,False,False,False,False
Banco Falabella,legit_aug_produbanco_v3_20251130T221018.png,BANCO (AUG),Produbanco,0.7934757,False,False,False,False
