target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Ficohsa,legit_banco-ficohsa_20251102T194238.png,BANCO (REF),Banco Ficohsa,1.0000001,True,True,False,True
Banco Ficohsa,legit_aug_banco-ficohsa_v6_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.9623883,True,True,False,False
Banco Ficohsa,legit_aug_banco-ficohsa_v7_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.95615095,True,True,False,False
Banco Ficohsa,legit_aug_banco-ficohsa_v3_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.95597297,True,True,False,False
Banco Ficohsa,legit_aug_banco-ficohsa_v1_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.93948996,True,True,False,False
Banco Ficohsa,legit_aug_banco-ficohsa_v8_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.9301487,True,True,False,False
Banco Ficohsa,legit_aug_banco-ficohsa_v9_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.9269854,True,True,False,False
Banco Ficohsa,legit_aug_banco-ficohsa_v5_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.92451143,True,True,False,False
Banco Ficohsa,legit_aug_banco-ficohsa_v2_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.92057836,True,True,False,False
Banco Ficohsa,legit_aug_banco-ficohsa_v4_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.9196085,True,True,False,False
Banco Ficohsa,legit_aug_banco-ficohsa_v0_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.9128743,True,True,False,False
Banco Ficohsa,legit_aug_banco-provincia_v9_20251130T221013.png,BANCO (AUG),Banco Provincia,0.72781926,False,False,False,False
Banco Ficohsa,legit_aug_banco-provincia_v1_20251130T221013.png,BANCO (AUG),Banco Provincia,0.71945965,False,False,False,False
Banco Ficohsa,legit_aug_banco-provincia_v7_20251130T221013.png,BANCO (AUG),Banco Provincia,0.7186072,False,False,False,False
