target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Galicia,legit_banco-galicia_20251102T192544.png,BANCO (REF),Banco Galicia,0.99999994,True,True,False,True
Banco Galicia,legit_aug_banco-galicia_v3_20251130T221009.png,BANCO (AUG),Banco Galicia,0.94685537,True,True,False,False
Banco Galicia,legit_aug_banco-galicia_v4_20251130T221009.png,BANCO (AUG),Banco Galicia,0.93035316,True,True,False,False
Banco Galicia,legit_aug_banco-galicia_v7_20251130T221009.png,BANCO (AUG),Banco Galicia,0.9302331,True,True,False,False
Banco Galicia,legit_aug_banco-galicia_v6_20251130T221009.png,BANCO (AUG),Banco Galicia,0.90654135,True,True,False,False
Banco Galicia,legit_aug_banco-galicia_v5_20251130T221009.png,BANCO (AUG),Banco Galicia,0.8940977,True,True,False,False
Banco Galicia,legit_aug_banco-galicia_v1_20251130T221009.png,BANCO (AUG),Banco Galicia,0.89068735,True,True,False,False
Banco Galicia,legit_aug_banco-galicia_v0_20251130T221009.png,BANCO (AUG),Banco Galicia,0.88777304,True,True,False,False
Banco Galicia,legit_aug_banco-galicia_v9_20251130T221009.png,BANCO (AUG),Banco Galicia,0.8770708,True,True,False,False
Banco Galicia,legit_aug_banco-galicia_v2_20251130T221009.png,BANCO (AUG),Banco Galicia,0.8702265,True,True,False,False
Banco Galicia,legit_aug_banco-galicia_v8_20251130T221009.png,BANCO (AUG),Banco Galicia,0.8663478,True,True,False,False
Banco Galicia,legit_aug_hsbc-méxico_v4_20251130T221004.png,BANCO (AUG),HSBC México,0.6916834,False,False,False,False
Banco Galicia,legit_aug_banco-provincia_v7_20251130T221013.png,BANCO (AUG),Banco Provincia,0.69137645,False,False,False,False
Banco Galicia,legit_banco-provincia_20251102T193232.png,BANCO (REF),Banco Provincia,0.69039357,False,False,False,False
Banco Galicia,legit_aug_colpatria_v4_20251130T221015.png,BANCO (AUG),Colpatria,0.68976057,False,False,False,False
Banco Galicia,legit_aug_colpatria_v0_20251130T221015.png,BANCO (AUG),Colpatria,0.68520224,False,False,False,False
Banco Galicia,legit_aug_colpatria_v7_20251130T221015.png,BANCO (AUG),Colpatria,0.685104,False,False,False,False
Banco Galicia,legit_aug_banco-provincia_v6_20251130T221013.png,BANCO (AUG),Banco Provincia,0.6846669,False,False,False,False
Banco Galicia,legit_aug_hsbc-méxico_v2_20251130T221004.png,BANCO (AUG),HSBC México,0.68461156,False,False,False,False
Banco Galicia,legit_aug_hsbc-méxico_v1_20251130T221004.png,BANCO (AUG),HSBC México,0.6831664,False,False,False,False
Banco Galicia,legit_aug_banco-provincia_v0_20251130T221013.png,BANCO (AUG),Banco Provincia,0.6816774,False,False,False,False
Banco Galicia,legit_aug_hsbc-méxico_v7_20251130T221004.png,BANCO (AUG),HSBC México,0.6805115,False,False,False,False
Banco Galicia,legit_aug_banco-provincia_v2_20251130T221013.png,BANCO (AUG),Banco Provincia,0.678684,False,False,False,False
Banco Galicia,legit_aug_hsbc-méxico_v8_20251130T221004.png,BANCO (AUG),HSBC México,0.6785551,False,False,False,False
Banco Galicia,legit_aug_hsbc-méxico_v9_20251130T221004.png,BANCO (AUG),HSBC México,0.6757399,False,False,False,False
Banco Galicia,legit_aug_banco-provincia_v3_20251130T221013.png,BANCO (AUG),Banco Provincia,0.6755675,False,False,False,False
Banco Galicia,legit_aug_hsbc-méxico_v5_20251130T221004.png,BANCO (AUG),HSBC México,0.67516226,False,False,False,False
Banco Galicia,legit_aug_banco-provincia_v9_20251130T221013.png,BANCO (AUG),Banco Provincia,0.67358994,False,False,False,False
Banco Galicia,legit_aug_banco-provincia_v1_20251130T221013.png,BANCO (AUG),Banco Provincia,0.6686605,False,False,False,False
Banco Galicia,legit_aug_banco-provincia_v8_20251130T221013.png,BANCO (AUG),Banco Provincia,0.66734123,False,False,False,False
Banco Galicia,legit_aug_colpatria_v9_20251130T221016.png,BANCO (AUG),Colpatria,0.6615715,False,False,False,False
Banco Galicia,legit_aug_colpatria_v8_20251130T221015.png,BANCO (AUG),Colpatria,0.6608624,False,False,False,False
Banco Galicia,legit_aug_colpatria_v2_20251130T221015.png,BANCO (AUG),Colpatria,0.65852404,False,False,False,False
Banco Galicia,legit_aug_colpatria_v1_20251130T221015.png,BANCO (AUG),Colpatria,0.6577859,False,False,False,False
Banco Galicia,legit_aug_hsbc-méxico_v3_20251130T221004.png,BANCO (AUG),HSBC México,0.6564318,False,False,False,False
Banco Galicia,legit_aug_banco-santander-argentina_v5_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.65306103,False,False,False,False
Banco Galicia,legit_aug_colpatria_v6_20251130T221015.png,BANCO (AUG),Colpatria,0.6527213,False,False,False,False
Banco Galicia,legit_aug_banco-provincia_v5_20251130T221013.png,BANCO (AUG),Banco Provincia,0.6526853,False,False,False,False
Banco Galicia,legit_aug_colpatria_v3_20251130T221015.png,BANCO (AUG),Colpatria,0.6515619,False,False,False,False
Banco Galicia,legit_aug_hsbc-méxico_v6_20251130T221004.png,BANCO (AUG),HSBC México,0.6510478,False,False,False,False
Banco Galicia,legit_colpatria_20251102T193647.png,BANCO (REF),Colpatria,0.64920753,False,False,False,False
Banco Galicia,legit_aug_banco-guayaquil_v6_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.6419407,False,False,False,False
Banco Galicia,legit_aug_banco-provincia_v4_20251130T221013.png,BANCO (AUG),Banco Provincia,0.64184725,False,False,False,False
