target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Internacional Chile,legit_banco-internacional-chile_20251102T194936.png,BANCO (REF),Banco Internacional Chile,1.0000002,True,True,False,True
Banco Internacional Chile,legit_aug_banco-internacional-chile_v7_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.9268142,True,True,False,False
Banco Internacional Chile,legit_aug_banco-internacional-chile_v4_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.9220828,True,True,False,False
Banco Internacional Chile,legit_aug_banco-internacional-chile_v9_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.92143065,True,True,False,False
Banco Internacional Chile,legit_aug_banco-internacional-chile_v1_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.9073277,True,True,False,False
Banco Internacional Chile,legit_aug_banco-internacional-chile_v0_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.90378267,True,True,False,False
Banco Internacional Chile,legit_aug_banco-internacional-chile_v3_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.89690787,True,True,False,False
Banco Internacional Chile,legit_aug_banco-internacional-chile_v8_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.89292395,True,True,False,False
Banco Internacional Chile,legit_aug_banco-internacional-chile_v2_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.8831881,True,True,False,False
Banco Internacional Chile,legit_aug_banco-internacional-chile_v6_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.86129844,True,True,False,False
Banco Internacional Chile,legit_aug_banco-internacional-chile_v5_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.81894284,True,True,False,False
Banco Internacional Chile,legit_aug_hsbc-méxico_v2_20251130T221004.png,BANCO (AUG),HSBC México,0.74128735,False,False,False,False
Banco Internacional Chile,legit_aug_hsbc-méxico_v4_20251130T221004.png,BANCO (AUG),HSBC México,0.740286,False,False,False,False
