target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Itaú Chile,legit_banco-ita-chile_20251102T191505.png,BANCO (REF),Banco Itaú Chile,1.0,True,True,False,True
Banco Itaú Chile,legit_aug_banco-itaú-chile_v9_20251130T221004.png,BANCO (AUG),Banco Itaú Chile,0.90493196,True,True,False,False
Banco Itaú Chile,legit_aug_banco-itaú-chile_v3_20251130T221004.png,BANCO (AUG),Banco Itaú Chile,0.9023551,True,True,False,False
Banco Itaú Chile,legit_aug_banco-itaú-chile_v6_20251130T221004.png,BANCO (AUG),Banco Itaú Chile,0.89966536,True,True,False,False
Banco Itaú Chile,legit_aug_banco-itaú-chile_v1_20251130T221004.png,BANCO (AUG),Banco Itaú Chile,0.89380014,True,True,False,False
Banco Itaú Chile,legit_aug_banco-itaú-chile_v8_20251130T221004.png,BANCO (AUG),Banco Itaú Chile,0.89361674,True,True,False,False
Banco Itaú Chile,legit_aug_banco-itaú-chile_v5_20251130T221004.png,BANCO (AUG),Banco Itaú Chile,0.890038,True,True,False,False
Banco Itaú Chile,legit_aug_banco-itaú-chile_v0_20251130T221004.png,BANCO (AUG),Banco Itaú Chile,0.88890266,True,True,False,False
Banco Itaú Chile,legit_aug_banco-itaú-chile_v2_20251130T221004.png,BANCO (AUG),Banco Itaú Chile,0.8850039,True,True,False,False
Banco Itaú Chile,legit_aug_banco-itaú-chile_v7_20251130T221004.png,BANCO (AUG),Banco Itaú Chile,0.8846441,True,True,False,False
Banco Itaú Chile,legit_aug_banco-itaú-chile_v4_20251130T221004.png,BANCO (AUG),Banco Itaú Chile,0.8322036,True,True,False,False
Banco Itaú Chile,legit_aug_banco-de-crédito-e-inversiones_v9_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.6818284,False,False,False,False
Banco Itaú Chile,legit_aug_banco-de-crédito-e-inversiones_v3_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.6811195,False,False,False,False
