target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Itaú Uruguay,legit_banco-ita-uruguay_20251102T193855.png,BANCO (REF),Banco Itaú Uruguay,1.0,True,True,False,True
Banco Itaú Uruguay,legit_aug_banco-itaú-uruguay_v5_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.95867383,True,True,False,False
Banco Itaú Uruguay,legit_aug_banco-itaú-uruguay_v2_20251130T221016.png,BANCO (AUG),Banco Itaú Uruguay,0.9579878,True,True,False,False
Banco Itaú Uruguay,legit_aug_banco-itaú-uruguay_v3_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.9559109,True,True,False,False
Banco Itaú Uruguay,legit_aug_banco-itaú-uruguay_v9_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.95536363,True,True,False,False
Banco Itaú Uruguay,legit_aug_banco-itaú-uruguay_v0_20251130T221016.png,BANCO (AUG),Banco Itaú Uruguay,0.95462215,True,True,False,False
Banco Itaú Uruguay,legit_aug_banco-itaú-uruguay_v8_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.9524923,True,True,False,False
Banco Itaú Uruguay,legit_aug_banco-itaú-uruguay_v4_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.94904417,True,True,False,False
Banco Itaú Uruguay,legit_aug_banco-itaú-uruguay_v7_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.94550145,True,True,False,False
Banco Itaú Uruguay,legit_aug_banco-itaú-uruguay_v1_20251130T221016.png,BANCO (AUG),Banco Itaú Uruguay,0.9304919,True,True,False,False
Banco Itaú Uruguay,legit_aug_banco-itaú-uruguay_v6_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.91581124,True,True,False,False
Banco Itaú Uruguay,legit_aug_banco-bolivariano_v8_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.7810172,False,False,False,False
Banco Itaú Uruguay,legit_banco-santander-uruguay_20251102T193706.png,BANCO (REF),Banco Santander Uruguay,0.7797339,False,False,False,False
Banco Itaú Uruguay,legit_aug_banamex_v4_20251130T221003.png,BANCO (AUG),Banamex,0.7670796,False,False,False,False
Banco Itaú Uruguay,legit_aug_banamex_v3_20251130T221003.png,BANCO (AUG),Banamex,0.7666247,False,False,False,False
Banco Itaú Uruguay,legit_aug_banco-santander-uruguay_v0_20251130T221016.png,BANCO (AUG),Banco Santander Uruguay,0.75598204,False,False,False,False
Banco Itaú Uruguay,legit_aug_banco-popular-costa-rica_v8_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.7556912,False,False,False,False
Banco Itaú Uruguay,legit_banco-nacional-panam_20251102T192611.png,BANCO (REF),Banco Nacional Panamá,0.75520974,False,False,False,False
Banco Itaú Uruguay,legit_aug_banco-santander-argentina_v9_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.7524812,False,False,False,False
