target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Macro,legit_banco-macro_20251102T193351.png,BANCO (REF),Banco Macro,1.0000002,True,True,False,True
Banco Macro,legit_aug_banco-macro_v4_20251130T221013.png,BANCO (AUG),Banco Macro,0.93151563,True,True,False,False
Banco Macro,legit_aug_banco-macro_v1_20251130T221013.png,BANCO (AUG),Banco Macro,0.92566574,True,True,False,False
Banco Macro,legit_aug_banco-macro_v3_20251130T221013.png,BANCO (AUG),Banco Macro,0.9075875,True,True,False,False
Banco Macro,legit_aug_banco-macro_v9_20251130T221014.png,BANCO (AUG),Banco Macro,0.90579873,True,True,False,False
Banco Macro,legit_aug_banco-macro_v8_20251130T221014.png,BANCO (AUG),Banco Macro,0.903124,True,True,False,False
Banco Macro,legit_aug_banco-macro_v5_20251130T221013.png,BANCO (AUG),Banco Macro,0.8927656,True,True,False,False
Banco Macro,legit_aug_banco-macro_v7_20251130T221013.png,BANCO (AUG),Banco Macro,0.8819798,True,True,False,False
Banco Macro,legit_aug_banco-macro_v2_20251130T221013.png,BANCO (AUG),Banco Macro,0.878749,True,True,False,False
Banco Macro,legit_aug_banco-macro_v0_20251130T221013.png,BANCO (AUG),Banco Macro,0.87691283,True,True,False,False
Banco Macro,legit_aug_banco-macro_v6_20251130T221013.png,BANCO (AUG),Banco Macro,0.87181383,True,True,False,False
Banco Macro,legit_aug_banco-nacional-panamá_v4_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.6680079,False,False,False,False
Banco Macro,legit_banco-nacional-panam_20251102T192611.png,BANCO (REF),Banco Nacional Panamá,0.6572772,False,False,False,False
Banco Macro,legit_aug_banco-nacional-panamá_v5_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.6572068,False,False,False,False
Banco Macro,legit_aug_banco-nacional-panamá_v3_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.655542,False,False,False,False
Banco Macro,legit_aug_banco-nacional-panamá_v0_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.6551044,False,False,False,False
Banco Macro,legit_aug_banco-nacional-panamá_v9_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.64397883,False,False,False,False
Banco Macro,legit_aug_banco-nacional-panamá_v2_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.6424824,False,False,False,False
Banco Macro,legit_banco-santander-uruguay_20251102T193706.png,BANCO (REF),Banco Santander Uruguay,0.6422863,False,False,False,False
Banco Macro,legit_aug_banco-santander-uruguay_v0_20251130T221016.png,BANCO (AUG),Banco Santander Uruguay,0.6303637,False,False,False,False
Banco Macro,legit_aug_banamex_v4_20251130T221003.png,BANCO (AUG),Banamex,0.62946194,False,False,False,False
Banco Macro,legit_aug_banco-nacional-panamá_v1_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.62942374,False,False,False,False
Banco Macro,legit_aug_banco-itaú-uruguay_v8_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.62936616,False,False,False,False
Banco Macro,legit_banco-ita-uruguay_20251102T193855.png,BANCO (REF),Banco Itaú Uruguay,0.6275837,False,False,False,False
Banco Macro,legit_aug_banamex_v3_20251130T221003.png,BANCO (AUG),Banamex,0.6275805,False,False,False,False
Banco Macro,legit_aug_banco-itaú-uruguay_v1_20251130T221016.png,BANCO (AUG),Banco Itaú Uruguay,0.62739,False,False,False,False
Banco Macro,legit_aug_banco-nacional-panamá_v7_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.6268205,False,False,False,False
Banco Macro,legit_aug_banco-itaú-uruguay_v3_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.6263114,False,False,False,False
Banco Macro,legit_aug_banco-bolivariano_v8_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.62521136,False,False,False,False
Banco Macro,legit_aug_banco-itaú-uruguay_v0_20251130T221016.png,BANCO (AUG),Banco Itaú Uruguay,0.62208426,False,False,False,False
Banco Macro,legit_banamex_20251102T195813.png,BANCO (REF),Banamex,0.6211183,False,False,False,False
Banco Macro,legit_aug_banco-santander-uruguay_v2_20251130T221016.png,BANCO (AUG),Banco Santander Uruguay,0.6200465,False,False,False,False
Banco Macro,legit_aug_banco-itaú-uruguay_v5_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.6196833,False,False,False,False
Banco Macro,legit_aug_banco-nacional-de-bolivia_v4_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.6192578,False,False,False,False
Banco Macro,legit_aug_banco-itaú-uruguay_v2_20251130T221016.png,BANCO (AUG),Banco Itaú Uruguay,0.61882603,False,False,False,False
Banco Macro,legit_aug_banco-santander-uruguay_v4_20251130T221016.png,BANCO (AUG),Banco Santander Uruguay,0.61747015,False,False,False,False
Banco Macro,legit_aug_banco-itaú-uruguay_v4_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.61506,False,False,False,False
Banco Macro,legit_aug_banco-santander-argentina_v9_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.61486256,False,False,False,False
Banco Macro,legit_aug_banco-santander-argentina_v6_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.6126219,False,False,False,False
Banco Macro,legit_aug_banco-nacional-panamá_v8_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.6115187,False,False,False,False
Banco Macro,legit_aug_banamex_v5_20251130T221003.png,BANCO (AUG),Banamex,0.6114315,False,False,False,False
Banco Macro,legit_aug_banco-santander-uruguay_v5_20251130T221016.png,BANCO (AUG),Banco Santander Uruguay,0.6102401,False,False,False,False
Banco Macro,legit_aug_banco-santander-uruguay_v1_20251130T221016.png,BANCO (AUG),Banco Santander Uruguay,0.6101971,False,False,False,False
Banco Macro,legit_aug_banco-azteca_v3_20251130T221008.png,BANCO (AUG),Banco Azteca,0.6101824,False,False,False,False
Banco Macro,legit_aug_banco-santander-argentina_v1_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.6100924,False,False,False,False
Banco Macro,legit_aug_banco-santander-argentina_v0_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.6092918,False,False,False,False
Banco Macro,legit_aug_banco-bice_v8_20251130T221013.png,BANCO (AUG),Banco Bice,0.6092104,False,False,False,False
Banco Macro,legit_aug_banco-de-crédito-e-inversiones_v9_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.60916543,False,False,False,False
Banco Macro,legit_aug_inbursa_v3_20251130T221006.png,BANCO (AUG),Inbursa,0.6091637,False,False,False,False
Banco Macro,legit_banco-santander-argentina_20251102T192947.png,BANCO (REF),Banco Santander Argentina,0.60861975,False,False,False,False
Banco Macro,legit_aug_banco-de-chile_v4_20251130T221003.png,BANCO (AUG),Banco de Chile,0.6083944,False,False,False,False
Banco Macro,legit_aug_citibank-méxico_v6_20251130T221006.png,BANCO (AUG),Citibank México,0.6080198,False,False,False,False
Banco Macro,legit_aug_banco-itaú-uruguay_v9_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.60730517,False,False,False,False
Banco Macro,legit_aug_banamex_v1_20251130T221003.png,BANCO (AUG),Banamex,0.60648775,False,False,False,False
Banco Macro,legit_aug_banco-santander-argentina_v4_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.6051036,False,False,False,False
Banco Macro,legit_aug_banco-de-crédito-e-inversiones_v5_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.6050084,False,False,False,False
Banco Macro,legit_aug_banco-azteca_v9_20251130T221008.png,BANCO (AUG),Banco Azteca,0.60467124,False,False,False,False
Banco Macro,legit_aug_banco-nacional-de-bolivia_v6_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.6043135,False,False,False,False
Banco Macro,legit_aug_banamex_v8_20251130T221003.png,BANCO (AUG),Banamex,0.6033039,False,False,False,False
Banco Macro,legit_aug_banco-bolivariano_v4_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.6031131,False,False,False,False
Banco Macro,legit_aug_banco-ciudad-de-buenos-aires_v5_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.60262907,False,False,False,False
Banco Macro,legit_aug_banco-bolivariano_v2_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.6019604,False,False,False,False
Banco Macro,legit_aug_banamex_v6_20251130T221003.png,BANCO (AUG),Banamex,0.60189617,False,False,False,False
Banco Macro,legit_aug_banco-nacional-de-bolivia_v3_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.6009763,False,False,False,False
Banco Macro,legit_aug_banco-azteca_v7_20251130T221008.png,BANCO (AUG),Banco Azteca,0.60006297,False,False,False,False
Banco Macro,legit_aug_banco-de-chile_v0_20251130T221003.png,BANCO (AUG),Banco de Chile,0.599862,False,False,False,False
Banco Macro,legit_banco-azteca_20251102T192503.png,BANCO (REF),Banco Azteca,0.5996785,False,False,False,False
Banco Macro,legit_aug_banco-santander-argentina_v7_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.5992927,False,False,False,False
Banco Macro,legit_aug_sudameris-paraguay_v1_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.59914875,False,False,False,False
Banco Macro,legit_aug_banco-de-crédito-e-inversiones_v6_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.59856415,False,False,False,False
Banco Macro,legit_aug_banco-azteca_v5_20251130T221008.png,BANCO (AUG),Banco Azteca,0.5981287,False,False,False,False
Banco Macro,legit_aug_banco-azteca_v4_20251130T221008.png,BANCO (AUG),Banco Azteca,0.5980475,False,False,False,False
Banco Macro,legit_aug_banco-nacional-panamá_v6_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.59723127,False,False,False,False
Banco Macro,legit_aug_banco-de-chile_v2_20251130T221003.png,BANCO (AUG),Banco de Chile,0.5954804,False,False,False,False
