target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Nacional Panamá,legit_banco-nacional-panam_20251102T192611.png,BANCO (REF),Banco Nacional Panamá,1.0000001,True,True,False,True
Banco Nacional Panamá,legit_aug_banco-nacional-panamá_v3_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.96948916,True,True,False,False
Banco Nacional Panamá,legit_aug_banco-nacional-panamá_v0_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.96060026,True,True,False,False
Banco Nacional Panamá,legit_aug_banco-nacional-panamá_v4_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.945686,True,True,False,False
Banco Nacional Panamá,legit_aug_banco-nacional-panamá_v2_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.9413885,True,True,False,False
Banco Nacional Panamá,legit_aug_banco-nacional-panamá_v5_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.9400538,True,True,False,False
Banco Nacional Panamá,legit_aug_banco-nacional-panamá_v1_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.93371856,True,True,False,False
Banco Nacional Panamá,legit_aug_banco-nacional-panamá_v7_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.930688,True,True,False,False
Banco Nacional Panamá,legit_aug_banco-nacional-panamá_v6_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.911111,True,True,False,False
Banco Nacional Panamá,legit_aug_banco-nacional-panamá_v9_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.8967689,True,True,False,False
Banco Nacional Panamá,legit_aug_banco-nacional-panamá_v8_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.896127,True,True,False,False
Banco Nacional Panamá,legit_aug_banco-santander-argentina_v6_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.80854404,True,False,True,False
Banco Nacional Panamá,legit_aug_banco-santander-argentina_v9_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.80615324,True,False,True,False
Banco Nacional Panamá,legit_aug_banco-santander-argentina_v1_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.80582845,True,False,True,False
Banco Nacional Panamá,legit_aug_banco-del-pacífico_v3_20251130T221017.png,BANCO (AUG),Banco del Pacífico,0.79865116,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-azteca_v3_20251130T221008.png,BANCO (AUG),Banco Azteca,0.7977428,False,False,False,False
Banco Nacional Panamá,legit_banamex_20251102T195813.png,BANCO (REF),Banamex,0.7969804,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-santander-argentina_v0_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.7967979,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-bolivariano_v8_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.7955812,False,False,False,False
Banco Nacional Panamá,legit_aug_citibank-méxico_v6_20251130T221006.png,BANCO (AUG),Citibank México,0.7947569,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-santander-argentina_v4_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.7917276,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-del-pacífico_v7_20251130T221018.png,BANCO (AUG),Banco del Pacífico,0.7915751,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-santander-argentina_v8_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.78861094,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-azteca_v8_20251130T221008.png,BANCO (AUG),Banco Azteca,0.78771615,False,False,False,False
Banco Nacional Panamá,legit_banco-santander-argentina_20251102T192947.png,BANCO (REF),Banco Santander Argentina,0.7852017,False,False,False,False
Banco Nacional Panamá,legit_citibank-m-xico_20251102T195922.png,BANCO (REF),Citibank México,0.7848308,False,False,False,False
Banco Nacional Panamá,legit_banco-santander-uruguay_20251102T193706.png,BANCO (REF),Banco Santander Uruguay,0.78450453,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-del-pacífico_v0_20251130T221017.png,BANCO (AUG),Banco del Pacífico,0.7843205,False,False,False,False
Banco Nacional Panamá,legit_banco-ciudad-de-buenos-aires_20251102T194956.png,BANCO (REF),Banco Ciudad de Buenos Aires,0.7825644,False,False,False,False
Banco Nacional Panamá,legit_banco-azteca_20251102T192503.png,BANCO (REF),Banco Azteca,0.78240776,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-azteca_v1_20251130T221008.png,BANCO (AUG),Banco Azteca,0.7822776,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-ciudad-de-buenos-aires_v0_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.7816099,False,False,False,False
Banco Nacional Panamá,legit_banco-de-chile_20251102T191314.png,BANCO (REF),Banco de Chile,0.7814306,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-de-chile_v4_20251130T221003.png,BANCO (AUG),Banco de Chile,0.78115064,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-de-chile_v6_20251130T221003.png,BANCO (AUG),Banco de Chile,0.7800425,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-de-chile_v0_20251130T221003.png,BANCO (AUG),Banco de Chile,0.77861553,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-del-pacífico_v1_20251130T221017.png,BANCO (AUG),Banco del Pacífico,0.7778741,False,False,False,False
Banco Nacional Panamá,legit_aug_banamex_v4_20251130T221003.png,BANCO (AUG),Banamex,0.775571,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-santander-argentina_v7_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.7752528,False,False,False,False
Banco Nacional Panamá,legit_aug_citibank-méxico_v3_20251130T221006.png,BANCO (AUG),Citibank México,0.77518344,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-santander-argentina_v2_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.7749948,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-santander-argentina_v3_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.77431,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-de-chile_v3_20251130T221003.png,BANCO (AUG),Banco de Chile,0.7738123,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-ciudad-de-buenos-aires_v4_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.7728027,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-bolivariano_v4_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.77250063,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-ciudad-de-buenos-aires_v8_20251130T221022.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.77242696,False,False,False,False
Banco Nacional Panamá,legit_aug_banamex_v1_20251130T221003.png,BANCO (AUG),Banamex,0.7721452,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-guayaquil_v0_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.7709954,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-de-chile_v8_20251130T221003.png,BANCO (AUG),Banco de Chile,0.77077657,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-ciudad-de-buenos-aires_v7_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.7707262,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-azteca_v9_20251130T221008.png,BANCO (AUG),Banco Azteca,0.769593,False,False,False,False
Banco Nacional Panamá,legit_banco-del-pac-fico_20251102T194055.png,BANCO (REF),Banco del Pacífico,0.7679174,False,False,False,False
Banco Nacional Panamá,legit_aug_banco-ciudad-de-buenos-aires_v5_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.7666579,False,False,False,False
