target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Nacional de Bolivia,legit_banco-nacional-de-bolivia_20251102T195022.png,BANCO (REF),Banco Nacional de Bolivia,1.0000002,True,True,False,True
Banco Nacional de Bolivia,legit_aug_banco-nacional-de-bolivia_v2_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.93218637,True,True,False,False
Banco Nacional de Bolivia,legit_aug_banco-nacional-de-bolivia_v3_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.9220947,True,True,False,False
Banco Nacional de Bolivia,legit_aug_banco-nacional-de-bolivia_v7_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.9209714,True,True,False,False
Banco Nacional de Bolivia,legit_aug_banco-nacional-de-bolivia_v9_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.91038996,True,True,False,False
Banco Nacional de Bolivia,legit_aug_banco-nacional-de-bolivia_v1_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.8873323,True,True,False,False
Banco Nacional de Bolivia,legit_aug_banco-nacional-de-bolivia_v6_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.8861879,True,True,False,False
Banco Nacional de Bolivia,legit_aug_banco-nacional-de-bolivia_v0_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.8746774,True,True,False,False
Banco Nacional de Bolivia,legit_aug_banco-nacional-de-bolivia_v8_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.86134195,True,True,False,False
Banco Nacional de Bolivia,legit_aug_banco-nacional-de-bolivia_v5_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.8461959,True,True,False,False
Banco Nacional de Bolivia,legit_aug_banco-nacional-de-bolivia_v4_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.8434844,True,True,False,False
Banco Nacional de Bolivia,legit_banco-nacional-panam_20251102T192611.png,BANCO (REF),Banco Nacional Panamá,0.7584982,False,False,False,False
Banco Nacional de Bolivia,legit_aug_citibank-méxico_v6_20251130T221006.png,BANCO (AUG),Citibank México,0.7406894,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-nacional-panamá_v3_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.72439516,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-bolivariano_v8_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.7212211,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-nacional-panamá_v1_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.71897894,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-nacional-panamá_v5_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.7172131,False,False,False,False
Banco Nacional de Bolivia,legit_aug_citibank-méxico_v7_20251130T221006.png,BANCO (AUG),Citibank México,0.71215385,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-bolivariano_v4_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.7105479,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-nacional-panamá_v4_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.71052957,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-guayaquil_v0_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.7064575,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-santander-argentina_v9_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.70590127,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-santander-argentina_v6_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.6995245,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-santander-argentina_v0_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.69897723,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-bolivariano_v5_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.69883716,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-provincia_v4_20251130T221013.png,BANCO (AUG),Banco Provincia,0.6987121,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-nacional-panamá_v0_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.6979574,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-bolivariano_v1_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.6963463,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-bolivariano_v2_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.69591475,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-guayaquil_v4_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.6948402,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-nacional-panamá_v2_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.6945741,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-provincia_v9_20251130T221013.png,BANCO (AUG),Banco Provincia,0.6943021,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-bolivariano_v9_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.6915433,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-nacional-panamá_v7_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.68965584,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-santander-argentina_v1_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.6896316,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-santander-argentina_v7_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.6882988,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-guayaquil_v5_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.6880931,False,False,False,False
Banco Nacional de Bolivia,legit_citibank-m-xico_20251102T195922.png,BANCO (REF),Citibank México,0.6875788,False,False,False,False
Banco Nacional de Bolivia,legit_banco-ciudad-de-buenos-aires_20251102T194956.png,BANCO (REF),Banco Ciudad de Buenos Aires,0.6872845,False,False,False,False
Banco Nacional de Bolivia,legit_aug_produbanco_v0_20251130T221018.png,BANCO (AUG),Produbanco,0.6868063,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-bolivariano_v3_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.68650293,False,False,False,False
Banco Nacional de Bolivia,legit_banamex_20251102T195813.png,BANCO (REF),Banamex,0.6858598,False,False,False,False
Banco Nacional de Bolivia,legit_aug_citibank-méxico_v3_20251130T221006.png,BANCO (AUG),Citibank México,0.68517625,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-azteca_v3_20251130T221008.png,BANCO (AUG),Banco Azteca,0.6849314,False,False,False,False
Banco Nacional de Bolivia,legit_banco-santander-uruguay_20251102T193706.png,BANCO (REF),Banco Santander Uruguay,0.68421304,False,False,False,False
Banco Nacional de Bolivia,legit_banco-guayaquil_20251102T200422.png,BANCO (REF),Banco Guayaquil,0.683958,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-caja-social_v0_20251130T221020.png,BANCO (AUG),Banco Caja Social,0.6833372,False,False,False,False
Banco Nacional de Bolivia,legit_banco-santander-argentina_20251102T192947.png,BANCO (REF),Banco Santander Argentina,0.6833277,False,False,False,False
Banco Nacional de Bolivia,legit_banco-de-chile_20251102T191314.png,BANCO (REF),Banco de Chile,0.6829502,False,False,False,False
Banco Nacional de Bolivia,legit_banco-azteca_20251102T192503.png,BANCO (REF),Banco Azteca,0.68242097,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-santander-argentina_v4_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.6821577,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-itaú-uruguay_v3_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.6811224,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-nacional-panamá_v6_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.6807034,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-itaú-uruguay_v0_20251130T221016.png,BANCO (AUG),Banco Itaú Uruguay,0.68002284,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-nacional-panamá_v8_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.6785376,False,False,False,False
Banco Nacional de Bolivia,legit_aug_bbva-méxico_v8_20251130T221002.png,BANCO (AUG),BBVA México,0.67659044,False,False,False,False
Banco Nacional de Bolivia,legit_banco-ita-uruguay_20251102T193855.png,BANCO (REF),Banco Itaú Uruguay,0.67562616,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banamex_v4_20251130T221003.png,BANCO (AUG),Banamex,0.6743752,False,False,False,False
Banco Nacional de Bolivia,legit_aug_bbva-méxico_v2_20251130T221002.png,BANCO (AUG),BBVA México,0.6741016,False,False,False,False
Banco Nacional de Bolivia,legit_aug_citibank-méxico_v2_20251130T221006.png,BANCO (AUG),Citibank México,0.67380655,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-de-chile_v0_20251130T221003.png,BANCO (AUG),Banco de Chile,0.67320883,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-ciudad-de-buenos-aires_v4_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.67312884,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-ciudad-de-buenos-aires_v5_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.67274535,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-de-chile_v6_20251130T221003.png,BANCO (AUG),Banco de Chile,0.6717136,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-santander-argentina_v3_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.6712624,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-ciudad-de-buenos-aires_v3_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.67103004,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-nacional-panamá_v9_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.67069566,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banamex_v5_20251130T221003.png,BANCO (AUG),Banamex,0.6703037,False,False,False,False
Banco Nacional de Bolivia,legit_banco-provincia_20251102T193232.png,BANCO (REF),Banco Provincia,0.66987646,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-bolivariano_v7_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.6688304,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-guayaquil_v8_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.6685705,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-itaú-uruguay_v5_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.6682482,False,False,False,False
Banco Nacional de Bolivia,legit_aug_produbanco_v1_20251130T221018.png,BANCO (AUG),Produbanco,0.66817075,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-de-chile_v4_20251130T221003.png,BANCO (AUG),Banco de Chile,0.6673682,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-de-chile_v8_20251130T221003.png,BANCO (AUG),Banco de Chile,0.6673243,False,False,False,False
Banco Nacional de Bolivia,legit_aug_bbva-colombia_v1_20251130T221006.png,BANCO (AUG),BBVA Colombia,0.6668554,False,False,False,False
Banco Nacional de Bolivia,legit_aug_gnb-sudameris_v0_20251130T221011.png,BANCO (AUG),GNB Sudameris,0.6654425,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-ciudad-de-buenos-aires_v8_20251130T221022.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.66533524,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banamex_v8_20251130T221003.png,BANCO (AUG),Banamex,0.66517174,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-itaú-uruguay_v2_20251130T221016.png,BANCO (AUG),Banco Itaú Uruguay,0.6645715,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-itaú-uruguay_v9_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.6641568,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-ciudad-de-buenos-aires_v7_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.66334355,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banamex_v1_20251130T221003.png,BANCO (AUG),Banamex,0.6631489,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-ciudad-de-buenos-aires_v6_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.6616906,False,False,False,False
Banco Nacional de Bolivia,legit_aug_citibank-méxico_v0_20251130T221006.png,BANCO (AUG),Citibank México,0.66158855,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-caja-social_v7_20251130T221020.png,BANCO (AUG),Banco Caja Social,0.6606547,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-de-chile_v7_20251130T221003.png,BANCO (AUG),Banco de Chile,0.660599,False,False,False,False
Banco Nacional de Bolivia,legit_aug_bbva-colombia_v2_20251130T221006.png,BANCO (AUG),BBVA Colombia,0.66043204,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-de-chile_v3_20251130T221003.png,BANCO (AUG),Banco de Chile,0.660092,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-azteca_v4_20251130T221008.png,BANCO (AUG),Banco Azteca,0.65995955,False,False,False,False
Banco Nacional de Bolivia,legit_bbva-m-xico_20251102T190939.png,BANCO (REF),BBVA México,0.659377,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-caja-social_v3_20251130T221020.png,BANCO (AUG),Banco Caja Social,0.65808773,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-itaú-uruguay_v4_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.65786564,False,False,False,False
Banco Nacional de Bolivia,legit_aug_citibank-méxico_v4_20251130T221006.png,BANCO (AUG),Citibank México,0.6575124,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-azteca_v9_20251130T221008.png,BANCO (AUG),Banco Azteca,0.65713686,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-santander-argentina_v2_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.6568057,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-azteca_v5_20251130T221008.png,BANCO (AUG),Banco Azteca,0.65658695,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-de-crédito-e-inversiones_v5_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.65653634,False,False,False,False
Banco Nacional de Bolivia,legit_aug_produbanco_v4_20251130T221018.png,BANCO (AUG),Produbanco,0.65647376,False,False,False,False
Banco Nacional de Bolivia,legit_aug_citibank-méxico_v5_20251130T221006.png,BANCO (AUG),Citibank México,0.6563087,False,False,False,False
Banco Nacional de Bolivia,legit_aug_bbva-colombia_v9_20251130T221007.png,BANCO (AUG),BBVA Colombia,0.6559722,False,False,False,False
Banco Nacional de Bolivia,legit_aug_bbva-colombia_v4_20251130T221006.png,BANCO (AUG),BBVA Colombia,0.6557974,False,False,False,False
Banco Nacional de Bolivia,legit_aug_bbva-colombia_v3_20251130T221006.png,BANCO (AUG),BBVA Colombia,0.6551509,False,False,False,False
Banco Nacional de Bolivia,legit_banrural_20251102T192634.png,BANCO (REF),Banrural,0.65504384,False,False,False,False
Banco Nacional de Bolivia,legit_aug_bbva-colombia_v6_20251130T221007.png,BANCO (AUG),BBVA Colombia,0.6547771,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-santander-uruguay_v0_20251130T221016.png,BANCO (AUG),Banco Santander Uruguay,0.65430856,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-itaú-uruguay_v8_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.6540762,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-azteca_v8_20251130T221008.png,BANCO (AUG),Banco Azteca,0.65380573,False,False,False,False
Banco Nacional de Bolivia,legit_aug_bbva-colombia_v7_20251130T221007.png,BANCO (AUG),BBVA Colombia,0.6533807,False,False,False,False
Banco Nacional de Bolivia,legit_aug_gnb-sudameris_v2_20251130T221011.png,BANCO (AUG),GNB Sudameris,0.65324634,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-de-chile_v5_20251130T221003.png,BANCO (AUG),Banco de Chile,0.6524154,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banrural_v3_20251130T221010.png,BANCO (AUG),Banrural,0.65234375,False,False,False,False
Banco Nacional de Bolivia,legit_banco-bolivariano_20251102T194855.png,BANCO (REF),Banco Bolivariano,0.65195787,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-santander-uruguay_v4_20251130T221016.png,BANCO (AUG),Banco Santander Uruguay,0.65148604,False,False,False,False
Banco Nacional de Bolivia,legit_aug_gnb-sudameris_v5_20251130T221011.png,BANCO (AUG),GNB Sudameris,0.6513015,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-azteca_v7_20251130T221008.png,BANCO (AUG),Banco Azteca,0.6511208,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banamex_v6_20251130T221003.png,BANCO (AUG),Banamex,0.6498815,False,False,False,False
Banco Nacional de Bolivia,legit_banco-caja-social_20251102T194626.png,BANCO (REF),Banco Caja Social,0.64982843,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-itaú-uruguay_v1_20251130T221016.png,BANCO (AUG),Banco Itaú Uruguay,0.649651,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-ciudad-de-buenos-aires_v0_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.6492959,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-caja-social_v6_20251130T221020.png,BANCO (AUG),Banco Caja Social,0.6488148,False,False,False,False
Banco Nacional de Bolivia,legit_aug_gnb-sudameris_v7_20251130T221012.png,BANCO (AUG),GNB Sudameris,0.64855134,False,False,False,False
Banco Nacional de Bolivia,legit_aug_bbva-méxico_v6_20251130T221002.png,BANCO (AUG),BBVA México,0.6484901,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-de-chile_v9_20251130T221003.png,BANCO (AUG),Banco de Chile,0.6484754,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-bice_v8_20251130T221013.png,BANCO (AUG),Banco Bice,0.64713764,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-guayaquil_v1_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.64681995,False,False,False,False
Banco Nacional de Bolivia,legit_aug_produbanco_v2_20251130T221018.png,BANCO (AUG),Produbanco,0.6460802,False,False,False,False
Banco Nacional de Bolivia,legit_aug_gnb-sudameris_v9_20251130T221012.png,BANCO (AUG),GNB Sudameris,0.64557326,False,False,False,False
Banco Nacional de Bolivia,legit_banco-de-cr-dito-e-inversiones_20251102T191004.png,BANCO (REF),Banco de Crédito e Inversiones,0.64556015,False,False,False,False
Banco Nacional de Bolivia,legit_aug_sudameris-paraguay_v1_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.6451966,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-azteca_v2_20251130T221008.png,BANCO (AUG),Banco Azteca,0.6442028,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-ciudad-de-buenos-aires_v2_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.6437522,False,False,False,False
Banco Nacional de Bolivia,legit_aug_bbva-méxico_v5_20251130T221002.png,BANCO (AUG),BBVA México,0.64337826,False,False,False,False
Banco Nacional de Bolivia,legit_aug_sudameris-paraguay_v8_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.6432941,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-santander-uruguay_v2_20251130T221016.png,BANCO (AUG),Banco Santander Uruguay,0.64301085,False,False,False,False
Banco Nacional de Bolivia,legit_aug_produbanco_v6_20251130T221018.png,BANCO (AUG),Produbanco,0.6424365,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-de-chile_v2_20251130T221003.png,BANCO (AUG),Banco de Chile,0.6424352,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-caja-social_v8_20251130T221020.png,BANCO (AUG),Banco Caja Social,0.6422192,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-santander-uruguay_v1_20251130T221016.png,BANCO (AUG),Banco Santander Uruguay,0.64192235,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-itaú-uruguay_v7_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.6414404,False,False,False,False
Banco Nacional de Bolivia,legit_aug_banco-bolivariano_v6_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.64067197,False,False,False,False
