target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Nacional de Costa Rica,legit_banco-nacional-de-costa-rica_20251102T192522.png,BANCO (REF),Banco Nacional de Costa Rica,0.99999964,True,True,False,True
Banco Nacional de Costa Rica,legit_aug_banco-nacional-de-costa-rica_v7_20251130T221009.png,BANCO (AUG),Banco Nacional de Costa Rica,0.93329054,True,True,False,False
Banco Nacional de Costa Rica,legit_aug_banco-nacional-de-costa-rica_v2_20251130T221009.png,BANCO (AUG),Banco Nacional de Costa Rica,0.92683244,True,True,False,False
Banco Nacional de Costa Rica,legit_aug_banco-nacional-de-costa-rica_v3_20251130T221009.png,BANCO (AUG),Banco Nacional de Costa Rica,0.9264178,True,True,False,False
Banco Nacional de Costa Rica,legit_aug_banco-nacional-de-costa-rica_v1_20251130T221009.png,BANCO (AUG),Banco Nacional de Costa Rica,0.9258143,True,True,False,False
Banco Nacional de Costa Rica,legit_aug_banco-nacional-de-costa-rica_v6_20251130T221009.png,BANCO (AUG),Banco Nacional de Costa Rica,0.9087085,True,True,False,False
Banco Nacional de Costa Rica,legit_aug_banco-nacional-de-costa-rica_v5_20251130T221009.png,BANCO (AUG),Banco Nacional de Costa Rica,0.90469134,True,True,False,False
Banco Nacional de Costa Rica,legit_aug_banco-nacional-de-costa-rica_v4_20251130T221009.png,BANCO (AUG),Banco Nacional de Costa Rica,0.88968205,True,True,False,False
Banco Nacional de Costa Rica,legit_aug_banco-nacional-de-costa-rica_v8_20251130T221009.png,BANCO (AUG),Banco Nacional de Costa Rica,0.8756296,True,True,False,False
Banco Nacional de Costa Rica,legit_aug_banco-nacional-de-costa-rica_v9_20251130T221009.png,BANCO (AUG),Banco Nacional de Costa Rica,0.87493545,True,True,False,False
Banco Nacional de Costa Rica,legit_aug_banco-nacional-de-costa-rica_v0_20251130T221008.png,BANCO (AUG),Banco Nacional de Costa Rica,0.8723149,True,True,False,False
Banco Nacional de Costa Rica,legit_aug_banco-nacional-panamá_v4_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.7389882,False,False,False,False
Banco Nacional de Costa Rica,legit_aug_banco-nacional-panamá_v5_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.7387181,False,False,False,False
Banco Nacional de Costa Rica,legit_aug_banco-nacional-panamá_v9_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.71904546,False,False,False,False
Banco Nacional de Costa Rica,legit_aug_banco-caja-social_v7_20251130T221020.png,BANCO (AUG),Banco Caja Social,0.7151321,False,False,False,False
Banco Nacional de Costa Rica,legit_aug_produbanco_v8_20251130T221018.png,BANCO (AUG),Produbanco,0.71396685,False,False,False,False
Banco Nacional de Costa Rica,legit_aug_banco-nacional-panamá_v7_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.7102099,False,False,False,False
Banco Nacional de Costa Rica,legit_aug_banco-nacional-panamá_v1_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.7088212,False,False,False,False
Banco Nacional de Costa Rica,legit_aug_produbanco_v4_20251130T221018.png,BANCO (AUG),Produbanco,0.7085079,False,False,False,False
Banco Nacional de Costa Rica,legit_aug_produbanco_v9_20251130T221018.png,BANCO (AUG),Produbanco,0.7077131,False,False,False,False
Banco Nacional de Costa Rica,legit_aug_banco-nacional-panamá_v3_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.7068671,False,False,False,False
