target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Popular Costa Rica,legit_banco-popular-costa-rica_20251102T193730.png,BANCO (REF),Banco Popular Costa Rica,1.0000001,True,True,False,True
Banco Popular Costa Rica,legit_aug_banco-popular-costa-rica_v8_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.921229,True,True,False,False
Banco Popular Costa Rica,legit_aug_banco-popular-costa-rica_v0_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.90827,True,True,False,False
Banco Popular Costa Rica,legit_aug_banco-popular-costa-rica_v7_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.8966882,True,True,False,False
Banco Popular Costa Rica,legit_aug_banco-popular-costa-rica_v5_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.8944752,True,True,False,False
Banco Popular Costa Rica,legit_aug_banco-popular-costa-rica_v1_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.8850974,True,True,False,False
Banco Popular Costa Rica,legit_aug_banco-popular-costa-rica_v6_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.8829642,True,True,False,False
Banco Popular Costa Rica,legit_aug_banco-popular-costa-rica_v2_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.8798785,True,True,False,False
Banco Popular Costa Rica,legit_aug_banco-popular-costa-rica_v4_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.8777737,True,True,False,False
Banco Popular Costa Rica,legit_aug_banco-popular-costa-rica_v3_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.8744925,True,True,False,False
Banco Popular Costa Rica,legit_aug_banco-popular-costa-rica_v9_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.8706984,True,True,False,False
Banco Popular Costa Rica,legit_aug_banco-ciudad-de-buenos-aires_v4_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.7650964,False,False,False,False
Banco Popular Costa Rica,legit_banco-ciudad-de-buenos-aires_20251102T194956.png,BANCO (REF),Banco Ciudad de Buenos Aires,0.7650782,False,False,False,False
Banco Popular Costa Rica,legit_aug_banistmo_v2_20251130T221014.png,BANCO (AUG),Banistmo,0.7554177,False,False,False,False
Banco Popular Costa Rica,legit_aug_banco-ciudad-de-buenos-aires_v3_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.7514044,False,False,False,False
Banco Popular Costa Rica,legit_aug_banistmo_v9_20251130T221014.png,BANCO (AUG),Banistmo,0.7496636,False,False,False,False
Banco Popular Costa Rica,legit_aug_banistmo_v5_20251130T221014.png,BANCO (AUG),Banistmo,0.7463721,False,False,False,False
Banco Popular Costa Rica,legit_aug_banistmo_v6_20251130T221014.png,BANCO (AUG),Banistmo,0.74516135,False,False,False,False
Banco Popular Costa Rica,legit_aug_banco-ciudad-de-buenos-aires_v6_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.74469084,False,False,False,False
Banco Popular Costa Rica,legit_aug_banco-ciudad-de-buenos-aires_v5_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.74383104,False,False,False,False
Banco Popular Costa Rica,legit_aug_banistmo_v4_20251130T221014.png,BANCO (AUG),Banistmo,0.7435205,False,False,False,False
Banco Popular Costa Rica,legit_aug_banistmo_v1_20251130T221014.png,BANCO (AUG),Banistmo,0.7431489,False,False,False,False
Banco Popular Costa Rica,legit_aug_banco-ciudad-de-buenos-aires_v0_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.7419095,False,False,False,False
Banco Popular Costa Rica,legit_aug_banco-ciudad-de-buenos-aires_v8_20251130T221022.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.7413291,False,False,False,False
Banco Popular Costa Rica,legit_aug_banco-ciudad-de-buenos-aires_v2_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.7390577,False,False,False,False
Banco Popular Costa Rica,legit_aug_banco-ciudad-de-buenos-aires_v9_20251130T221022.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.7371628,False,False,False,False
Banco Popular Costa Rica,legit_aug_banco-ciudad-de-buenos-aires_v7_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.73471045,False,False,False,False
Banco Popular Costa Rica,legit_aug_banistmo_v8_20251130T221014.png,BANCO (AUG),Banistmo,0.7340325,False,False,False,False
Banco Popular Costa Rica,legit_banistmo_20251102T193415.png,BANCO (REF),Banistmo,0.72887504,False,False,False,False
Banco Popular Costa Rica,legit_aug_banistmo_v0_20251130T221014.png,BANCO (AUG),Banistmo,0.72783554,False,False,False,False
Banco Popular Costa Rica,legit_aug_banco-del-pacífico_v4_20251130T221017.png,BANCO (AUG),Banco del Pacífico,0.72697747,False,False,False,False
Banco Popular Costa Rica,legit_aug_banistmo_v3_20251130T221014.png,BANCO (AUG),Banistmo,0.72682595,False,False,False,False
Banco Popular Costa Rica,legit_aug_banco-bolivariano_v8_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.7265799,False,False,False,False
