target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Provincia,legit_banco-provincia_20251102T193232.png,BANCO (REF),Banco Provincia,1.0,True,True,False,True
Banco Provincia,legit_aug_banco-provincia_v9_20251130T221013.png,BANCO (AUG),Banco Provincia,0.9426829,True,True,False,False
Banco Provincia,legit_aug_banco-provincia_v4_20251130T221013.png,BANCO (AUG),Banco Provincia,0.93662685,True,True,False,False
Banco Provincia,legit_aug_banco-provincia_v7_20251130T221013.png,BANCO (AUG),Banco Provincia,0.9291802,True,True,False,False
Banco Provincia,legit_aug_banco-provincia_v2_20251130T221013.png,BANCO (AUG),Banco Provincia,0.92373097,True,True,False,False
Banco Provincia,legit_aug_banco-provincia_v8_20251130T221013.png,BANCO (AUG),Banco Provincia,0.9233225,True,True,False,False
Banco Provincia,legit_aug_banco-provincia_v0_20251130T221013.png,BANCO (AUG),Banco Provincia,0.9190303,True,True,False,False
Banco Provincia,legit_aug_banco-provincia_v6_20251130T221013.png,BANCO (AUG),Banco Provincia,0.91702163,True,True,False,False
Banco Provincia,legit_aug_banco-provincia_v1_20251130T221013.png,BANCO (AUG),Banco Provincia,0.9156204,True,True,False,False
Banco Provincia,legit_aug_banco-provincia_v3_20251130T221013.png,BANCO (AUG),Banco Provincia,0.9106444,True,True,False,False
Banco Provincia,legit_aug_banco-provincia_v5_20251130T221013.png,BANCO (AUG),Banco Provincia,0.90157706,True,True,False,False
Banco Provincia,legit_aug_banco-ciudad-de-buenos-aires_v5_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.78566265,False,False,False,False
Banco Provincia,legit_aug_banco-ciudad-de-buenos-aires_v3_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.7847955,False,False,False,False
Banco Provincia,legit_aug_banco-ciudad-de-buenos-aires_v8_20251130T221022.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.7816502,False,False,False,False
Banco Provincia,legit_aug_banco-ciudad-de-buenos-aires_v2_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.7787734,False,False,False,False
Banco Provincia,legit_aug_banco-ciudad-de-buenos-aires_v4_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.77848935,False,False,False,False
Banco Provincia,legit_aug_banco-ciudad-de-buenos-aires_v7_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.7749864,False,False,False,False
Banco Provincia,legit_aug_banco-guayaquil_v4_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.77397066,False,False,False,False
Banco Provincia,legit_banco-ciudad-de-buenos-aires_20251102T194956.png,BANCO (REF),Banco Ciudad de Buenos Aires,0.77332044,False,False,False,False
Banco Provincia,legit_aug_banco-guayaquil_v8_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.7732194,False,False,False,False
Banco Provincia,legit_aug_banco-guayaquil_v5_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.7683253,False,False,False,False
Banco Provincia,legit_aug_banco-guayaquil_v6_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.76718014,False,False,False,False
Banco Provincia,legit_aug_banco-ciudad-de-buenos-aires_v0_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.766392,False,False,False,False
Banco Provincia,legit_aug_banco-guayaquil_v2_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.7657906,False,False,False,False
Banco Provincia,legit_aug_banco-ciudad-de-buenos-aires_v6_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.7654315,False,False,False,False
Banco Provincia,legit_aug_banco-guayaquil_v3_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.7644491,False,False,False,False
Banco Provincia,legit_aug_banco-guayaquil_v0_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.7627959,False,False,False,False
Banco Provincia,legit_banco-guayaquil_20251102T200422.png,BANCO (REF),Banco Guayaquil,0.7614585,False,False,False,False
Banco Provincia,legit_aug_banco-guayaquil_v1_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.76032525,False,False,False,False
Banco Provincia,legit_aug_banco-de-chile_v6_20251130T221003.png,BANCO (AUG),Banco de Chile,0.7602652,False,False,False,False
Banco Provincia,legit_aug_banco-bolivariano_v8_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.75753766,False,False,False,False
Banco Provincia,legit_aug_banco-popular-costa-rica_v5_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.75425553,False,False,False,False
Banco Provincia,legit_aug_banco-de-chile_v8_20251130T221003.png,BANCO (AUG),Banco de Chile,0.75181293,False,False,False,False
Banco Provincia,legit_aug_banco-guayaquil_v9_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.75048536,False,False,False,False
Banco Provincia,legit_aug_banco-popular-costa-rica_v4_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.74952245,False,False,False,False
Banco Provincia,legit_aug_banco-del-pacífico_v4_20251130T221017.png,BANCO (AUG),Banco del Pacífico,0.7482555,False,False,False,False
Banco Provincia,legit_aug_banco-popular-costa-rica_v2_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.74638927,False,False,False,False
Banco Provincia,legit_aug_banco-guayaquil_v7_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.7462237,False,False,False,False
Banco Provincia,legit_aug_hsbc-méxico_v4_20251130T221004.png,BANCO (AUG),HSBC México,0.74574184,False,False,False,False
Banco Provincia,legit_aug_banco-bolivariano_v0_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.74554336,False,False,False,False
Banco Provincia,legit_aug_banco-bice_v7_20251130T221013.png,BANCO (AUG),Banco Bice,0.744573,False,False,False,False
Banco Provincia,legit_aug_banistmo_v8_20251130T221014.png,BANCO (AUG),Banistmo,0.7441187,False,False,False,False
Banco Provincia,legit_aug_banco-bolivariano_v4_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.7422564,False,False,False,False
Banco Provincia,legit_aug_banco-de-chile_v0_20251130T221003.png,BANCO (AUG),Banco de Chile,0.7417134,False,False,False,False
Banco Provincia,legit_aug_banco-bolivariano_v1_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.74085987,False,False,False,False
Banco Provincia,legit_aug_banco-internacional-chile_v7_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.7398323,False,False,False,False
Banco Provincia,legit_aug_banco-bice_v2_20251130T221012.png,BANCO (AUG),Banco Bice,0.73908246,False,False,False,False
Banco Provincia,legit_aug_banco-del-pacífico_v3_20251130T221017.png,BANCO (AUG),Banco del Pacífico,0.7382374,False,False,False,False
Banco Provincia,legit_aug_banco-bice_v3_20251130T221013.png,BANCO (AUG),Banco Bice,0.73808736,False,False,False,False
Banco Provincia,legit_aug_banco-de-chile_v1_20251130T221003.png,BANCO (AUG),Banco de Chile,0.7372384,False,False,False,False
Banco Provincia,legit_aug_banco-de-chile_v5_20251130T221003.png,BANCO (AUG),Banco de Chile,0.7366694,False,False,False,False
Banco Provincia,legit_aug_banco-del-pacífico_v7_20251130T221018.png,BANCO (AUG),Banco del Pacífico,0.7360945,False,False,False,False
Banco Provincia,legit_aug_hsbc-méxico_v2_20251130T221004.png,BANCO (AUG),HSBC México,0.7355969,False,False,False,False
