target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Safra,legit_banco-safra_20251102T191220.png,BANCO (REF),Banco Safra,1.0000002,True,True,False,True
Banco Safra,legit_aug_banco-safra_v5_20251130T221003.png,BANCO (AUG),Banco Safra,0.9617783,True,True,False,False
Banco Safra,legit_aug_banco-safra_v8_20251130T221003.png,BANCO (AUG),Banco Safra,0.9515039,True,True,False,False
Banco Safra,legit_aug_banco-safra_v6_20251130T221003.png,BANCO (AUG),Banco Safra,0.93168753,True,True,False,False
Banco Safra,legit_aug_banco-safra_v4_20251130T221003.png,BANCO (AUG),Banco Safra,0.92856765,True,True,False,False
Banco Safra,legit_aug_banco-safra_v0_20251130T221003.png,BANCO (AUG),Banco Safra,0.92818344,True,True,False,False
Banco Safra,legit_aug_banco-safra_v1_20251130T221003.png,BANCO (AUG),Banco Safra,0.92623436,True,True,False,False
Banco Safra,legit_aug_banco-safra_v9_20251130T221003.png,BANCO (AUG),Banco Safra,0.9164301,True,True,False,False
Banco Safra,legit_aug_banco-safra_v7_20251130T221003.png,BANCO (AUG),Banco Safra,0.9069439,True,True,False,False
Banco Safra,legit_aug_banco-safra_v3_20251130T221003.png,BANCO (AUG),Banco Safra,0.89527905,True,True,False,False
Banco Safra,legit_aug_banco-safra_v2_20251130T221003.png,BANCO (AUG),Banco Safra,0.8926897,True,True,False,False
Banco Safra,random_gov-br_20251129T174615.png,RANDOM,unknown,0.5919508,False,False,False,False
Banco Safra,legit_aug_banco-azteca_v4_20251130T221008.png,BANCO (AUG),Banco Azteca,0.5806308,False,False,False,False
Banco Safra,legit_aug_banco-nacional-panamá_v9_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.5767033,False,False,False,False
Banco Safra,legit_banco-del-pac-fico_20251102T194055.png,BANCO (REF),Banco del Pacífico,0.5729378,False,False,False,False
Banco Safra,legit_aug_banco-bradesco_v2_20251130T221001.png,BANCO (AUG),Banco Bradesco,0.572811,False,False,False,False
Banco Safra,legit_aug_bbva-méxico_v6_20251130T221002.png,BANCO (AUG),BBVA México,0.5721805,False,False,False,False
Banco Safra,legit_aug_sudameris-paraguay_v2_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.56968987,False,False,False,False
