target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Santander Argentina,legit_banco-santander-argentina_20251102T192947.png,BANCO (REF),Banco Santander Argentina,1.0000001,True,True,False,True
Banco Santander Argentina,legit_aug_banco-santander-argentina_v0_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.9471859,True,True,False,False
Banco Santander Argentina,legit_aug_banco-santander-argentina_v9_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.94081354,True,True,False,False
Banco Santander Argentina,legit_aug_banco-santander-argentina_v4_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.9366423,True,True,False,False
Banco Santander Argentina,legit_aug_banco-santander-argentina_v2_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.93297046,True,True,False,False
Banco Santander Argentina,legit_aug_banco-santander-argentina_v7_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.92138946,True,True,False,False
Banco Santander Argentina,legit_aug_banco-santander-argentina_v6_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.92107284,True,True,False,False
Banco Santander Argentina,legit_aug_banco-santander-argentina_v1_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.90313566,True,True,False,False
Banco Santander Argentina,legit_aug_banco-santander-argentina_v3_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.9018334,True,True,False,False
Banco Santander Argentina,legit_aug_banco-santander-argentina_v8_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.87478876,True,True,False,False
Banco Santander Argentina,legit_aug_banco-santander-argentina_v5_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.8033364,True,True,False,False
Banco Santander Argentina,legit_banco-santander-uruguay_20251102T193706.png,BANCO (REF),Banco Santander Uruguay,0.7995193,False,False,False,False
Banco Santander Argentina,legit_aug_banco-santander-uruguay_v4_20251130T221016.png,BANCO (AUG),Banco Santander Uruguay,0.79587066,False,False,False,False
Banco Santander Argentina,legit_aug_banco-santander-uruguay_v0_20251130T221016.png,BANCO (AUG),Banco Santander Uruguay,0.79560643,False,False,False,False
Banco Santander Argentina,legit_aug_banco-nacional-panamá_v2_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.78743744,False,False,False,False
Banco Santander Argentina,legit_banco-nacional-panam_20251102T192611.png,BANCO (REF),Banco Nacional Panamá,0.7852017,False,False,False,False
Banco Santander Argentina,legit_aug_banco-santander-uruguay_v5_20251130T221016.png,BANCO (AUG),Banco Santander Uruguay,0.7830234,False,False,False,False
Banco Santander Argentina,legit_aug_banco-santander-uruguay_v1_20251130T221016.png,BANCO (AUG),Banco Santander Uruguay,0.78240234,False,False,False,False
Banco Santander Argentina,legit_aug_banco-santander-uruguay_v2_20251130T221016.png,BANCO (AUG),Banco Santander Uruguay,0.77986586,False,False,False,False
Banco Santander Argentina,legit_aug_banco-nacional-panamá_v4_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.77569383,False,False,False,False
Banco Santander Argentina,legit_aug_banco-nacional-panamá_v5_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.7740626,False,False,False,False
Banco Santander Argentina,legit_aug_banco-nacional-panamá_v1_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.7723516,False,False,False,False
Banco Santander Argentina,legit_aug_banamex_v5_20251130T221003.png,BANCO (AUG),Banamex,0.7648691,False,False,False,False
Banco Santander Argentina,legit_aug_banamex_v4_20251130T221003.png,BANCO (AUG),Banamex,0.7636945,False,False,False,False
Banco Santander Argentina,legit_aug_banco-nacional-panamá_v0_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.760379,False,False,False,False
Banco Santander Argentina,legit_aug_banco-santander-uruguay_v9_20251130T221016.png,BANCO (AUG),Banco Santander Uruguay,0.75854164,False,False,False,False
Banco Santander Argentina,legit_aug_banco-nacional-panamá_v3_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.7575203,False,False,False,False
