target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Security,legit_banco-security_20251102T200253.png,BANCO (REF),Banco Security,1.0000004,True,True,False,True
Banco Security,legit_aug_banco-security_v7_20251130T221015.png,BANCO (AUG),Banco Security,0.94660664,True,True,False,False
Banco Security,legit_aug_banco-security_v3_20251130T221015.png,BANCO (AUG),Banco Security,0.9442162,True,True,False,False
Banco Security,legit_aug_banco-security_v8_20251130T221015.png,BANCO (AUG),Banco Security,0.91848576,True,True,False,False
Banco Security,legit_aug_banco-security_v2_20251130T221014.png,BANCO (AUG),Banco Security,0.9041308,True,True,False,False
Banco Security,legit_aug_banco-security_v0_20251130T221014.png,BANCO (AUG),Banco Security,0.8981116,True,True,False,False
Banco Security,legit_aug_banco-security_v9_20251130T221015.png,BANCO (AUG),Banco Security,0.88194287,True,True,False,False
Banco Security,legit_aug_banco-security_v5_20251130T221015.png,BANCO (AUG),Banco Security,0.8774417,True,True,False,False
Banco Security,legit_aug_banco-security_v1_20251130T221014.png,BANCO (AUG),Banco Security,0.8683977,True,True,False,False
Banco Security,legit_aug_banco-security_v6_20251130T221015.png,BANCO (AUG),Banco Security,0.81108284,True,True,False,False
Banco Security,legit_aug_banco-security_v4_20251130T221015.png,BANCO (AUG),Banco Security,0.8080875,True,True,False,False
Banco Security,legit_aug_banco-bice_v9_20251130T221013.png,BANCO (AUG),Banco Bice,0.64860445,False,False,False,False
Banco Security,legit_aug_banco-bice_v6_20251130T221013.png,BANCO (AUG),Banco Bice,0.64396787,False,False,False,False
Banco Security,legit_banco-bice_20251102T193210.png,BANCO (REF),Banco Bice,0.6392833,False,False,False,False
Banco Security,legit_aug_banco-bice_v8_20251130T221013.png,BANCO (AUG),Banco Bice,0.637245,False,False,False,False
Banco Security,legit_aug_banco-bice_v3_20251130T221013.png,BANCO (AUG),Banco Bice,0.6334658,False,False,False,False
Banco Security,legit_aug_banco-bice_v7_20251130T221013.png,BANCO (AUG),Banco Bice,0.63164306,False,False,False,False
Banco Security,legit_aug_banco-bice_v4_20251130T221013.png,BANCO (AUG),Banco Bice,0.62524414,False,False,False,False
Banco Security,legit_aug_banco-bice_v2_20251130T221012.png,BANCO (AUG),Banco Bice,0.6241988,False,False,False,False
Banco Security,legit_aug_banco-bice_v0_20251130T221012.png,BANCO (AUG),Banco Bice,0.6220685,False,False,False,False
Banco Security,legit_aug_banco-de-chile_v8_20251130T221003.png,BANCO (AUG),Banco de Chile,0.62148714,False,False,False,False
Banco Security,legit_aug_banco-de-chile_v6_20251130T221003.png,BANCO (AUG),Banco de Chile,0.6209762,False,False,False,False
Banco Security,legit_aug_banco-provincia_v7_20251130T221013.png,BANCO (AUG),Banco Provincia,0.6174822,False,False,False,False
Banco Security,legit_aug_banco-nacional-panamá_v5_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.615843,False,False,False,False
Banco Security,random_lanacion-com-ar_20251129T180356.png,RANDOM,unknown,0.6121501,False,False,False,False
Banco Security,legit_aug_banco-provincia_v9_20251130T221013.png,BANCO (AUG),Banco Provincia,0.6086647,False,False,False,False
Banco Security,legit_aug_banco-de-chile_v2_20251130T221003.png,BANCO (AUG),Banco de Chile,0.60865045,False,False,False,False
Banco Security,legit_aug_banco-bice_v5_20251130T221013.png,BANCO (AUG),Banco Bice,0.60688424,False,False,False,False
Banco Security,legit_aug_banco-de-chile_v4_20251130T221003.png,BANCO (AUG),Banco de Chile,0.60522693,False,False,False,False
Banco Security,legit_aug_banco-de-chile_v9_20251130T221003.png,BANCO (AUG),Banco de Chile,0.60175335,False,False,False,False
Banco Security,legit_aug_banco-de-chile_v1_20251130T221003.png,BANCO (AUG),Banco de Chile,0.6015415,False,False,False,False
Banco Security,legit_produbanco_20251102T194118.png,BANCO (REF),Produbanco,0.6013005,False,False,False,False
Banco Security,legit_aug_banco-de-chile_v0_20251130T221003.png,BANCO (AUG),Banco de Chile,0.60104537,False,False,False,False
Banco Security,legit_aug_banco-provincia_v6_20251130T221013.png,BANCO (AUG),Banco Provincia,0.60040927,False,False,False,False
Banco Security,legit_aug_banco-nacional-panamá_v4_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.59877324,False,False,False,False
Banco Security,legit_aug_banco-bice_v1_20251130T221012.png,BANCO (AUG),Banco Bice,0.59790915,False,False,False,False
Banco Security,legit_aug_banco-provincia_v2_20251130T221013.png,BANCO (AUG),Banco Provincia,0.5958563,False,False,False,False
Banco Security,legit_aug_banco-provincia_v0_20251130T221013.png,BANCO (AUG),Banco Provincia,0.5955435,False,False,False,False
Banco Security,legit_aug_banco-del-pacífico_v7_20251130T221018.png,BANCO (AUG),Banco del Pacífico,0.59401464,False,False,False,False
Banco Security,legit_aug_banco-provincia_v5_20251130T221013.png,BANCO (AUG),Banco Provincia,0.5937432,False,False,False,False
Banco Security,legit_aug_banco-del-pacífico_v3_20251130T221017.png,BANCO (AUG),Banco del Pacífico,0.5931177,False,False,False,False
Banco Security,random_abc-es_20251129T175348.png,RANDOM,unknown,0.59191334,False,False,False,False
Banco Security,legit_aug_banco-de-chile_v5_20251130T221003.png,BANCO (AUG),Banco de Chile,0.59143066,False,False,False,False
Banco Security,legit_aug_banco-provincia_v4_20251130T221013.png,BANCO (AUG),Banco Provincia,0.5913426,False,False,False,False
Banco Security,legit_aug_banco-nacional-panamá_v9_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.5912812,False,False,False,False
Banco Security,legit_aug_banco-de-crédito-e-inversiones_v6_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.5892591,False,False,False,False
Banco Security,legit_aug_banco-popular-costa-rica_v5_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.5891247,False,False,False,False
Banco Security,legit_aug_banco-caja-social_v0_20251130T221020.png,BANCO (AUG),Banco Caja Social,0.5889209,False,False,False,False
Banco Security,legit_aug_banco-provincia_v8_20251130T221013.png,BANCO (AUG),Banco Provincia,0.5886818,False,False,False,False
Banco Security,legit_banco-provincia_20251102T193232.png,BANCO (REF),Banco Provincia,0.58826387,False,False,False,False
Banco Security,legit_aug_scotiabank-chile_v8_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.5877849,False,False,False,False
Banco Security,legit_aug_banco-popular-costa-rica_v3_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.5874439,False,False,False,False
Banco Security,legit_aug_banco-provincia_v1_20251130T221013.png,BANCO (AUG),Banco Provincia,0.58721185,False,False,False,False
Banco Security,legit_banco-nacional-panam_20251102T192611.png,BANCO (REF),Banco Nacional Panamá,0.58578044,False,False,False,False
