target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco de Chile,legit_banco-de-chile_20251102T191314.png,BANCO (REF),Banco de Chile,1.0,True,True,False,True
Banco de Chile,legit_aug_banco-de-chile_v0_20251130T221003.png,BANCO (AUG),Banco de Chile,0.95967424,True,True,False,False
Banco de Chile,legit_aug_banco-de-chile_v3_20251130T221003.png,BANCO (AUG),Banco de Chile,0.9542,True,True,False,False
Banco de Chile,legit_aug_banco-de-chile_v8_20251130T221003.png,BANCO (AUG),Banco de Chile,0.9525313,True,True,False,False
Banco de Chile,legit_aug_banco-de-chile_v9_20251130T221003.png,BANCO (AUG),Banco de Chile,0.9508141,True,True,False,False
Banco de Chile,legit_aug_banco-de-chile_v1_20251130T221003.png,BANCO (AUG),Banco de Chile,0.94822097,True,True,False,False
Banco de Chile,legit_aug_banco-de-chile_v5_20251130T221003.png,BANCO (AUG),Banco de Chile,0.9476855,True,True,False,False
Banco de Chile,legit_aug_banco-de-chile_v6_20251130T221003.png,BANCO (AUG),Banco de Chile,0.94566387,True,True,False,False
Banco de Chile,legit_aug_banco-de-chile_v7_20251130T221003.png,BANCO (AUG),Banco de Chile,0.9451355,True,True,False,False
Banco de Chile,legit_aug_banco-de-chile_v4_20251130T221003.png,BANCO (AUG),Banco de Chile,0.942325,True,True,False,False
Banco de Chile,legit_aug_banco-de-chile_v2_20251130T221003.png,BANCO (AUG),Banco de Chile,0.9273108,True,True,False,False
Banco de Chile,legit_aug_banco-ciudad-de-buenos-aires_v4_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.8072939,True,False,True,False
Banco de Chile,legit_aug_banco-ciudad-de-buenos-aires_v3_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.79695404,False,False,False,False
Banco de Chile,legit_aug_banco-ciudad-de-buenos-aires_v8_20251130T221022.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.7967465,False,False,False,False
Banco de Chile,legit_aug_banco-ciudad-de-buenos-aires_v5_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.79653883,False,False,False,False
Banco de Chile,legit_aug_banco-bice_v8_20251130T221013.png,BANCO (AUG),Banco Bice,0.7961877,False,False,False,False
Banco de Chile,legit_aug_banco-ciudad-de-buenos-aires_v6_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.79577047,False,False,False,False
Banco de Chile,legit_banco-ciudad-de-buenos-aires_20251102T194956.png,BANCO (REF),Banco Ciudad de Buenos Aires,0.7944101,False,False,False,False
Banco de Chile,legit_aug_banco-bice_v7_20251130T221013.png,BANCO (AUG),Banco Bice,0.7940098,False,False,False,False
Banco de Chile,legit_aug_banco-ciudad-de-buenos-aires_v2_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.79151434,False,False,False,False
Banco de Chile,legit_aug_banco-ciudad-de-buenos-aires_v0_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.78956234,False,False,False,False
Banco de Chile,legit_aug_banco-nacional-panamá_v5_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.78710365,False,False,False,False
Banco de Chile,legit_aug_banco-ciudad-de-buenos-aires_v7_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.7836298,False,False,False,False
Banco de Chile,legit_banco-nacional-panam_20251102T192611.png,BANCO (REF),Banco Nacional Panamá,0.7814306,False,False,False,False
Banco de Chile,legit_aug_banistmo_v8_20251130T221014.png,BANCO (AUG),Banistmo,0.78071105,False,False,False,False
Banco de Chile,legit_aug_banco-bice_v3_20251130T221013.png,BANCO (AUG),Banco Bice,0.7797431,False,False,False,False
Banco de Chile,legit_aug_banco-bolivariano_v8_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.7761307,False,False,False,False
Banco de Chile,legit_aug_banco-bice_v0_20251130T221012.png,BANCO (AUG),Banco Bice,0.7746473,False,False,False,False
Banco de Chile,legit_aug_banco-nacional-panamá_v9_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.7740417,False,False,False,False
Banco de Chile,legit_aug_banco-guayaquil_v0_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.7731494,False,False,False,False
Banco de Chile,legit_banco-guayaquil_20251102T200422.png,BANCO (REF),Banco Guayaquil,0.7717028,False,False,False,False
Banco de Chile,legit_aug_banco-bice_v5_20251130T221013.png,BANCO (AUG),Banco Bice,0.768981,False,False,False,False
Banco de Chile,legit_aug_banco-bolivariano_v4_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.7659319,False,False,False,False
Banco de Chile,legit_aug_banistmo_v2_20251130T221014.png,BANCO (AUG),Banistmo,0.7659289,False,False,False,False
Banco de Chile,legit_aug_banco-nacional-panamá_v1_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.7649683,False,False,False,False
Banco de Chile,legit_banco-bice_20251102T193210.png,BANCO (REF),Banco Bice,0.76495206,False,False,False,False
Banco de Chile,legit_aug_banistmo_v4_20251130T221014.png,BANCO (AUG),Banistmo,0.7647475,False,False,False,False
Banco de Chile,legit_aug_banistmo_v6_20251130T221014.png,BANCO (AUG),Banistmo,0.76312816,False,False,False,False
Banco de Chile,legit_aug_banco-del-pacífico_v0_20251130T221017.png,BANCO (AUG),Banco del Pacífico,0.76304805,False,False,False,False
Banco de Chile,legit_aug_banco-guayaquil_v4_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.7629914,False,False,False,False
Banco de Chile,legit_aug_banco-guayaquil_v5_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.7627059,False,False,False,False
Banco de Chile,legit_aug_banco-santander-argentina_v8_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.7625451,False,False,False,False
Banco de Chile,legit_aug_banco-nacional-panamá_v4_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.76212335,False,False,False,False
Banco de Chile,legit_aug_banco-santander-argentina_v1_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.7615185,False,False,False,False
Banco de Chile,legit_aug_banco-bice_v9_20251130T221013.png,BANCO (AUG),Banco Bice,0.7614051,False,False,False,False
Banco de Chile,legit_banco-de-cr-dito-e-inversiones_20251102T191004.png,BANCO (REF),Banco de Crédito e Inversiones,0.7610079,False,False,False,False
Banco de Chile,legit_aug_banistmo_v9_20251130T221014.png,BANCO (AUG),Banistmo,0.7599802,False,False,False,False
Banco de Chile,legit_aug_banco-bolivariano_v7_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.75942373,False,False,False,False
Banco de Chile,legit_aug_banco-ciudad-de-buenos-aires_v9_20251130T221022.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.7592324,False,False,False,False
Banco de Chile,legit_aug_banco-ciudad-de-buenos-aires_v1_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.75912774,False,False,False,False
Banco de Chile,legit_aug_banistmo_v5_20251130T221014.png,BANCO (AUG),Banistmo,0.75903296,False,False,False,False
Banco de Chile,legit_aug_banco-santander-argentina_v4_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.75902975,False,False,False,False
Banco de Chile,legit_aug_banistmo_v3_20251130T221014.png,BANCO (AUG),Banistmo,0.75859696,False,False,False,False
Banco de Chile,legit_aug_banco-guayaquil_v8_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.75784254,False,False,False,False
Banco de Chile,legit_aug_banco-nacional-panamá_v2_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.7567276,False,False,False,False
Banco de Chile,legit_aug_banco-bolivariano_v9_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.75612855,False,False,False,False
Banco de Chile,legit_aug_banco-bice_v1_20251130T221012.png,BANCO (AUG),Banco Bice,0.7560798,False,False,False,False
Banco de Chile,legit_aug_banco-bolivariano_v1_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.756017,False,False,False,False
Banco de Chile,legit_aug_bbva-colombia_v2_20251130T221006.png,BANCO (AUG),BBVA Colombia,0.7555693,False,False,False,False
Banco de Chile,legit_aug_banco-bice_v4_20251130T221013.png,BANCO (AUG),Banco Bice,0.75490415,False,False,False,False
Banco de Chile,legit_aug_banco-del-pacífico_v8_20251130T221018.png,BANCO (AUG),Banco del Pacífico,0.7548155,False,False,False,False
Banco de Chile,legit_aug_banco-bice_v2_20251130T221012.png,BANCO (AUG),Banco Bice,0.7547662,False,False,False,False
Banco de Chile,legit_aug_banco-azteca_v8_20251130T221008.png,BANCO (AUG),Banco Azteca,0.75449383,False,False,False,False
Banco de Chile,legit_aug_banco-nacional-panamá_v0_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.75432664,False,False,False,False
Banco de Chile,legit_aug_banco-azteca_v3_20251130T221008.png,BANCO (AUG),Banco Azteca,0.7533054,False,False,False,False
Banco de Chile,legit_aug_banco-guayaquil_v3_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.7528125,False,False,False,False
Banco de Chile,legit_aug_banco-del-pacífico_v3_20251130T221017.png,BANCO (AUG),Banco del Pacífico,0.7524426,False,False,False,False
Banco de Chile,legit_aug_banco-guayaquil_v1_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.7520316,False,False,False,False
Banco de Chile,legit_aug_bbva-méxico_v5_20251130T221002.png,BANCO (AUG),BBVA México,0.7512201,False,False,False,False
Banco de Chile,legit_aug_banco-de-crédito-e-inversiones_v6_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.75108296,False,False,False,False
Banco de Chile,legit_aug_banco-del-pacífico_v1_20251130T221017.png,BANCO (AUG),Banco del Pacífico,0.7510804,False,False,False,False
Banco de Chile,legit_aug_banistmo_v1_20251130T221014.png,BANCO (AUG),Banistmo,0.7504301,False,False,False,False
Banco de Chile,legit_aug_banco-santander-argentina_v6_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.75030315,False,False,False,False
Banco de Chile,legit_aug_banco-santander-argentina_v2_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.7500867,False,False,False,False
Banco de Chile,legit_aug_banistmo_v0_20251130T221014.png,BANCO (AUG),Banistmo,0.75001836,False,False,False,False
Banco de Chile,legit_aug_banco-azteca_v1_20251130T221008.png,BANCO (AUG),Banco Azteca,0.74910396,False,False,False,False
Banco de Chile,legit_aug_bbva-colombia_v1_20251130T221006.png,BANCO (AUG),BBVA Colombia,0.7487341,False,False,False,False
Banco de Chile,legit_aug_banco-nacional-panamá_v3_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.74850094,False,False,False,False
Banco de Chile,legit_banco-azteca_20251102T192503.png,BANCO (REF),Banco Azteca,0.74817014,False,False,False,False
Banco de Chile,legit_aug_banco-de-crédito-e-inversiones_v7_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.7479293,False,False,False,False
Banco de Chile,legit_aug_banco-santander-argentina_v7_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.7473587,False,False,False,False
Banco de Chile,legit_aug_banco-del-pacífico_v4_20251130T221017.png,BANCO (AUG),Banco del Pacífico,0.7470765,False,False,False,False
Banco de Chile,legit_aug_banco-azteca_v4_20251130T221008.png,BANCO (AUG),Banco Azteca,0.7464473,False,False,False,False
Banco de Chile,legit_aug_banco-bice_v6_20251130T221013.png,BANCO (AUG),Banco Bice,0.74643886,False,False,False,False
Banco de Chile,legit_aug_inbursa_v7_20251130T221006.png,BANCO (AUG),Inbursa,0.7462244,False,False,False,False
Banco de Chile,legit_aug_bbva-colombia_v3_20251130T221006.png,BANCO (AUG),BBVA Colombia,0.74573106,False,False,False,False
Banco de Chile,legit_aug_banco-santander-argentina_v0_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.7455455,False,False,False,False
Banco de Chile,legit_aug_inbursa_v9_20251130T221006.png,BANCO (AUG),Inbursa,0.74441934,False,False,False,False
Banco de Chile,legit_aug_hsbc-méxico_v0_20251130T221003.png,BANCO (AUG),HSBC México,0.7439368,False,False,False,False
Banco de Chile,legit_aug_banco-bolivariano_v2_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.7435347,False,False,False,False
Banco de Chile,legit_aug_sudameris-paraguay_v1_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.7434728,False,False,False,False
