target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco de Crédito e Inversiones,legit_banco-de-cr-dito-e-inversiones_20251102T191004.png,BANCO (REF),Banco de Crédito e Inversiones,1.0,True,True,False,True
Banco de Crédito e Inversiones,legit_aug_banco-de-crédito-e-inversiones_v6_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.9505061,True,True,False,False
Banco de Crédito e Inversiones,legit_aug_banco-de-crédito-e-inversiones_v7_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.9366494,True,True,False,False
Banco de Crédito e Inversiones,legit_aug_banco-de-crédito-e-inversiones_v3_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.933455,True,True,False,False
Banco de Crédito e Inversiones,legit_aug_banco-de-crédito-e-inversiones_v9_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.916317,True,True,False,False
Banco de Crédito e Inversiones,legit_aug_banco-de-crédito-e-inversiones_v5_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.89589417,True,True,False,False
Banco de Crédito e Inversiones,legit_aug_banco-de-crédito-e-inversiones_v4_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.89303714,True,True,False,False
Banco de Crédito e Inversiones,legit_aug_banco-de-crédito-e-inversiones_v1_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.8855096,True,True,False,False
Banco de Crédito e Inversiones,legit_aug_banco-de-crédito-e-inversiones_v2_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.88150257,True,True,False,False
Banco de Crédito e Inversiones,legit_aug_banco-de-crédito-e-inversiones_v8_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.8680157,True,True,False,False
Banco de Crédito e Inversiones,legit_aug_banco-de-crédito-e-inversiones_v0_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.86344516,True,True,False,False
Banco de Crédito e Inversiones,legit_aug_banco-nacional-panamá_v5_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.8038353,True,False,True,False
Banco de Crédito e Inversiones,legit_aug_banco-nacional-panamá_v4_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.78861105,False,False,False,False
Banco de Crédito e Inversiones,legit_aug_banco-nacional-panamá_v9_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.7834505,False,False,False,False
Banco de Crédito e Inversiones,legit_aug_banco-del-pacífico_v7_20251130T221018.png,BANCO (AUG),Banco del Pacífico,0.7819047,False,False,False,False
Banco de Crédito e Inversiones,legit_aug_banco-azteca_v8_20251130T221008.png,BANCO (AUG),Banco Azteca,0.7701248,False,False,False,False
Banco de Crédito e Inversiones,legit_aug_banco-bice_v8_20251130T221013.png,BANCO (AUG),Banco Bice,0.7675391,False,False,False,False
Banco de Crédito e Inversiones,legit_aug_banamex_v4_20251130T221003.png,BANCO (AUG),Banamex,0.76522934,False,False,False,False
Banco de Crédito e Inversiones,legit_aug_banco-azteca_v4_20251130T221008.png,BANCO (AUG),Banco Azteca,0.76451004,False,False,False,False
Banco de Crédito e Inversiones,legit_banco-nacional-panam_20251102T192611.png,BANCO (REF),Banco Nacional Panamá,0.76419556,False,False,False,False
Banco de Crédito e Inversiones,legit_aug_banco-nacional-panamá_v1_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.7641648,False,False,False,False
Banco de Crédito e Inversiones,legit_aug_banco-bolivariano_v8_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.7636628,False,False,False,False
Banco de Crédito e Inversiones,legit_banamex_20251102T195813.png,BANCO (REF),Banamex,0.76219666,False,False,False,False
Banco de Crédito e Inversiones,legit_aug_banco-azteca_v3_20251130T221008.png,BANCO (AUG),Banco Azteca,0.7618505,False,False,False,False
Banco de Crédito e Inversiones,legit_banco-del-pac-fico_20251102T194055.png,BANCO (REF),Banco del Pacífico,0.7614494,False,False,False,False
Banco de Crédito e Inversiones,legit_banco-de-chile_20251102T191314.png,BANCO (REF),Banco de Chile,0.7610079,False,False,False,False
Banco de Crédito e Inversiones,legit_aug_banco-del-pacífico_v3_20251130T221017.png,BANCO (AUG),Banco del Pacífico,0.7600845,False,False,False,False
Banco de Crédito e Inversiones,legit_aug_banco-santander-argentina_v1_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.75958145,False,False,False,False
Banco de Crédito e Inversiones,legit_aug_banco-de-chile_v6_20251130T221003.png,BANCO (AUG),Banco de Chile,0.7590841,False,False,False,False
Banco de Crédito e Inversiones,legit_aug_hsbc-méxico_v2_20251130T221004.png,BANCO (AUG),HSBC México,0.7581763,False,False,False,False
Banco de Crédito e Inversiones,legit_aug_banco-azteca_v1_20251130T221008.png,BANCO (AUG),Banco Azteca,0.7578789,False,False,False,False
Banco de Crédito e Inversiones,legit_aug_banco-nacional-panamá_v7_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.7571939,False,False,False,False
Banco de Crédito e Inversiones,legit_aug_banco-santander-argentina_v8_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.7561476,False,False,False,False
Banco de Crédito e Inversiones,legit_aug_banco-de-chile_v8_20251130T221003.png,BANCO (AUG),Banco de Chile,0.75598824,False,False,False,False
Banco de Crédito e Inversiones,legit_aug_banistmo_v2_20251130T221014.png,BANCO (AUG),Banistmo,0.7552447,False,False,False,False
Banco de Crédito e Inversiones,legit_scotiabank-chile_20251102T191440.png,BANCO (REF),Scotiabank Chile,0.7546891,False,False,False,False
Banco de Crédito e Inversiones,legit_aug_banco-nacional-panamá_v2_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.7535546,False,False,False,False
Banco de Crédito e Inversiones,legit_aug_banco-del-pacífico_v2_20251130T221017.png,BANCO (AUG),Banco del Pacífico,0.75336206,False,False,False,False
Banco de Crédito e Inversiones,legit_aug_banco-de-chile_v0_20251130T221003.png,BANCO (AUG),Banco de Chile,0.7526557,False,False,False,False
Banco de Crédito e Inversiones,legit_aug_hsbc-méxico_v9_20251130T221004.png,BANCO (AUG),HSBC México,0.75231916,False,False,False,False
Banco de Crédito e Inversiones,legit_aug_banco-santander-argentina_v4_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.75216174,False,False,False,False
Banco de Crédito e Inversiones,legit_aug_banco-del-pacífico_v1_20251130T221017.png,BANCO (AUG),Banco del Pacífico,0.7520981,False,False,False,False
Banco de Crédito e Inversiones,legit_aug_bbva-colombia_v9_20251130T221007.png,BANCO (AUG),BBVA Colombia,0.75204706,False,False,False,False
Banco de Crédito e Inversiones,legit_aug_banco-santander-argentina_v3_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.7520083,False,False,False,False
