target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco del Pacífico,legit_banco-del-pac-fico_20251102T194055.png,BANCO (REF),Banco del Pacífico,1.0,True,True,False,True
Banco del Pacífico,legit_aug_banco-del-pacífico_v4_20251130T221017.png,BANCO (AUG),Banco del Pacífico,0.9475058,True,True,False,False
Banco del Pacífico,legit_aug_banco-del-pacífico_v3_20251130T221017.png,BANCO (AUG),Banco del Pacífico,0.9409449,True,True,False,False
Banco del Pacífico,legit_aug_banco-del-pacífico_v1_20251130T221017.png,BANCO (AUG),Banco del Pacífico,0.94021946,True,True,False,False
Banco del Pacífico,legit_aug_banco-del-pacífico_v0_20251130T221017.png,BANCO (AUG),Banco del Pacífico,0.9393315,True,True,False,False
Banco del Pacífico,legit_aug_banco-del-pacífico_v7_20251130T221018.png,BANCO (AUG),Banco del Pacífico,0.9369481,True,True,False,False
Banco del Pacífico,legit_aug_banco-del-pacífico_v2_20251130T221017.png,BANCO (AUG),Banco del Pacífico,0.9360754,True,True,False,False
Banco del Pacífico,legit_aug_banco-del-pacífico_v8_20251130T221018.png,BANCO (AUG),Banco del Pacífico,0.9246905,True,True,False,False
Banco del Pacífico,legit_aug_banco-del-pacífico_v9_20251130T221018.png,BANCO (AUG),Banco del Pacífico,0.9123597,True,True,False,False
Banco del Pacífico,legit_aug_banco-del-pacífico_v5_20251130T221018.png,BANCO (AUG),Banco del Pacífico,0.89155906,True,True,False,False
Banco del Pacífico,legit_aug_banco-del-pacífico_v6_20251130T221018.png,BANCO (AUG),Banco del Pacífico,0.8883921,True,True,False,False
Banco del Pacífico,legit_aug_banco-ciudad-de-buenos-aires_v0_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.7936833,False,False,False,False
Banco del Pacífico,legit_aug_banco-ciudad-de-buenos-aires_v4_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.7930548,False,False,False,False
Banco del Pacífico,legit_aug_banco-de-crédito-e-inversiones_v0_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.78689486,False,False,False,False
Banco del Pacífico,legit_aug_banco-ciudad-de-buenos-aires_v3_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.78577065,False,False,False,False
Banco del Pacífico,legit_aug_banco-ciudad-de-buenos-aires_v2_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.7838464,False,False,False,False
Banco del Pacífico,legit_aug_banco-ciudad-de-buenos-aires_v7_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.7795768,False,False,False,False
Banco del Pacífico,legit_aug_banco-de-crédito-e-inversiones_v5_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.7794399,False,False,False,False
Banco del Pacífico,legit_aug_banco-ciudad-de-buenos-aires_v6_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.7768233,False,False,False,False
Banco del Pacífico,legit_aug_banco-popular-costa-rica_v5_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.77668667,False,False,False,False
Banco del Pacífico,legit_banco-ciudad-de-buenos-aires_20251102T194956.png,BANCO (REF),Banco Ciudad de Buenos Aires,0.7759249,False,False,False,False
Banco del Pacífico,legit_aug_banco-ciudad-de-buenos-aires_v8_20251130T221022.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.7734661,False,False,False,False
Banco del Pacífico,legit_banamex_20251102T195813.png,BANCO (REF),Banamex,0.7728002,False,False,False,False
Banco del Pacífico,legit_aug_banco-bolivariano_v8_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.7727096,False,False,False,False
Banco del Pacífico,legit_aug_banco-popular-costa-rica_v4_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.77141136,False,False,False,False
Banco del Pacífico,legit_aug_banco-ciudad-de-buenos-aires_v5_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.77039754,False,False,False,False
Banco del Pacífico,legit_banco-nacional-panam_20251102T192611.png,BANCO (REF),Banco Nacional Panamá,0.7679174,False,False,False,False
Banco del Pacífico,legit_aug_icbc-argentina_v2_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.7678609,False,False,False,False
Banco del Pacífico,legit_aug_icbc-argentina_v6_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.7676933,False,False,False,False
Banco del Pacífico,legit_aug_banco-popular-costa-rica_v2_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.76712394,False,False,False,False
Banco del Pacífico,legit_aug_banco-nacional-panamá_v5_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.76661026,False,False,False,False
Banco del Pacífico,legit_aug_banco-provincia_v9_20251130T221013.png,BANCO (AUG),Banco Provincia,0.76269084,False,False,False,False
Banco del Pacífico,legit_aug_banco-provincia_v4_20251130T221013.png,BANCO (AUG),Banco Provincia,0.7623167,False,False,False,False
Banco del Pacífico,legit_aug_banco-popular-costa-rica_v9_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.7615149,False,False,False,False
Banco del Pacífico,legit_banco-de-cr-dito-e-inversiones_20251102T191004.png,BANCO (REF),Banco de Crédito e Inversiones,0.7614494,False,False,False,False
Banco del Pacífico,legit_aug_banco-bice_v8_20251130T221013.png,BANCO (AUG),Banco Bice,0.7605964,False,False,False,False
Banco del Pacífico,legit_aug_banco-de-crédito-e-inversiones_v4_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.7595537,False,False,False,False
Banco del Pacífico,legit_aug_banco-popular-costa-rica_v0_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.7588539,False,False,False,False
Banco del Pacífico,legit_aug_banamex_v4_20251130T221003.png,BANCO (AUG),Banamex,0.7583616,False,False,False,False
Banco del Pacífico,legit_aug_icbc-argentina_v8_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.75585496,False,False,False,False
Banco del Pacífico,legit_aug_banco-santander-argentina_v8_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.7554832,False,False,False,False
Banco del Pacífico,legit_aug_banco-popular-costa-rica_v6_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.75429124,False,False,False,False
Banco del Pacífico,legit_aug_banco-de-chile_v6_20251130T221003.png,BANCO (AUG),Banco de Chile,0.7529288,False,False,False,False
Banco del Pacífico,legit_aug_banco-azteca_v2_20251130T221008.png,BANCO (AUG),Banco Azteca,0.7529017,False,False,False,False
Banco del Pacífico,legit_aug_banco-de-crédito-e-inversiones_v6_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.75239265,False,False,False,False
Banco del Pacífico,legit_aug_banco-nacional-panamá_v4_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.7519735,False,False,False,False
Banco del Pacífico,legit_aug_banamex_v8_20251130T221003.png,BANCO (AUG),Banamex,0.75160956,False,False,False,False
