target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco do Brasil,legit_banco-do-brasil_20251102T195721.png,BANCO (REF),Banco do Brasil,1.0000001,True,True,False,True
Banco do Brasil,legit_aug_banco-do-brasil_v5_20251130T221001.png,BANCO (AUG),Banco do Brasil,0.9521332,True,True,False,False
Banco do Brasil,legit_aug_banco-do-brasil_v9_20251130T221001.png,BANCO (AUG),Banco do Brasil,0.94774204,True,True,False,False
Banco do Brasil,legit_aug_banco-do-brasil_v4_20251130T221001.png,BANCO (AUG),Banco do Brasil,0.94127446,True,True,False,False
Banco do Brasil,legit_aug_banco-do-brasil_v7_20251130T221001.png,BANCO (AUG),Banco do Brasil,0.93934035,True,True,False,False
Banco do Brasil,legit_aug_banco-do-brasil_v0_20251130T221001.png,BANCO (AUG),Banco do Brasil,0.9378582,True,True,False,False
Banco do Brasil,legit_aug_banco-do-brasil_v3_20251130T221001.png,BANCO (AUG),Banco do Brasil,0.93521917,True,True,False,False
Banco do Brasil,legit_aug_banco-do-brasil_v8_20251130T221001.png,BANCO (AUG),Banco do Brasil,0.92901,True,True,False,False
Banco do Brasil,legit_aug_banco-do-brasil_v1_20251130T221001.png,BANCO (AUG),Banco do Brasil,0.9284632,True,True,False,False
Banco do Brasil,legit_aug_banco-do-brasil_v2_20251130T221001.png,BANCO (AUG),Banco do Brasil,0.91745746,True,True,False,False
Banco do Brasil,legit_aug_banco-do-brasil_v6_20251130T221001.png,BANCO (AUG),Banco do Brasil,0.8992609,True,True,False,False
Banco do Brasil,random_gov-br_20251129T174615.png,RANDOM,unknown,0.70287013,False,False,False,False
Banco do Brasil,legit_aug_banistmo_v0_20251130T221014.png,BANCO (AUG),Banistmo,0.7000871,False,False,False,False
Banco do Brasil,legit_aug_banistmo_v7_20251130T221014.png,BANCO (AUG),Banistmo,0.69237995,False,False,False,False
Banco do Brasil,legit_banco-falabella_20251102T193607.png,BANCO (REF),Banco Falabella,0.68875474,False,False,False,False
Banco do Brasil,legit_aug_banistmo_v1_20251130T221014.png,BANCO (AUG),Banistmo,0.6881935,False,False,False,False
Banco do Brasil,legit_aug_banco-bradesco_v0_20251130T221001.png,BANCO (AUG),Banco Bradesco,0.6853415,False,False,False,False
Banco do Brasil,legit_aug_banco-falabella_v8_20251130T221015.png,BANCO (AUG),Banco Falabella,0.68344265,False,False,False,False
Banco do Brasil,legit_aug_banistmo_v2_20251130T221014.png,BANCO (AUG),Banistmo,0.6817003,False,False,False,False
Banco do Brasil,legit_aug_banistmo_v5_20251130T221014.png,BANCO (AUG),Banistmo,0.6801542,False,False,False,False
Banco do Brasil,random_acesso-gov-br_20251129T181227.png,RANDOM,unknown,0.6777615,False,False,False,False
Banco do Brasil,legit_aug_banistmo_v4_20251130T221014.png,BANCO (AUG),Banistmo,0.67551374,False,False,False,False
Banco do Brasil,legit_aug_scotiabank-perú_v2_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.672964,False,False,False,False
Banco do Brasil,legit_aug_banistmo_v6_20251130T221014.png,BANCO (AUG),Banistmo,0.6724713,False,False,False,False
Banco do Brasil,legit_aug_banistmo_v8_20251130T221014.png,BANCO (AUG),Banistmo,0.6722102,False,False,False,False
Banco do Brasil,legit_banistmo_20251102T193415.png,BANCO (REF),Banistmo,0.671633,False,False,False,False
Banco do Brasil,legit_aug_banistmo_v3_20251130T221014.png,BANCO (AUG),Banistmo,0.67051697,False,False,False,False
