target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banistmo,legit_banistmo_20251102T193415.png,BANCO (REF),Banistmo,1.0,True,True,False,True
Banistmo,legit_aug_banistmo_v9_20251130T221014.png,BANCO (AUG),Banistmo,0.944553,True,True,False,False
Banistmo,legit_aug_banistmo_v6_20251130T221014.png,BANCO (AUG),Banistmo,0.94161767,True,True,False,False
Banistmo,legit_aug_banistmo_v0_20251130T221014.png,BANCO (AUG),Banistmo,0.93016994,True,True,False,False
Banistmo,legit_aug_banistmo_v5_20251130T221014.png,BANCO (AUG),Banistmo,0.92579114,True,True,False,False
Banistmo,legit_aug_banistmo_v1_20251130T221014.png,BANCO (AUG),Banistmo,0.9215839,True,True,False,False
Banistmo,legit_aug_banistmo_v4_20251130T221014.png,BANCO (AUG),Banistmo,0.92042625,True,True,False,False
Banistmo,legit_aug_banistmo_v3_20251130T221014.png,BANCO (AUG),Banistmo,0.9015452,True,True,False,False
Banistmo,legit_aug_banistmo_v2_20251130T221014.png,BANCO (AUG),Banistmo,0.90004677,True,True,False,False
Banistmo,legit_aug_banistmo_v8_20251130T221014.png,BANCO (AUG),Banistmo,0.89897895,True,True,False,False
Banistmo,legit_aug_banistmo_v7_20251130T221014.png,BANCO (AUG),Banistmo,0.89208925,True,True,False,False
Banistmo,legit_aug_banco-bolivariano_v8_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.7624099,False,False,False,False
Banistmo,legit_aug_banco-popular-costa-rica_v4_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.7585635,False,False,False,False
Banistmo,legit_aug_banco-popular-costa-rica_v0_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.7447132,False,False,False,False
Banistmo,legit_aug_banco-azteca_v8_20251130T221008.png,BANCO (AUG),Banco Azteca,0.7437958,False,False,False,False
Banistmo,legit_aug_sudameris-paraguay_v1_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.74294895,False,False,False,False
Banistmo,legit_aug_inbursa_v7_20251130T221006.png,BANCO (AUG),Inbursa,0.7395204,False,False,False,False
Banistmo,legit_aug_banco-de-chile_v8_20251130T221003.png,BANCO (AUG),Banco de Chile,0.73806685,False,False,False,False
Banistmo,legit_aug_banco-popular-costa-rica_v6_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.73784924,False,False,False,False
Banistmo,legit_aug_sudameris-paraguay_v8_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.73629963,False,False,False,False
Banistmo,legit_aug_banco-azteca_v1_20251130T221008.png,BANCO (AUG),Banco Azteca,0.7346073,False,False,False,False
Banistmo,legit_aug_sudameris-paraguay_v9_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.7333621,False,False,False,False
Banistmo,legit_aug_inbursa_v9_20251130T221006.png,BANCO (AUG),Inbursa,0.73301125,False,False,False,False
Banistmo,legit_banco-de-chile_20251102T191314.png,BANCO (REF),Banco de Chile,0.73214245,False,False,False,False
Banistmo,legit_aug_inbursa_v2_20251130T221006.png,BANCO (AUG),Inbursa,0.73164093,False,False,False,False
Banistmo,legit_aug_banco-popular-costa-rica_v5_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.73115903,False,False,False,False
Banistmo,legit_aug_inbursa_v3_20251130T221006.png,BANCO (AUG),Inbursa,0.7303958,False,False,False,False
Banistmo,legit_aug_banco-popular-costa-rica_v1_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.7300408,False,False,False,False
Banistmo,legit_aug_sudameris-paraguay_v3_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.730038,False,False,False,False
Banistmo,legit_aug_sudameris-paraguay_v4_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.7295003,False,False,False,False
Banistmo,legit_aug_banamex_v3_20251130T221003.png,BANCO (AUG),Banamex,0.72913367,False,False,False,False
Banistmo,legit_banco-popular-costa-rica_20251102T193730.png,BANCO (REF),Banco Popular Costa Rica,0.72887504,False,False,False,False
Banistmo,legit_aug_banco-bolivariano_v0_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.72825944,False,False,False,False
Banistmo,legit_aug_produbanco_v0_20251130T221018.png,BANCO (AUG),Produbanco,0.7281916,False,False,False,False
Banistmo,legit_aug_banco-ciudad-de-buenos-aires_v4_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.72817194,False,False,False,False
Banistmo,legit_aug_banco-ciudad-de-buenos-aires_v5_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.727996,False,False,False,False
Banistmo,legit_aug_banco-de-chile_v0_20251130T221003.png,BANCO (AUG),Banco de Chile,0.7256865,False,False,False,False
Banistmo,legit_aug_banco-bolivariano_v7_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.7253163,False,False,False,False
Banistmo,legit_aug_banamex_v4_20251130T221003.png,BANCO (AUG),Banamex,0.72441816,False,False,False,False
Banistmo,legit_aug_banco-popular-costa-rica_v7_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.723083,False,False,False,False
Banistmo,legit_aug_sudameris-paraguay_v2_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.72262037,False,False,False,False
Banistmo,legit_aug_banco-de-chile_v6_20251130T221003.png,BANCO (AUG),Banco de Chile,0.72173285,False,False,False,False
Banistmo,legit_banamex_20251102T195813.png,BANCO (REF),Banamex,0.72074217,False,False,False,False
Banistmo,legit_aug_banco-bolivariano_v3_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.71975005,False,False,False,False
Banistmo,legit_aug_inbursa_v4_20251130T221006.png,BANCO (AUG),Inbursa,0.7196659,False,False,False,False
Banistmo,legit_aug_banco-azteca_v3_20251130T221008.png,BANCO (AUG),Banco Azteca,0.71952057,False,False,False,False
Banistmo,legit_aug_sudameris-paraguay_v0_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.7192515,False,False,False,False
Banistmo,legit_aug_banco-ciudad-de-buenos-aires_v3_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.71862537,False,False,False,False
Banistmo,legit_aug_hsbc-méxico_v4_20251130T221004.png,BANCO (AUG),HSBC México,0.7177174,False,False,False,False
