target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banrural,legit_banrural_20251102T192634.png,BANCO (REF),Banrural,0.9999999,True,True,False,True
Banrural,legit_aug_banrural_v3_20251130T221010.png,BANCO (AUG),Banrural,0.9570642,True,True,False,False
Banrural,legit_aug_banrural_v2_20251130T221010.png,BANCO (AUG),Banrural,0.9534141,True,True,False,False
Banrural,legit_aug_banrural_v1_20251130T221010.png,BANCO (AUG),Banrural,0.94529045,True,True,False,False
Banrural,legit_aug_banrural_v8_20251130T221010.png,BANCO (AUG),Banrural,0.94496477,True,True,False,False
Banrural,legit_aug_banrural_v6_20251130T221010.png,BANCO (AUG),Banrural,0.9341881,True,True,False,False
Banrural,legit_aug_banrural_v5_20251130T221010.png,BANCO (AUG),Banrural,0.93186724,True,True,False,False
Banrural,legit_aug_banrural_v9_20251130T221010.png,BANCO (AUG),Banrural,0.9314399,True,True,False,False
Banrural,legit_aug_banrural_v0_20251130T221010.png,BANCO (AUG),Banrural,0.9287543,True,True,False,False
Banrural,legit_aug_banrural_v7_20251130T221010.png,BANCO (AUG),Banrural,0.90892005,True,True,False,False
Banrural,legit_aug_banrural_v4_20251130T221010.png,BANCO (AUG),Banrural,0.8231201,True,True,False,False
Banrural,legit_aug_produbanco_v0_20251130T221018.png,BANCO (AUG),Produbanco,0.71920943,False,False,False,False
Banrural,legit_aug_banco-provincia_v9_20251130T221013.png,BANCO (AUG),Banco Provincia,0.71900403,False,False,False,False
Banrural,legit_aug_banco-provincia_v4_20251130T221013.png,BANCO (AUG),Banco Provincia,0.7181989,False,False,False,False
Banrural,legit_aug_produbanco_v1_20251130T221018.png,BANCO (AUG),Produbanco,0.71564305,False,False,False,False
Banrural,legit_aug_produbanco_v2_20251130T221018.png,BANCO (AUG),Produbanco,0.70406985,False,False,False,False
Banrural,legit_aug_banco-provincia_v7_20251130T221013.png,BANCO (AUG),Banco Provincia,0.695538,False,False,False,False
Banrural,legit_aug_banco-nacional-panamá_v5_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.6875966,False,False,False,False
