target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Citibank Brasil,legit_citibank-brasil_20251102T191550.png,BANCO (REF),Citibank Brasil,0.99999994,True,True,False,True
Citibank Brasil,legit_aug_citibank-brasil_v0_20251130T221005.png,BANCO (AUG),Citibank Brasil,0.9586198,True,True,False,False
Citibank Brasil,legit_aug_citibank-brasil_v3_20251130T221005.png,BANCO (AUG),Citibank Brasil,0.95309794,True,True,False,False
Citibank Brasil,legit_aug_citibank-brasil_v8_20251130T221006.png,BANCO (AUG),Citibank Brasil,0.94179857,True,True,False,False
Citibank Brasil,legit_aug_citibank-brasil_v6_20251130T221005.png,BANCO (AUG),Citibank Brasil,0.940012,True,True,False,False
Citibank Brasil,legit_aug_citibank-brasil_v9_20251130T221006.png,BANCO (AUG),Citibank Brasil,0.93169,True,True,False,False
Citibank Brasil,legit_aug_citibank-brasil_v5_20251130T221005.png,BANCO (AUG),Citibank Brasil,0.9031293,True,True,False,False
Citibank Brasil,legit_aug_citibank-brasil_v7_20251130T221006.png,BANCO (AUG),Citibank Brasil,0.87235844,True,True,False,False
Citibank Brasil,legit_aug_citibank-brasil_v2_20251130T221005.png,BANCO (AUG),Citibank Brasil,0.83355606,True,True,False,False
Citibank Brasil,legit_aug_citibank-brasil_v1_20251130T221005.png,BANCO (AUG),Citibank Brasil,0.8190676,True,True,False,False
Citibank Brasil,legit_aug_citibank-brasil_v4_20251130T221005.png,BANCO (AUG),Citibank Brasil,0.81703913,True,True,False,False
Citibank Brasil,random_360yield-com_20251129T170811.png,RANDOM,unknown,0.59501487,False,False,False,False
Citibank Brasil,random_forter-com_20251129T164642.png,RANDOM,unknown,0.58925974,False,False,False,False
Citibank Brasil,legit_aug_banco-santander-argentina_v6_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.5794792,False,False,False,False
Citibank Brasil,legit_aug_banco-santander-argentina_v9_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.57644093,False,False,False,False
Citibank Brasil,legit_banco-santander-argentina_20251102T192947.png,BANCO (REF),Banco Santander Argentina,0.5715307,False,False,False,False
Citibank Brasil,legit_aug_banco-santander-argentina_v7_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.56896454,False,False,False,False
Citibank Brasil,legit_aug_banco-santander-argentina_v0_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.56878275,False,False,False,False
Citibank Brasil,legit_banco-nacional-panam_20251102T192611.png,BANCO (REF),Banco Nacional Panamá,0.56750333,False,False,False,False
Citibank Brasil,legit_aug_banco-santander-argentina_v4_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.5668012,False,False,False,False
Citibank Brasil,legit_aug_banco-nacional-de-bolivia_v6_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.5645023,False,False,False,False
Citibank Brasil,legit_aug_banco-santander-argentina_v1_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.5595845,False,False,False,False
Citibank Brasil,legit_aug_banco-nacional-panamá_v7_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.5581542,False,False,False,False
Citibank Brasil,legit_aug_scotiabank-perú_v5_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.55800086,False,False,False,False
Citibank Brasil,legit_aug_banamex_v1_20251130T221003.png,BANCO (AUG),Banamex,0.5570136,False,False,False,False
