target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Citibank México,legit_citibank-m-xico_20251102T195922.png,BANCO (REF),Citibank México,1.0000002,True,True,False,True
Citibank México,legit_aug_citibank-méxico_v8_20251130T221006.png,BANCO (AUG),Citibank México,0.9197862,True,True,False,False
Citibank México,legit_aug_citibank-méxico_v3_20251130T221006.png,BANCO (AUG),Citibank México,0.91382104,True,True,False,False
Citibank México,legit_banamex_20251102T195813.png,BANCO (REF),Banamex,0.9054911,True,False,True,False
Citibank México,legit_aug_citibank-méxico_v1_20251130T221006.png,BANCO (AUG),Citibank México,0.9025651,True,True,False,False
Citibank México,legit_aug_citibank-méxico_v0_20251130T221006.png,BANCO (AUG),Citibank México,0.8934516,True,True,False,False
Citibank México,legit_aug_citibank-méxico_v2_20251130T221006.png,BANCO (AUG),Citibank México,0.88826954,True,True,False,False
Citibank México,legit_aug_citibank-méxico_v7_20251130T221006.png,BANCO (AUG),Citibank México,0.8826781,True,True,False,False
Citibank México,legit_aug_citibank-méxico_v6_20251130T221006.png,BANCO (AUG),Citibank México,0.8795157,True,True,False,False
Citibank México,legit_aug_citibank-méxico_v9_20251130T221006.png,BANCO (AUG),Citibank México,0.8792458,True,True,False,False
Citibank México,legit_aug_citibank-méxico_v5_20251130T221006.png,BANCO (AUG),Citibank México,0.87891114,True,True,False,False
Citibank México,legit_aug_citibank-méxico_v4_20251130T221006.png,BANCO (AUG),Citibank México,0.8711428,True,True,False,False
Citibank México,legit_aug_banamex_v2_20251130T221003.png,BANCO (AUG),Banamex,0.8363365,True,False,True,False
Citibank México,legit_aug_banamex_v9_20251130T221003.png,BANCO (AUG),Banamex,0.8238536,True,False,True,False
Citibank México,legit_aug_banamex_v8_20251130T221003.png,BANCO (AUG),Banamex,0.82186466,True,False,True,False
Citibank México,legit_aug_banamex_v1_20251130T221003.png,BANCO (AUG),Banamex,0.8186028,True,False,True,False
Citibank México,legit_aug_banamex_v5_20251130T221003.png,BANCO (AUG),Banamex,0.8101552,True,False,True,False
Citibank México,legit_aug_banamex_v0_20251130T221003.png,BANCO (AUG),Banamex,0.80185825,True,False,True,False
Citibank México,legit_aug_banamex_v4_20251130T221003.png,BANCO (AUG),Banamex,0.798182,False,False,False,False
Citibank México,legit_aug_banamex_v6_20251130T221003.png,BANCO (AUG),Banamex,0.7971883,False,False,False,False
Citibank México,legit_banco-nacional-panam_20251102T192611.png,BANCO (REF),Banco Nacional Panamá,0.7848308,False,False,False,False
Citibank México,legit_aug_banco-nacional-panamá_v5_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.78203654,False,False,False,False
Citibank México,legit_aug_banco-nacional-panamá_v4_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.77853954,False,False,False,False
Citibank México,legit_aug_banamex_v7_20251130T221003.png,BANCO (AUG),Banamex,0.7742221,False,False,False,False
Citibank México,legit_aug_banco-nacional-panamá_v6_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.7646581,False,False,False,False
Citibank México,legit_aug_banamex_v3_20251130T221003.png,BANCO (AUG),Banamex,0.7624261,False,False,False,False
