target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Colpatria,legit_colpatria_20251102T193647.png,BANCO (REF),Colpatria,1.0000001,True,True,False,True
Colpatria,legit_aug_colpatria_v5_20251130T221015.png,BANCO (AUG),Colpatria,0.9518252,True,True,False,False
Colpatria,legit_aug_colpatria_v8_20251130T221015.png,BANCO (AUG),Colpatria,0.9399079,True,True,False,False
Colpatria,legit_aug_colpatria_v0_20251130T221015.png,BANCO (AUG),Colpatria,0.93857557,True,True,False,False
Colpatria,legit_aug_colpatria_v9_20251130T221016.png,BANCO (AUG),Colpatria,0.93792725,True,True,False,False
Colpatria,legit_aug_colpatria_v3_20251130T221015.png,BANCO (AUG),Colpatria,0.93587255,True,True,False,False
Colpatria,legit_aug_colpatria_v4_20251130T221015.png,BANCO (AUG),Colpatria,0.9316502,True,True,False,False
Colpatria,legit_aug_colpatria_v6_20251130T221015.png,BANCO (AUG),Colpatria,0.9302325,True,True,False,False
Colpatria,legit_aug_colpatria_v7_20251130T221015.png,BANCO (AUG),Colpatria,0.9201764,True,True,False,False
Colpatria,legit_aug_colpatria_v1_20251130T221015.png,BANCO (AUG),Colpatria,0.90236145,True,True,False,False
Colpatria,legit_aug_colpatria_v2_20251130T221015.png,BANCO (AUG),Colpatria,0.8879645,True,True,False,False
Colpatria,legit_aug_hsbc-méxico_v4_20251130T221004.png,BANCO (AUG),HSBC México,0.7144506,False,False,False,False
Colpatria,legit_aug_produbanco_v9_20251130T221018.png,BANCO (AUG),Produbanco,0.7028727,False,False,False,False
Colpatria,legit_aug_hsbc-méxico_v8_20251130T221004.png,BANCO (AUG),HSBC México,0.6921884,False,False,False,False
Colpatria,legit_aug_produbanco_v8_20251130T221018.png,BANCO (AUG),Produbanco,0.6884546,False,False,False,False
Colpatria,legit_aug_scotiabank-chile_v1_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.68786275,False,False,False,False
