target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
GNB Sudameris,legit_gnb-sudameris_20251102T193010.png,BANCO (REF),GNB Sudameris,1.0,True,True,False,True
GNB Sudameris,legit_aug_gnb-sudameris_v3_20251130T221011.png,BANCO (AUG),GNB Sudameris,0.9658514,True,True,False,False
GNB Sudameris,legit_aug_gnb-sudameris_v1_20251130T221011.png,BANCO (AUG),GNB Sudameris,0.95521325,True,True,False,False
GNB Sudameris,legit_aug_gnb-sudameris_v0_20251130T221011.png,BANCO (AUG),GNB Sudameris,0.9399904,True,True,False,False
GNB Sudameris,legit_aug_gnb-sudameris_v8_20251130T221012.png,BANCO (AUG),GNB Sudameris,0.930181,True,True,False,False
GNB Sudameris,legit_aug_gnb-sudameris_v7_20251130T221012.png,BANCO (AUG),GNB Sudameris,0.92508876,True,True,False,False
GNB Sudameris,legit_aug_gnb-sudameris_v4_20251130T221011.png,BANCO (AUG),GNB Sudameris,0.9011436,True,True,False,False
GNB Sudameris,legit_aug_gnb-sudameris_v2_20251130T221011.png,BANCO (AUG),GNB Sudameris,0.89919764,True,True,False,False
GNB Sudameris,legit_aug_gnb-sudameris_v5_20251130T221011.png,BANCO (AUG),GNB Sudameris,0.89538175,True,True,False,False
GNB Sudameris,legit_aug_gnb-sudameris_v6_20251130T221011.png,BANCO (AUG),GNB Sudameris,0.88333774,True,True,False,False
GNB Sudameris,legit_aug_gnb-sudameris_v9_20251130T221012.png,BANCO (AUG),GNB Sudameris,0.83264256,True,True,False,False
GNB Sudameris,legit_banco-nacional-panam_20251102T192611.png,BANCO (REF),Banco Nacional Panamá,0.68202925,False,False,False,False
GNB Sudameris,legit_aug_banco-nacional-panamá_v5_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.67287874,False,False,False,False
GNB Sudameris,legit_citibank-m-xico_20251102T195922.png,BANCO (REF),Citibank México,0.6723546,False,False,False,False
GNB Sudameris,legit_aug_banco-nacional-panamá_v1_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.6692071,False,False,False,False
GNB Sudameris,legit_aug_banco-nacional-panamá_v4_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.6679659,False,False,False,False
GNB Sudameris,legit_aug_banco-de-crédito-e-inversiones_v0_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.66781294,False,False,False,False
GNB Sudameris,legit_aug_banco-nacional-panamá_v6_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.6659568,False,False,False,False
GNB Sudameris,legit_aug_citibank-méxico_v3_20251130T221006.png,BANCO (AUG),Citibank México,0.66364896,False,False,False,False
GNB Sudameris,legit_aug_banco-de-crédito-e-inversiones_v4_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.65975785,False,False,False,False
GNB Sudameris,legit_aug_banco-nacional-panamá_v3_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.6549268,False,False,False,False
GNB Sudameris,legit_aug_banco-de-crédito-e-inversiones_v6_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.6507441,False,False,False,False
GNB Sudameris,legit_aug_citibank-méxico_v8_20251130T221006.png,BANCO (AUG),Citibank México,0.6489744,False,False,False,False
GNB Sudameris,legit_aug_banco-de-crédito-e-inversiones_v5_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.6488422,False,False,False,False
GNB Sudameris,legit_aug_banco-de-crédito-e-inversiones_v8_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.64590627,False,False,False,False
