target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Grupo Promerica,legit_grupo-promerica_20251102T193150.png,BANCO (REF),Grupo Promerica,0.9999999,True,True,False,True
Grupo Promerica,legit_aug_grupo-promerica_v1_20251130T221012.png,BANCO (AUG),Grupo Promerica,0.926291,True,True,False,False
Grupo Promerica,legit_aug_grupo-promerica_v7_20251130T221012.png,BANCO (AUG),Grupo Promerica,0.9164864,True,True,False,False
Grupo Promerica,legit_aug_grupo-promerica_v9_20251130T221012.png,BANCO (AUG),Grupo Promerica,0.90556794,True,True,False,False
Grupo Promerica,legit_aug_grupo-promerica_v0_20251130T221012.png,BANCO (AUG),Grupo Promerica,0.896182,True,True,False,False
Grupo Promerica,legit_aug_grupo-promerica_v6_20251130T221012.png,BANCO (AUG),Grupo Promerica,0.88961923,True,True,False,False
Grupo Promerica,legit_aug_grupo-promerica_v2_20251130T221012.png,BANCO (AUG),Grupo Promerica,0.8881082,True,True,False,False
Grupo Promerica,legit_aug_grupo-promerica_v3_20251130T221012.png,BANCO (AUG),Grupo Promerica,0.81748927,True,True,False,False
Grupo Promerica,legit_aug_grupo-promerica_v8_20251130T221012.png,BANCO (AUG),Grupo Promerica,0.8045634,True,True,False,False
Grupo Promerica,legit_aug_banco-falabella_v8_20251130T221015.png,BANCO (AUG),Banco Falabella,0.78290606,False,False,False,False
Grupo Promerica,legit_aug_banco-falabella_v5_20251130T221015.png,BANCO (AUG),Banco Falabella,0.775435,False,False,False,False
Grupo Promerica,legit_aug_banco-falabella_v3_20251130T221015.png,BANCO (AUG),Banco Falabella,0.76991475,False,False,False,False
Grupo Promerica,legit_banco-falabella_20251102T193607.png,BANCO (REF),Banco Falabella,0.7677441,False,False,False,False
Grupo Promerica,legit_aug_banco-falabella_v4_20251130T221015.png,BANCO (AUG),Banco Falabella,0.7674148,False,False,False,False
Grupo Promerica,legit_aug_banco-falabella_v1_20251130T221015.png,BANCO (AUG),Banco Falabella,0.7601192,False,False,False,False
Grupo Promerica,legit_aug_banco-falabella_v7_20251130T221015.png,BANCO (AUG),Banco Falabella,0.75185764,False,False,False,False
Grupo Promerica,legit_aug_produbanco_v7_20251130T221018.png,BANCO (AUG),Produbanco,0.7427427,False,False,False,False
Grupo Promerica,legit_aug_produbanco_v2_20251130T221018.png,BANCO (AUG),Produbanco,0.7388648,False,False,False,False
Grupo Promerica,legit_aug_produbanco_v1_20251130T221018.png,BANCO (AUG),Produbanco,0.73332584,False,False,False,False
Grupo Promerica,legit_aug_banco-falabella_v6_20251130T221015.png,BANCO (AUG),Banco Falabella,0.7326242,False,False,False,False
Grupo Promerica,legit_aug_banco-falabella_v0_20251130T221015.png,BANCO (AUG),Banco Falabella,0.7318586,False,False,False,False
Grupo Promerica,legit_aug_produbanco_v3_20251130T221018.png,BANCO (AUG),Produbanco,0.729755,False,False,False,False
Grupo Promerica,legit_aug_produbanco_v6_20251130T221018.png,BANCO (AUG),Produbanco,0.7294074,False,False,False,False
Grupo Promerica,legit_aug_banco-falabella_v9_20251130T221015.png,BANCO (AUG),Banco Falabella,0.7227317,False,False,False,False
Grupo Promerica,legit_aug_produbanco_v9_20251130T221018.png,BANCO (AUG),Produbanco,0.7212813,False,False,False,False
Grupo Promerica,legit_aug_produbanco_v8_20251130T221018.png,BANCO (AUG),Produbanco,0.7211278,False,False,False,False
Grupo Promerica,legit_aug_banco-internacional-chile_v6_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.72082317,False,False,False,False
Grupo Promerica,legit_aug_produbanco_v5_20251130T221018.png,BANCO (AUG),Produbanco,0.7143061,False,False,False,False
Grupo Promerica,legit_aug_banco-internacional-chile_v4_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.71422434,False,False,False,False
Grupo Promerica,legit_aug_banco-falabella_v2_20251130T221015.png,BANCO (AUG),Banco Falabella,0.7128298,False,False,False,False
Grupo Promerica,legit_aug_produbanco_v0_20251130T221018.png,BANCO (AUG),Produbanco,0.7052795,False,False,False,False
Grupo Promerica,legit_aug_produbanco_v4_20251130T221018.png,BANCO (AUG),Produbanco,0.70448923,False,False,False,False
Grupo Promerica,legit_aug_banco-internacional-chile_v1_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.7044687,False,False,False,False
Grupo Promerica,legit_produbanco_20251102T194118.png,BANCO (REF),Produbanco,0.70358694,False,False,False,False
Grupo Promerica,legit_aug_banco-internacional-chile_v5_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.6959258,False,False,False,False
Grupo Promerica,legit_aug_banco-internacional-chile_v8_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.6914966,False,False,False,False
Grupo Promerica,legit_aug_banco-de-crédito-e-inversiones_v0_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.69084996,False,False,False,False
Grupo Promerica,legit_aug_banco-de-crédito-e-inversiones_v4_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.6870594,False,False,False,False
Grupo Promerica,legit_aug_banco-internacional-chile_v0_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.6842562,False,False,False,False
Grupo Promerica,legit_aug_banistmo_v7_20251130T221014.png,BANCO (AUG),Banistmo,0.6827017,False,False,False,False
Grupo Promerica,legit_aug_banco-internacional-chile_v9_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.6813346,False,False,False,False
Grupo Promerica,legit_aug_hsbc-méxico_v4_20251130T221004.png,BANCO (AUG),HSBC México,0.68108237,False,False,False,False
Grupo Promerica,legit_aug_banco-provincia_v9_20251130T221013.png,BANCO (AUG),Banco Provincia,0.6808969,False,False,False,False
Grupo Promerica,legit_aug_hsbc-méxico_v5_20251130T221004.png,BANCO (AUG),HSBC México,0.6803136,False,False,False,False
Grupo Promerica,legit_aug_hsbc-méxico_v2_20251130T221004.png,BANCO (AUG),HSBC México,0.68031085,False,False,False,False
Grupo Promerica,legit_aug_banistmo_v0_20251130T221014.png,BANCO (AUG),Banistmo,0.6791246,False,False,False,False
Grupo Promerica,legit_aug_banco-continental-paraguay_v6_20251130T221020.png,BANCO (AUG),Banco Continental Paraguay,0.67883396,False,False,False,False
Grupo Promerica,legit_aug_banco-internacional-chile_v3_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.6787933,False,False,False,False
Grupo Promerica,legit_banco-internacional-chile_20251102T194936.png,BANCO (REF),Banco Internacional Chile,0.67707586,False,False,False,False
Grupo Promerica,legit_aug_banrural_v4_20251130T221010.png,BANCO (AUG),Banrural,0.67531824,False,False,False,False
Grupo Promerica,legit_aug_grupo-promerica_v4_20251130T221012.png,BANCO (AUG),Grupo Promerica,0.6731281,False,False,False,False
Grupo Promerica,legit_aug_banco-internacional-chile_v2_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.6707414,False,False,False,False
Grupo Promerica,legit_aug_hsbc-méxico_v7_20251130T221004.png,BANCO (AUG),HSBC México,0.67028046,False,False,False,False
Grupo Promerica,legit_aug_banco-de-crédito-e-inversiones_v8_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.66979486,False,False,False,False
Grupo Promerica,legit_aug_banco-bolivariano_v0_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.66855276,False,False,False,False
Grupo Promerica,legit_aug_hsbc-méxico_v9_20251130T221004.png,BANCO (AUG),HSBC México,0.664824,False,False,False,False
Grupo Promerica,legit_aug_banistmo_v2_20251130T221014.png,BANCO (AUG),Banistmo,0.6627865,False,False,False,False
