target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
HSBC México,legit_hsbc-m-xico_20251102T191338.png,BANCO (REF),HSBC México,1.0000001,True,True,False,True
HSBC México,legit_aug_hsbc-méxico_v4_20251130T221004.png,BANCO (AUG),HSBC México,0.8473746,True,True,False,False
HSBC México,legit_aug_hsbc-méxico_v0_20251130T221003.png,BANCO (AUG),HSBC México,0.8336101,True,True,False,False
HSBC México,legit_aug_hsbc-méxico_v8_20251130T221004.png,BANCO (AUG),HSBC México,0.8315611,True,True,False,False
HSBC México,legit_aug_hsbc-méxico_v3_20251130T221004.png,BANCO (AUG),HSBC México,0.82813513,True,True,False,False
HSBC México,legit_aug_hsbc-méxico_v9_20251130T221004.png,BANCO (AUG),HSBC México,0.82634914,True,True,False,False
HSBC México,legit_aug_hsbc-méxico_v6_20251130T221004.png,BANCO (AUG),HSBC México,0.8236557,True,True,False,False
HSBC México,legit_aug_hsbc-méxico_v2_20251130T221004.png,BANCO (AUG),HSBC México,0.8212727,True,True,False,False
HSBC México,legit_aug_hsbc-méxico_v5_20251130T221004.png,BANCO (AUG),HSBC México,0.81172323,True,True,False,False
HSBC México,legit_aug_hsbc-méxico_v1_20251130T221004.png,BANCO (AUG),HSBC México,0.802917,True,True,False,False
HSBC México,legit_aug_hsbc-méxico_v7_20251130T221004.png,BANCO (AUG),HSBC México,0.79215795,False,False,False,False
HSBC México,legit_aug_banamex_v1_20251130T221003.png,BANCO (AUG),Banamex,0.7810693,False,False,False,False
HSBC México,legit_aug_banamex_v5_20251130T221003.png,BANCO (AUG),Banamex,0.77910435,False,False,False,False
HSBC México,legit_aug_banco-guayaquil_v1_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.7734318,False,False,False,False
HSBC México,legit_aug_banamex_v8_20251130T221003.png,BANCO (AUG),Banamex,0.77173984,False,False,False,False
HSBC México,legit_aug_banamex_v9_20251130T221003.png,BANCO (AUG),Banamex,0.7712749,False,False,False,False
HSBC México,legit_aug_banco-guayaquil_v6_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.76673424,False,False,False,False
HSBC México,legit_aug_banamex_v0_20251130T221003.png,BANCO (AUG),Banamex,0.76510143,False,False,False,False
HSBC México,legit_aug_banco-guayaquil_v3_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.7648686,False,False,False,False
HSBC México,legit_aug_icbc-argentina_v2_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.7641934,False,False,False,False
HSBC México,legit_icbc-argentina_20251102T194411.png,BANCO (REF),ICBC Argentina,0.7631434,False,False,False,False
HSBC México,legit_aug_icbc-argentina_v6_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.76234007,False,False,False,False
HSBC México,legit_aug_banco-guayaquil_v2_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.7620796,False,False,False,False
HSBC México,legit_aug_banco-bolivariano_v8_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.760952,False,False,False,False
HSBC México,legit_aug_banamex_v2_20251130T221003.png,BANCO (AUG),Banamex,0.7597758,False,False,False,False
HSBC México,legit_aug_icbc-argentina_v8_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.75902486,False,False,False,False
HSBC México,legit_aug_banamex_v6_20251130T221003.png,BANCO (AUG),Banamex,0.7515624,False,False,False,False
HSBC México,legit_aug_banco-guayaquil_v0_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.7479398,False,False,False,False
HSBC México,legit_aug_banco-guayaquil_v8_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.7473793,False,False,False,False
HSBC México,legit_aug_icbc-argentina_v9_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.74556744,False,False,False,False
HSBC México,legit_aug_banco-guayaquil_v4_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.7445388,False,False,False,False
HSBC México,legit_aug_banco-bolivariano_v0_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.7444733,False,False,False,False
HSBC México,legit_aug_banco-guayaquil_v7_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.7422599,False,False,False,False
HSBC México,legit_aug_banco-guayaquil_v5_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.74003184,False,False,False,False
HSBC México,legit_aug_icbc-argentina_v7_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.73830295,False,False,False,False
HSBC México,legit_aug_icbc-argentina_v4_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.7382672,False,False,False,False
HSBC México,legit_aug_icbc-argentina_v5_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.7355846,False,False,False,False
HSBC México,legit_aug_icbc-argentina_v1_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.7335881,False,False,False,False
HSBC México,legit_aug_banco-guayaquil_v9_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.73090076,False,False,False,False
HSBC México,legit_banamex_20251102T195813.png,BANCO (REF),Banamex,0.7299262,False,False,False,False
HSBC México,legit_aug_banistmo_v2_20251130T221014.png,BANCO (AUG),Banistmo,0.7290549,False,False,False,False
HSBC México,legit_banco-guayaquil_20251102T200422.png,BANCO (REF),Banco Guayaquil,0.7283972,False,False,False,False
HSBC México,legit_aug_banamex_v4_20251130T221003.png,BANCO (AUG),Banamex,0.7275452,False,False,False,False
HSBC México,legit_aug_banco-del-pacífico_v7_20251130T221018.png,BANCO (AUG),Banco del Pacífico,0.7241392,False,False,False,False
HSBC México,legit_aug_banistmo_v4_20251130T221014.png,BANCO (AUG),Banistmo,0.7233809,False,False,False,False
HSBC México,legit_aug_banistmo_v1_20251130T221014.png,BANCO (AUG),Banistmo,0.7231693,False,False,False,False
HSBC México,legit_aug_icbc-argentina_v0_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.7230059,False,False,False,False
HSBC México,legit_aug_banco-del-pacífico_v8_20251130T221018.png,BANCO (AUG),Banco del Pacífico,0.72278833,False,False,False,False
HSBC México,legit_aug_banistmo_v5_20251130T221014.png,BANCO (AUG),Banistmo,0.7220504,False,False,False,False
HSBC México,legit_aug_banco-santander-argentina_v8_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.7220282,False,False,False,False
HSBC México,legit_aug_banco-provincia_v9_20251130T221013.png,BANCO (AUG),Banco Provincia,0.7214439,False,False,False,False
HSBC México,legit_aug_banco-de-chile_v6_20251130T221003.png,BANCO (AUG),Banco de Chile,0.72119796,False,False,False,False
HSBC México,legit_aug_banamex_v3_20251130T221003.png,BANCO (AUG),Banamex,0.7203927,False,False,False,False
HSBC México,legit_aug_bbva-méxico_v4_20251130T221002.png,BANCO (AUG),BBVA México,0.71958005,False,False,False,False
HSBC México,legit_aug_icbc-argentina_v3_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.7189906,False,False,False,False
HSBC México,legit_aug_banco-del-pacífico_v3_20251130T221017.png,BANCO (AUG),Banco del Pacífico,0.7188684,False,False,False,False
HSBC México,legit_aug_banistmo_v0_20251130T221014.png,BANCO (AUG),Banistmo,0.7188107,False,False,False,False
HSBC México,legit_aug_banco-de-chile_v1_20251130T221003.png,BANCO (AUG),Banco de Chile,0.7175441,False,False,False,False
HSBC México,legit_aug_banco-del-pacífico_v0_20251130T221017.png,BANCO (AUG),Banco del Pacífico,0.71646714,False,False,False,False
HSBC México,legit_aug_banistmo_v8_20251130T221014.png,BANCO (AUG),Banistmo,0.7162305,False,False,False,False
HSBC México,legit_aug_banco-bolivariano_v7_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.7156774,False,False,False,False
HSBC México,legit_aug_banco-de-chile_v3_20251130T221003.png,BANCO (AUG),Banco de Chile,0.714612,False,False,False,False
HSBC México,legit_aug_banco-ciudad-de-buenos-aires_v4_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.71320873,False,False,False,False
HSBC México,legit_aug_banco-de-chile_v5_20251130T221003.png,BANCO (AUG),Banco de Chile,0.71216094,False,False,False,False
HSBC México,legit_aug_banistmo_v9_20251130T221014.png,BANCO (AUG),Banistmo,0.7120203,False,False,False,False
HSBC México,legit_aug_banco-bolivariano_v4_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.71043324,False,False,False,False
HSBC México,legit_aug_banistmo_v6_20251130T221014.png,BANCO (AUG),Banistmo,0.7090188,False,False,False,False
HSBC México,legit_aug_banco-bice_v8_20251130T221013.png,BANCO (AUG),Banco Bice,0.70895576,False,False,False,False
HSBC México,legit_aug_bbva-méxico_v0_20251130T221002.png,BANCO (AUG),BBVA México,0.7085829,False,False,False,False
HSBC México,legit_aug_citibank-méxico_v2_20251130T221006.png,BANCO (AUG),Citibank México,0.7085825,False,False,False,False
HSBC México,legit_aug_banco-ciudad-de-buenos-aires_v2_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.7082499,False,False,False,False
HSBC México,legit_aug_banco-santander-argentina_v1_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.7078451,False,False,False,False
HSBC México,legit_aug_banco-del-pacífico_v4_20251130T221017.png,BANCO (AUG),Banco del Pacífico,0.7078079,False,False,False,False
