target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
ICBC Argentina,legit_icbc-argentina_20251102T194411.png,BANCO (REF),ICBC Argentina,1.0,True,True,False,True
ICBC Argentina,legit_aug_icbc-argentina_v8_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.92526793,True,True,False,False
ICBC Argentina,legit_aug_icbc-argentina_v2_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.923857,True,True,False,False
ICBC Argentina,legit_aug_icbc-argentina_v3_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.9072519,True,True,False,False
ICBC Argentina,legit_aug_icbc-argentina_v6_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.9035939,True,True,False,False
ICBC Argentina,legit_aug_icbc-argentina_v0_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.90190774,True,True,False,False
ICBC Argentina,legit_aug_icbc-argentina_v7_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.8999127,True,True,False,False
ICBC Argentina,legit_aug_icbc-argentina_v9_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.89190793,True,True,False,False
ICBC Argentina,legit_aug_icbc-argentina_v1_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.8801531,True,True,False,False
ICBC Argentina,legit_aug_icbc-argentina_v4_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.8649434,True,True,False,False
ICBC Argentina,legit_aug_icbc-argentina_v5_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.84537065,True,True,False,False
ICBC Argentina,legit_aug_banco-del-pacífico_v3_20251130T221017.png,BANCO (AUG),Banco del Pacífico,0.7745727,False,False,False,False
ICBC Argentina,legit_hsbc-m-xico_20251102T191338.png,BANCO (REF),HSBC México,0.7631434,False,False,False,False
ICBC Argentina,legit_aug_banco-de-crédito-e-inversiones_v0_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.7525699,False,False,False,False
ICBC Argentina,legit_aug_banamex_v0_20251130T221003.png,BANCO (AUG),Banamex,0.7477375,False,False,False,False
ICBC Argentina,legit_aug_banco-del-pacífico_v7_20251130T221018.png,BANCO (AUG),Banco del Pacífico,0.74769163,False,False,False,False
ICBC Argentina,legit_aug_banco-del-pacífico_v4_20251130T221017.png,BANCO (AUG),Banco del Pacífico,0.74746245,False,False,False,False
ICBC Argentina,legit_aug_banco-del-pacífico_v0_20251130T221017.png,BANCO (AUG),Banco del Pacífico,0.74624515,False,False,False,False
ICBC Argentina,legit_aug_banco-santander-argentina_v8_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.7452333,False,False,False,False
ICBC Argentina,legit_banco-del-pac-fico_20251102T194055.png,BANCO (REF),Banco del Pacífico,0.74046695,False,False,False,False
ICBC Argentina,legit_aug_banco-del-pacífico_v8_20251130T221018.png,BANCO (AUG),Banco del Pacífico,0.7396737,False,False,False,False
ICBC Argentina,legit_aug_hsbc-méxico_v4_20251130T221004.png,BANCO (AUG),HSBC México,0.737983,False,False,False,False
ICBC Argentina,legit_aug_banco-ciudad-de-buenos-aires_v0_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.73620284,False,False,False,False
ICBC Argentina,legit_aug_banco-ciudad-de-buenos-aires_v4_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.73490024,False,False,False,False
ICBC Argentina,legit_banco-ciudad-de-buenos-aires_20251102T194956.png,BANCO (REF),Banco Ciudad de Buenos Aires,0.73486096,False,False,False,False
ICBC Argentina,legit_aug_hsbc-méxico_v0_20251130T221003.png,BANCO (AUG),HSBC México,0.7342531,False,False,False,False
ICBC Argentina,legit_aug_hsbc-méxico_v3_20251130T221004.png,BANCO (AUG),HSBC México,0.733255,False,False,False,False
ICBC Argentina,legit_aug_banamex_v5_20251130T221003.png,BANCO (AUG),Banamex,0.7313336,False,False,False,False
ICBC Argentina,legit_aug_banco-santander-argentina_v1_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.73124826,False,False,False,False
ICBC Argentina,legit_aug_banco-ciudad-de-buenos-aires_v6_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.72844887,False,False,False,False
ICBC Argentina,legit_aug_banco-del-pacífico_v2_20251130T221017.png,BANCO (AUG),Banco del Pacífico,0.7264836,False,False,False,False
ICBC Argentina,legit_aug_banco-ciudad-de-buenos-aires_v7_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.7260819,False,False,False,False
ICBC Argentina,legit_aug_banco-ciudad-de-buenos-aires_v8_20251130T221022.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.7253789,False,False,False,False
ICBC Argentina,legit_aug_banco-ciudad-de-buenos-aires_v2_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.7246603,False,False,False,False
ICBC Argentina,legit_aug_banco-del-pacífico_v1_20251130T221017.png,BANCO (AUG),Banco del Pacífico,0.72435683,False,False,False,False
ICBC Argentina,legit_aug_hsbc-méxico_v9_20251130T221004.png,BANCO (AUG),HSBC México,0.72391504,False,False,False,False
ICBC Argentina,legit_aug_scotiabank-perú_v9_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.72357535,False,False,False,False
ICBC Argentina,legit_aug_banco-ciudad-de-buenos-aires_v3_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.7235577,False,False,False,False
ICBC Argentina,legit_aug_banco-del-pacífico_v6_20251130T221018.png,BANCO (AUG),Banco del Pacífico,0.72217333,False,False,False,False
ICBC Argentina,legit_aug_hsbc-méxico_v8_20251130T221004.png,BANCO (AUG),HSBC México,0.7220435,False,False,False,False
ICBC Argentina,legit_aug_hsbc-méxico_v5_20251130T221004.png,BANCO (AUG),HSBC México,0.7205814,False,False,False,False
ICBC Argentina,legit_aug_citibank-méxico_v3_20251130T221006.png,BANCO (AUG),Citibank México,0.7190703,False,False,False,False
ICBC Argentina,legit_aug_banco-azteca_v4_20251130T221008.png,BANCO (AUG),Banco Azteca,0.71882963,False,False,False,False
ICBC Argentina,legit_aug_banamex_v4_20251130T221003.png,BANCO (AUG),Banamex,0.7182958,False,False,False,False
ICBC Argentina,legit_aug_banco-santander-argentina_v6_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.71806836,False,False,False,False
ICBC Argentina,legit_aug_sudameris-paraguay_v3_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.71751666,False,False,False,False
ICBC Argentina,legit_aug_banco-de-chile_v6_20251130T221003.png,BANCO (AUG),Banco de Chile,0.717373,False,False,False,False
ICBC Argentina,legit_aug_banistmo_v2_20251130T221014.png,BANCO (AUG),Banistmo,0.7172506,False,False,False,False
ICBC Argentina,legit_aug_banco-ficohsa_v0_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.71703464,False,False,False,False
ICBC Argentina,legit_banamex_20251102T195813.png,BANCO (REF),Banamex,0.71662426,False,False,False,False
ICBC Argentina,legit_aug_banco-continental-paraguay_v2_20251130T221020.png,BANCO (AUG),Banco Continental Paraguay,0.71630865,False,False,False,False
ICBC Argentina,legit_aug_banco-de-crédito-e-inversiones_v5_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.71464163,False,False,False,False
ICBC Argentina,legit_aug_sudameris-paraguay_v1_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.71376896,False,False,False,False
ICBC Argentina,legit_aug_banco-bice_v8_20251130T221013.png,BANCO (AUG),Banco Bice,0.7136239,False,False,False,False
ICBC Argentina,legit_aug_banistmo_v0_20251130T221014.png,BANCO (AUG),Banistmo,0.71318924,False,False,False,False
ICBC Argentina,legit_aug_banamex_v8_20251130T221003.png,BANCO (AUG),Banamex,0.7128396,False,False,False,False
ICBC Argentina,legit_aug_banco-de-chile_v4_20251130T221003.png,BANCO (AUG),Banco de Chile,0.71254814,False,False,False,False
ICBC Argentina,legit_aug_sudameris-paraguay_v8_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.7125081,False,False,False,False
ICBC Argentina,legit_aug_banistmo_v1_20251130T221014.png,BANCO (AUG),Banistmo,0.712114,False,False,False,False
ICBC Argentina,legit_aug_banco-ficohsa_v8_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.71064293,False,False,False,False
ICBC Argentina,legit_aug_sudameris-paraguay_v9_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.710159,False,False,False,False
ICBC Argentina,legit_aug_banamex_v3_20251130T221003.png,BANCO (AUG),Banamex,0.70998967,False,False,False,False
ICBC Argentina,legit_aug_banco-ciudad-de-buenos-aires_v9_20251130T221022.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.70978934,False,False,False,False
