target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Inbursa,legit_inbursa_20251102T191735.png,BANCO (REF),Inbursa,0.9999999,True,True,False,True
Inbursa,legit_aug_inbursa_v5_20251130T221006.png,BANCO (AUG),Inbursa,0.9542305,True,True,False,False
Inbursa,legit_aug_inbursa_v6_20251130T221006.png,BANCO (AUG),Inbursa,0.9511329,True,True,False,False
Inbursa,legit_aug_inbursa_v8_20251130T221006.png,BANCO (AUG),Inbursa,0.93441385,True,True,False,False
Inbursa,legit_aug_inbursa_v1_20251130T221006.png,BANCO (AUG),Inbursa,0.93421733,True,True,False,False
Inbursa,legit_aug_inbursa_v0_20251130T221006.png,BANCO (AUG),Inbursa,0.92282265,True,True,False,False
Inbursa,legit_aug_inbursa_v7_20251130T221006.png,BANCO (AUG),Inbursa,0.9182269,True,True,False,False
Inbursa,legit_aug_inbursa_v3_20251130T221006.png,BANCO (AUG),Inbursa,0.88937086,True,True,False,False
Inbursa,legit_aug_inbursa_v9_20251130T221006.png,BANCO (AUG),Inbursa,0.87731075,True,True,False,False
Inbursa,legit_aug_inbursa_v2_20251130T221006.png,BANCO (AUG),Inbursa,0.86266994,True,True,False,False
Inbursa,legit_aug_inbursa_v4_20251130T221006.png,BANCO (AUG),Inbursa,0.8539857,True,True,False,False
Inbursa,legit_aug_banistmo_v1_20251130T221014.png,BANCO (AUG),Banistmo,0.7292961,False,False,False,False
Inbursa,legit_aug_banistmo_v3_20251130T221014.png,BANCO (AUG),Banistmo,0.722715,False,False,False,False
Inbursa,legit_aug_banistmo_v4_20251130T221014.png,BANCO (AUG),Banistmo,0.72252595,False,False,False,False
Inbursa,legit_aug_banistmo_v8_20251130T221014.png,BANCO (AUG),Banistmo,0.7211178,False,False,False,False
Inbursa,legit_banistmo_20251102T193415.png,BANCO (REF),Banistmo,0.7169646,False,False,False,False
Inbursa,legit_aug_banistmo_v6_20251130T221014.png,BANCO (AUG),Banistmo,0.7164481,False,False,False,False
Inbursa,legit_aug_banistmo_v9_20251130T221014.png,BANCO (AUG),Banistmo,0.7146939,False,False,False,False
Inbursa,legit_aug_banistmo_v0_20251130T221014.png,BANCO (AUG),Banistmo,0.7101042,False,False,False,False
