target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Interbank,legit_interbank_20251102T192145.png,BANCO (REF),Interbank,1.0000001,True,True,False,True
Interbank,legit_aug_interbank_v5_20251130T221007.png,BANCO (AUG),Interbank,0.96109164,True,True,False,False
Interbank,legit_aug_interbank_v8_20251130T221007.png,BANCO (AUG),Interbank,0.95255125,True,True,False,False
Interbank,legit_aug_interbank_v7_20251130T221007.png,BANCO (AUG),Interbank,0.9523015,True,True,False,False
Interbank,legit_aug_interbank_v4_20251130T221007.png,BANCO (AUG),Interbank,0.944378,True,True,False,False
Interbank,legit_aug_interbank_v1_20251130T221007.png,BANCO (AUG),Interbank,0.9413094,True,True,False,False
Interbank,legit_aug_interbank_v9_20251130T221007.png,BANCO (AUG),Interbank,0.9333409,True,True,False,False
Interbank,legit_aug_interbank_v0_20251130T221007.png,BANCO (AUG),Interbank,0.9307247,True,True,False,False
Interbank,legit_aug_interbank_v6_20251130T221007.png,BANCO (AUG),Interbank,0.92979884,True,True,False,False
Interbank,legit_aug_interbank_v2_20251130T221007.png,BANCO (AUG),Interbank,0.9233521,True,True,False,False
Interbank,legit_aug_interbank_v3_20251130T221007.png,BANCO (AUG),Interbank,0.90125275,True,True,False,False
Interbank,legit_aug_scotiabank-perú_v7_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.6798245,False,False,False,False
Interbank,legit_aug_scotiabank-perú_v0_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.6771655,False,False,False,False
Interbank,legit_aug_scotiabank-perú_v3_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.6651856,False,False,False,False
Interbank,legit_aug_banco-internacional-chile_v4_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.6645925,False,False,False,False
Interbank,legit_aug_sudameris-paraguay_v6_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.6609973,False,False,False,False
Interbank,legit_aug_scotiabank-perú_v4_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.6609386,False,False,False,False
Interbank,legit_aug_banco-santander-argentina_v3_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.65807796,False,False,False,False
Interbank,legit_aug_scotiabank-perú_v2_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.65686,False,False,False,False
Interbank,legit_aug_banco-internacional-chile_v7_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.6563376,False,False,False,False
Interbank,legit_aug_banco-internacional-chile_v5_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.6543036,False,False,False,False
Interbank,legit_scotiabank-per_20251102T192231.png,BANCO (REF),Scotiabank Perú,0.653848,False,False,False,False
Interbank,legit_aug_banco-internacional-chile_v0_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.6533692,False,False,False,False
Interbank,legit_aug_banco-del-pacífico_v2_20251130T221017.png,BANCO (AUG),Banco del Pacífico,0.6525779,False,False,False,False
