target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Produbanco,legit_produbanco_20251102T194118.png,BANCO (REF),Produbanco,1.0,True,True,False,True
Produbanco,legit_aug_produbanco_v3_20251130T221018.png,BANCO (AUG),Produbanco,0.9512617,True,True,False,False
Produbanco,legit_aug_produbanco_v5_20251130T221018.png,BANCO (AUG),Produbanco,0.9509624,True,True,False,False
Produbanco,legit_aug_produbanco_v6_20251130T221018.png,BANCO (AUG),Produbanco,0.9343854,True,True,False,False
Produbanco,legit_aug_produbanco_v8_20251130T221018.png,BANCO (AUG),Produbanco,0.9176614,True,True,False,False
Produbanco,legit_aug_produbanco_v2_20251130T221018.png,BANCO (AUG),Produbanco,0.9150722,True,True,False,False
Produbanco,legit_aug_produbanco_v9_20251130T221018.png,BANCO (AUG),Produbanco,0.89243746,True,True,False,False
Produbanco,legit_aug_produbanco_v4_20251130T221018.png,BANCO (AUG),Produbanco,0.888311,True,True,False,False
Produbanco,legit_aug_produbanco_v1_20251130T221018.png,BANCO (AUG),Produbanco,0.87508893,True,True,False,False
Produbanco,legit_aug_produbanco_v7_20251130T221018.png,BANCO (AUG),Produbanco,0.8711733,True,True,False,False
Produbanco,legit_aug_produbanco_v0_20251130T221018.png,BANCO (AUG),Produbanco,0.83573735,True,True,False,False
Produbanco,legit_aug_banco-falabella_v4_20251130T221015.png,BANCO (AUG),Banco Falabella,0.76618093,False,False,False,False
Produbanco,legit_banco-falabella_20251102T193607.png,BANCO (REF),Banco Falabella,0.76458615,False,False,False,False
Produbanco,legit_aug_banco-falabella_v8_20251130T221015.png,BANCO (AUG),Banco Falabella,0.75353956,False,False,False,False
Produbanco,legit_aug_banco-falabella_v5_20251130T221015.png,BANCO (AUG),Banco Falabella,0.74749804,False,False,False,False
Produbanco,legit_aug_banco-falabella_v2_20251130T221015.png,BANCO (AUG),Banco Falabella,0.7356672,False,False,False,False
Produbanco,legit_aug_banco-falabella_v1_20251130T221015.png,BANCO (AUG),Banco Falabella,0.730365,False,False,False,False
Produbanco,legit_aug_banco-azteca_v8_20251130T221008.png,BANCO (AUG),Banco Azteca,0.7297816,False,False,False,False
Produbanco,legit_aug_scotiabank-chile_v8_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.7276467,False,False,False,False
Produbanco,legit_aug_banco-provincia_v9_20251130T221013.png,BANCO (AUG),Banco Provincia,0.72698295,False,False,False,False
Produbanco,legit_aug_banco-azteca_v4_20251130T221008.png,BANCO (AUG),Banco Azteca,0.7214413,False,False,False,False
Produbanco,legit_aug_banco-azteca_v3_20251130T221008.png,BANCO (AUG),Banco Azteca,0.71943194,False,False,False,False
Produbanco,legit_aug_banamex_v3_20251130T221003.png,BANCO (AUG),Banamex,0.71632767,False,False,False,False
Produbanco,legit_aug_banco-de-crédito-e-inversiones_v3_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.7149991,False,False,False,False
Produbanco,legit_aug_banamex_v4_20251130T221003.png,BANCO (AUG),Banamex,0.7143562,False,False,False,False
Produbanco,legit_aug_banco-nacional-de-costa-rica_v3_20251130T221009.png,BANCO (AUG),Banco Nacional de Costa Rica,0.7142228,False,False,False,False
Produbanco,legit_aug_banco-nacional-de-costa-rica_v6_20251130T221009.png,BANCO (AUG),Banco Nacional de Costa Rica,0.7082412,False,False,False,False
Produbanco,legit_aug_banco-de-crédito-e-inversiones_v6_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.7078551,False,False,False,False
Produbanco,legit_aug_banco-azteca_v0_20251130T221008.png,BANCO (AUG),Banco Azteca,0.7077613,False,False,False,False
Produbanco,legit_aug_banco-nacional-panamá_v5_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.7067932,False,False,False,False
Produbanco,legit_aug_banco-nacional-de-costa-rica_v5_20251130T221009.png,BANCO (AUG),Banco Nacional de Costa Rica,0.70620656,False,False,False,False
Produbanco,legit_aug_banco-azteca_v9_20251130T221008.png,BANCO (AUG),Banco Azteca,0.7060846,False,False,False,False
Produbanco,legit_aug_banco-azteca_v1_20251130T221008.png,BANCO (AUG),Banco Azteca,0.7051617,False,False,False,False
Produbanco,legit_aug_banco-santander-argentina_v5_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.70437753,False,False,False,False
Produbanco,legit_grupo-promerica_20251102T193150.png,BANCO (REF),Grupo Promerica,0.70358694,False,False,False,False
Produbanco,legit_aug_banco-falabella_v3_20251130T221015.png,BANCO (AUG),Banco Falabella,0.7022578,False,False,False,False
Produbanco,legit_aug_banco-de-crédito-e-inversiones_v9_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.70210916,False,False,False,False
Produbanco,legit_banamex_20251102T195813.png,BANCO (REF),Banamex,0.7004381,False,False,False,False
Produbanco,legit_aug_banco-santander-argentina_v3_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.7001668,False,False,False,False
Produbanco,legit_aug_scotiabank-chile_v1_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.69889927,False,False,False,False
Produbanco,legit_aug_banco-de-crédito-e-inversiones_v4_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.69824564,False,False,False,False
Produbanco,legit_aug_scotiabank-chile_v9_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.6975087,False,False,False,False
Produbanco,legit_aug_citibank-méxico_v3_20251130T221006.png,BANCO (AUG),Citibank México,0.69705445,False,False,False,False
Produbanco,legit_aug_banco-de-crédito-e-inversiones_v1_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.69701284,False,False,False,False
Produbanco,legit_aug_banamex_v5_20251130T221003.png,BANCO (AUG),Banamex,0.6968987,False,False,False,False
