target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Scotiabank Chile,legit_scotiabank-chile_20251102T191440.png,BANCO (REF),Scotiabank Chile,1.0000001,True,True,False,True
Scotiabank Chile,legit_aug_scotiabank-chile_v6_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.95937216,True,True,False,False
Scotiabank Chile,legit_aug_scotiabank-chile_v1_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.94571424,True,True,False,False
Scotiabank Chile,legit_aug_scotiabank-chile_v5_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.94506127,True,True,False,False
Scotiabank Chile,legit_aug_scotiabank-chile_v7_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.9403875,True,True,False,False
Scotiabank Chile,legit_aug_scotiabank-chile_v4_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.93657815,True,True,False,False
Scotiabank Chile,legit_aug_scotiabank-chile_v3_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.93322825,True,True,False,False
Scotiabank Chile,legit_aug_scotiabank-chile_v0_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.8962625,True,True,False,False
Scotiabank Chile,legit_aug_scotiabank-chile_v9_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.86631364,True,True,False,False
Scotiabank Chile,legit_aug_scotiabank-chile_v8_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.8633631,True,True,False,False
Scotiabank Chile,legit_aug_scotiabank-chile_v2_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.8600606,True,True,False,False
Scotiabank Chile,legit_aug_banco-de-crédito-e-inversiones_v3_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.78656375,False,False,False,False
Scotiabank Chile,legit_aug_banco-de-crédito-e-inversiones_v6_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.76583856,False,False,False,False
Scotiabank Chile,legit_aug_banco-de-crédito-e-inversiones_v9_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.76363456,False,False,False,False
Scotiabank Chile,legit_banco-de-cr-dito-e-inversiones_20251102T191004.png,BANCO (REF),Banco de Crédito e Inversiones,0.7546891,False,False,False,False
Scotiabank Chile,legit_aug_banco-de-crédito-e-inversiones_v7_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.75226563,False,False,False,False
Scotiabank Chile,legit_aug_banco-de-crédito-e-inversiones_v5_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.7498975,False,False,False,False
Scotiabank Chile,legit_aug_banco-de-crédito-e-inversiones_v1_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.7494303,False,False,False,False
Scotiabank Chile,legit_aug_banamex_v3_20251130T221003.png,BANCO (AUG),Banamex,0.7368071,False,False,False,False
Scotiabank Chile,legit_aug_banamex_v4_20251130T221003.png,BANCO (AUG),Banamex,0.7234348,False,False,False,False
Scotiabank Chile,legit_aug_banco-santander-uruguay_v3_20251130T221016.png,BANCO (AUG),Banco Santander Uruguay,0.71868813,False,False,False,False
Scotiabank Chile,legit_aug_sudameris-paraguay_v2_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.7156277,False,False,False,False
Scotiabank Chile,legit_aug_banco-de-crédito-e-inversiones_v4_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.71552956,False,False,False,False
Scotiabank Chile,legit_aug_banco-itaú-chile_v7_20251130T221004.png,BANCO (AUG),Banco Itaú Chile,0.7148551,False,False,False,False
Scotiabank Chile,legit_aug_banco-bolivariano_v8_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.71481216,False,False,False,False
Scotiabank Chile,legit_banamex_20251102T195813.png,BANCO (REF),Banamex,0.7145304,False,False,False,False
Scotiabank Chile,legit_aug_sudameris-paraguay_v1_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.711763,False,False,False,False
Scotiabank Chile,legit_aug_banco-falabella_v2_20251130T221015.png,BANCO (AUG),Banco Falabella,0.7114155,False,False,False,False
Scotiabank Chile,legit_aug_banco-falabella_v4_20251130T221015.png,BANCO (AUG),Banco Falabella,0.7073657,False,False,False,False
Scotiabank Chile,legit_aug_banco-azteca_v1_20251130T221008.png,BANCO (AUG),Banco Azteca,0.70710635,False,False,False,False
Scotiabank Chile,legit_aug_banco-azteca_v3_20251130T221008.png,BANCO (AUG),Banco Azteca,0.7044573,False,False,False,False
Scotiabank Chile,legit_banco-ita-uruguay_20251102T193855.png,BANCO (REF),Banco Itaú Uruguay,0.7036289,False,False,False,False
Scotiabank Chile,legit_aug_banco-azteca_v9_20251130T221008.png,BANCO (AUG),Banco Azteca,0.7019892,False,False,False,False
Scotiabank Chile,legit_aug_sudameris-paraguay_v8_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.7017529,False,False,False,False
Scotiabank Chile,legit_banco-falabella_20251102T193607.png,BANCO (REF),Banco Falabella,0.7006474,False,False,False,False
Scotiabank Chile,legit_aug_banco-nacional-panamá_v9_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.7005105,False,False,False,False
Scotiabank Chile,legit_aug_banco-nacional-panamá_v5_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.7004837,False,False,False,False
Scotiabank Chile,legit_aug_banco-itaú-uruguay_v2_20251130T221016.png,BANCO (AUG),Banco Itaú Uruguay,0.69996405,False,False,False,False
Scotiabank Chile,legit_aug_banco-de-crédito-e-inversiones_v2_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.69984716,False,False,False,False
Scotiabank Chile,legit_aug_sudameris-paraguay_v0_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.69876325,False,False,False,False
Scotiabank Chile,legit_aug_banco-itaú-uruguay_v4_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.6986401,False,False,False,False
Scotiabank Chile,legit_aug_produbanco_v2_20251130T221018.png,BANCO (AUG),Produbanco,0.6974131,False,False,False,False
Scotiabank Chile,legit_aug_banco-itaú-uruguay_v0_20251130T221016.png,BANCO (AUG),Banco Itaú Uruguay,0.6973885,False,False,False,False
Scotiabank Chile,legit_aug_sudameris-paraguay_v3_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.6968726,False,False,False,False
Scotiabank Chile,legit_aug_banco-de-crédito-e-inversiones_v0_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.696784,False,False,False,False
Scotiabank Chile,legit_aug_banco-itaú-uruguay_v7_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.69649136,False,False,False,False
Scotiabank Chile,legit_aug_banco-azteca_v8_20251130T221008.png,BANCO (AUG),Banco Azteca,0.69610435,False,False,False,False
Scotiabank Chile,legit_aug_banco-azteca_v0_20251130T221008.png,BANCO (AUG),Banco Azteca,0.6959751,False,False,False,False
Scotiabank Chile,legit_aug_banco-santander-uruguay_v8_20251130T221016.png,BANCO (AUG),Banco Santander Uruguay,0.6954374,False,False,False,False
Scotiabank Chile,legit_aug_banco-itaú-uruguay_v6_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.6951003,False,False,False,False
Scotiabank Chile,legit_aug_produbanco_v9_20251130T221018.png,BANCO (AUG),Produbanco,0.6943021,False,False,False,False
Scotiabank Chile,legit_aug_banco-falabella_v8_20251130T221015.png,BANCO (AUG),Banco Falabella,0.6942569,False,False,False,False
Scotiabank Chile,legit_aug_banco-nacional-de-bolivia_v4_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.6935625,False,False,False,False
Scotiabank Chile,legit_aug_banco-de-crédito-e-inversiones_v8_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.69298196,False,False,False,False
Scotiabank Chile,legit_aug_produbanco_v3_20251130T221018.png,BANCO (AUG),Produbanco,0.69293344,False,False,False,False
Scotiabank Chile,legit_aug_produbanco_v1_20251130T221018.png,BANCO (AUG),Produbanco,0.69243586,False,False,False,False
Scotiabank Chile,legit_aug_banco-nacional-panamá_v4_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.6911146,False,False,False,False
Scotiabank Chile,legit_aug_banco-itaú-uruguay_v5_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.68981373,False,False,False,False
Scotiabank Chile,legit_aug_banco-itaú-uruguay_v1_20251130T221016.png,BANCO (AUG),Banco Itaú Uruguay,0.6895441,False,False,False,False
Scotiabank Chile,legit_aug_produbanco_v8_20251130T221018.png,BANCO (AUG),Produbanco,0.6882742,False,False,False,False
Scotiabank Chile,legit_aug_bbva-méxico_v6_20251130T221002.png,BANCO (AUG),BBVA México,0.68733054,False,False,False,False
Scotiabank Chile,legit_aug_banco-santander-uruguay_v6_20251130T221016.png,BANCO (AUG),Banco Santander Uruguay,0.68644994,False,False,False,False
