target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Scotiabank Perú,legit_scotiabank-per_20251102T192231.png,BANCO (REF),Scotiabank Perú,1.0000002,True,True,False,True
Scotiabank Perú,legit_aug_scotiabank-perú_v0_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.9513912,True,True,False,False
Scotiabank Perú,legit_aug_scotiabank-perú_v4_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.94310176,True,True,False,False
Scotiabank Perú,legit_aug_scotiabank-perú_v5_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.9419596,True,True,False,False
Scotiabank Perú,legit_aug_scotiabank-perú_v1_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.9166155,True,True,False,False
Scotiabank Perú,legit_aug_scotiabank-perú_v6_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.9050286,True,True,False,False
Scotiabank Perú,legit_aug_scotiabank-perú_v7_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.8960223,True,True,False,False
Scotiabank Perú,legit_aug_scotiabank-perú_v9_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.86259663,True,True,False,False
Scotiabank Perú,legit_aug_scotiabank-perú_v8_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.84758157,True,True,False,False
Scotiabank Perú,legit_aug_sudameris-paraguay_v1_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.7611198,False,False,False,False
Scotiabank Perú,legit_aug_banco-santander-argentina_v4_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.7499794,False,False,False,False
Scotiabank Perú,legit_aug_sudameris-paraguay_v6_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.74900764,False,False,False,False
Scotiabank Perú,legit_aug_sudameris-paraguay_v8_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.7477416,False,False,False,False
Scotiabank Perú,legit_aug_sudameris-paraguay_v0_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.7455045,False,False,False,False
Scotiabank Perú,legit_aug_banco-santander-argentina_v1_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.7417022,False,False,False,False
Scotiabank Perú,legit_aug_sudameris-paraguay_v4_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.7358908,False,False,False,False
Scotiabank Perú,legit_aug_banco-santander-argentina_v7_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.7348245,False,False,False,False
Scotiabank Perú,legit_aug_sudameris-paraguay_v3_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.7322384,False,False,False,False
Scotiabank Perú,legit_aug_banco-bolivariano_v8_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.72714573,False,False,False,False
Scotiabank Perú,legit_aug_banco-santander-argentina_v6_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.72595835,False,False,False,False
Scotiabank Perú,legit_aug_sudameris-paraguay_v9_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.72328115,False,False,False,False
Scotiabank Perú,legit_aug_banamex_v4_20251130T221003.png,BANCO (AUG),Banamex,0.7230092,False,False,False,False
Scotiabank Perú,legit_aug_banistmo_v8_20251130T221014.png,BANCO (AUG),Banistmo,0.72176576,False,False,False,False
