target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
BAC Credomatic,legit_bac-credomatic_20251102T191528.png,BANCO (REF),BAC Credomatic,1.0,True,True,False,True
BAC Credomatic,legit_aug_bac-credomatic_v4_20251130T221005.png,BANCO (AUG),BAC Credomatic,0.9899303,True,True,False,False
BAC Credomatic,legit_aug_bac-credomatic_v5_20251130T221005.png,BANCO (AUG),BAC Credomatic,0.9836712,True,True,False,False
BAC Credomatic,legit_aug_bac-credomatic_v2_20251130T221004.png,BANCO (AUG),BAC Credomatic,0.97965133,True,True,False,False
BAC Credomatic,legit_aug_bac-credomatic_v1_20251130T221004.png,BANCO (AUG),BAC Credomatic,0.9771608,True,True,False,False
BAC Credomatic,legit_aug_bac-credomatic_v0_20251130T221004.png,BANCO (AUG),BAC Credomatic,0.9753045,True,True,False,False
BAC Credomatic,legit_aug_bac-credomatic_v8_20251130T221005.png,BANCO (AUG),BAC Credomatic,0.97325397,True,True,False,False
BAC Credomatic,legit_aug_bac-credomatic_v7_20251130T221005.png,BANCO (AUG),BAC Credomatic,0.97295594,True,True,False,False
BAC Credomatic,legit_aug_bac-credomatic_v6_20251130T221005.png,BANCO (AUG),BAC Credomatic,0.9702628,True,True,False,False
BAC Credomatic,legit_aug_bac-credomatic_v3_20251130T221005.png,BANCO (AUG),BAC Credomatic,0.97025615,True,True,False,False
BAC Credomatic,legit_aug_bac-credomatic_v9_20251130T221005.png,BANCO (AUG),BAC Credomatic,0.95438164,True,True,False,False
BAC Credomatic,legit_aug_banco-nacional-de-costa-rica_v0_20251130T221008.png,BANCO (AUG),Banco Nacional de Costa Rica,0.57531464,False,False,False,False
BAC Credomatic,random_sharethrough-com_20251129T165851.png,RANDOM,unknown,0.5616256,False,False,False,False
BAC Credomatic,legit_aug_banco-nacional-de-costa-rica_v8_20251130T221009.png,BANCO (AUG),Banco Nacional de Costa Rica,0.54438436,False,False,False,False
BAC Credomatic,legit_aug_banco-nacional-de-costa-rica_v4_20251130T221009.png,BANCO (AUG),Banco Nacional de Costa Rica,0.53492564,False,False,False,False
BAC Credomatic,legit_banco-nacional-de-costa-rica_20251102T192522.png,BANCO (REF),Banco Nacional de Costa Rica,0.53344786,False,False,False,False
BAC Credomatic,legit_aug_banco-nacional-de-costa-rica_v7_20251130T221009.png,BANCO (AUG),Banco Nacional de Costa Rica,0.5302659,False,False,False,False
BAC Credomatic,legit_aug_banco-nacional-de-costa-rica_v2_20251130T221009.png,BANCO (AUG),Banco Nacional de Costa Rica,0.52880347,False,False,False,False
BAC Credomatic,random_soundcloud-com_20251129T163738.png,RANDOM,unknown,0.52833265,False,False,False,False
BAC Credomatic,random_intel-com_20251129T171229.png,RANDOM,unknown,0.5234001,False,False,False,False
BAC Credomatic,legit_aug_citibank-méxico_v7_20251130T221006.png,BANCO (AUG),Citibank México,0.51739585,False,False,False,False
BAC Credomatic,legit_aug_citibank-méxico_v9_20251130T221006.png,BANCO (AUG),Citibank México,0.5163347,False,False,False,False
BAC Credomatic,legit_aug_citibank-méxico_v4_20251130T221006.png,BANCO (AUG),Citibank México,0.5072342,False,False,False,False
BAC Credomatic,legit_aug_banco-nacional-de-costa-rica_v6_20251130T221009.png,BANCO (AUG),Banco Nacional de Costa Rica,0.5034824,False,False,False,False
BAC Credomatic,legit_aug_citibank-méxico_v5_20251130T221006.png,BANCO (AUG),Citibank México,0.50276875,False,False,False,False
BAC Credomatic,legit_aug_banco-nacional-de-costa-rica_v9_20251130T221009.png,BANCO (AUG),Banco Nacional de Costa Rica,0.5026607,False,False,False,False
BAC Credomatic,legit_aug_banco-nacional-de-costa-rica_v1_20251130T221009.png,BANCO (AUG),Banco Nacional de Costa Rica,0.4986037,False,False,False,False
BAC Credomatic,legit_aug_citibank-méxico_v1_20251130T221006.png,BANCO (AUG),Citibank México,0.49660566,False,False,False,False
BAC Credomatic,legit_citibank-m-xico_20251102T195922.png,BANCO (REF),Citibank México,0.49253115,False,False,False,False
BAC Credomatic,legit_aug_citibank-méxico_v8_20251130T221006.png,BANCO (AUG),Citibank México,0.49197218,False,False,False,False
