target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
BBVA Colombia,legit_bbva-colombia_20251102T195957.png,BANCO (REF),BBVA Colombia,1.0000002,True,True,False,True
BBVA Colombia,legit_aug_bbva-colombia_v7_20251130T221007.png,BANCO (AUG),BBVA Colombia,0.9917225,True,True,False,False
BBVA Colombia,legit_aug_bbva-colombia_v5_20251130T221007.png,BANCO (AUG),BBVA Colombia,0.9890677,True,True,False,False
BBVA Colombia,legit_aug_bbva-colombia_v0_20251130T221006.png,BANCO (AUG),BBVA Colombia,0.98811084,True,True,False,False
BBVA Colombia,legit_aug_bbva-colombia_v3_20251130T221006.png,BANCO (AUG),BBVA Colombia,0.9876111,True,True,False,False
BBVA Colombia,legit_aug_bbva-colombia_v6_20251130T221007.png,BANCO (AUG),BBVA Colombia,0.9868577,True,True,False,False
BBVA Colombia,legit_aug_bbva-colombia_v1_20251130T221006.png,BANCO (AUG),BBVA Colombia,0.98366326,True,True,False,False
BBVA Colombia,legit_aug_bbva-colombia_v2_20251130T221006.png,BANCO (AUG),BBVA Colombia,0.9828124,True,True,False,False
BBVA Colombia,legit_aug_bbva-colombia_v9_20251130T221007.png,BANCO (AUG),BBVA Colombia,0.9824145,True,True,False,False
BBVA Colombia,legit_aug_bbva-colombia_v8_20251130T221007.png,BANCO (AUG),BBVA Colombia,0.97907925,True,True,False,False
BBVA Colombia,legit_aug_bbva-colombia_v4_20251130T221006.png,BANCO (AUG),BBVA Colombia,0.97562003,True,True,False,False
BBVA Colombia,legit_aug_banco-bice_v6_20251130T221013.png,BANCO (AUG),Banco Bice,0.9547099,True,False,True,False
BBVA Colombia,legit_aug_banco-provincia_v6_20251130T221013.png,BANCO (AUG),Banco Provincia,0.9539099,True,False,True,False
BBVA Colombia,legit_aug_banco-bice_v4_20251130T221013.png,BANCO (AUG),Banco Bice,0.9528948,True,False,True,False
BBVA Colombia,legit_aug_banco-bice_v9_20251130T221013.png,BANCO (AUG),Banco Bice,0.9526949,True,False,True,False
BBVA Colombia,legit_aug_banco-bice_v1_20251130T221012.png,BANCO (AUG),Banco Bice,0.95268637,True,False,True,False
BBVA Colombia,legit_aug_banco-bice_v3_20251130T221013.png,BANCO (AUG),Banco Bice,0.9521532,True,False,True,False
BBVA Colombia,legit_aug_banco-bice_v2_20251130T221012.png,BANCO (AUG),Banco Bice,0.9500543,True,False,True,False
BBVA Colombia,legit_aug_banco-provincia_v7_20251130T221013.png,BANCO (AUG),Banco Provincia,0.94966716,True,False,True,False
BBVA Colombia,legit_aug_banco-bice_v0_20251130T221012.png,BANCO (AUG),Banco Bice,0.9496112,True,False,True,False
BBVA Colombia,legit_banco-bice_20251102T193210.png,BANCO (REF),Banco Bice,0.9486685,True,False,True,False
BBVA Colombia,legit_aug_banco-bice_v7_20251130T221013.png,BANCO (AUG),Banco Bice,0.94798636,True,False,True,False
BBVA Colombia,legit_aug_banco-bice_v5_20251130T221013.png,BANCO (AUG),Banco Bice,0.9475175,True,False,True,False
BBVA Colombia,legit_aug_banco-provincia_v1_20251130T221013.png,BANCO (AUG),Banco Provincia,0.9467119,True,False,True,False
BBVA Colombia,legit_aug_banbif_v2_20251130T221019.png,BANCO (AUG),BanBif,0.9452116,True,False,True,False
BBVA Colombia,legit_aug_banco-bice_v8_20251130T221013.png,BANCO (AUG),Banco Bice,0.94481087,True,False,True,False
BBVA Colombia,legit_aug_banco-provincia_v3_20251130T221013.png,BANCO (AUG),Banco Provincia,0.9427138,True,False,True,False
BBVA Colombia,legit_aug_banbif_v8_20251130T221019.png,BANCO (AUG),BanBif,0.9424986,True,False,True,False
BBVA Colombia,legit_aug_banbif_v4_20251130T221019.png,BANCO (AUG),BanBif,0.94190806,True,False,True,False
BBVA Colombia,legit_aug_banbif_v1_20251130T221019.png,BANCO (AUG),BanBif,0.94108677,True,False,True,False
BBVA Colombia,random_readthedocs-io_20251129T173904.png,RANDOM,unknown,0.9404339,True,False,True,False
BBVA Colombia,legit_aug_banco-provincia_v0_20251130T221013.png,BANCO (AUG),Banco Provincia,0.9399665,True,False,True,False
BBVA Colombia,legit_banco-de-chile_20251102T191314.png,BANCO (REF),Banco de Chile,0.9395806,True,False,True,False
BBVA Colombia,legit_aug_banbif_v9_20251130T221019.png,BANCO (AUG),BanBif,0.9393846,True,False,True,False
BBVA Colombia,legit_aug_banco-provincia_v2_20251130T221013.png,BANCO (AUG),Banco Provincia,0.9390768,True,False,True,False
BBVA Colombia,legit_aug_banco-provincia_v5_20251130T221013.png,BANCO (AUG),Banco Provincia,0.93874145,True,False,True,False
BBVA Colombia,random_facebook-com_20251129T162302.png,RANDOM,unknown,0.93794525,True,False,True,False
BBVA Colombia,random_instagram-com_20251129T162358.png,RANDOM,unknown,0.937563,True,False,True,False
BBVA Colombia,legit_aug_hsbc-méxico_v4_20251130T221004.png,BANCO (AUG),HSBC México,0.9371999,True,False,True,False
BBVA Colombia,legit_hsbc-m-xico_20251102T191338.png,BANCO (REF),HSBC México,0.9364849,True,False,True,False
BBVA Colombia,legit_aug_hsbc-méxico_v5_20251130T221004.png,BANCO (AUG),HSBC México,0.9364228,True,False,True,False
BBVA Colombia,legit_aug_hsbc-méxico_v1_20251130T221004.png,BANCO (AUG),HSBC México,0.9353901,True,False,True,False
BBVA Colombia,legit_aug_hsbc-méxico_v8_20251130T221004.png,BANCO (AUG),HSBC México,0.93526244,True,False,True,False
BBVA Colombia,legit_aug_banbif_v3_20251130T221019.png,BANCO (AUG),BanBif,0.93500525,True,False,True,False
BBVA Colombia,legit_aug_banbif_v5_20251130T221019.png,BANCO (AUG),BanBif,0.93413776,True,False,True,False
BBVA Colombia,legit_aug_banbif_v6_20251130T221019.png,BANCO (AUG),BanBif,0.933425,True,False,True,False
BBVA Colombia,legit_aug_banco-agromercantil_v6_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.93319756,True,False,True,False
BBVA Colombia,legit_aug_banco-bolivariano_v1_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.9316895,True,False,True,False
BBVA Colombia,legit_aug_hsbc-méxico_v3_20251130T221004.png,BANCO (AUG),HSBC México,0.93167424,True,False,True,False
BBVA Colombia,legit_aug_banco-bolivariano_v5_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.9315259,True,False,True,False
BBVA Colombia,legit_aug_hsbc-méxico_v9_20251130T221004.png,BANCO (AUG),HSBC México,0.9313471,True,False,True,False
BBVA Colombia,legit_aug_banco-bolivariano_v9_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.9313468,True,False,True,False
BBVA Colombia,legit_aug_banco-de-chile_v4_20251130T221003.png,BANCO (AUG),Banco de Chile,0.93133795,True,False,True,False
