target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
BanBif,legit_banbif_20251102T194347.png,BANCO (REF),BanBif,1.0000001,True,True,False,True
BanBif,legit_aug_banbif_v0_20251130T221019.png,BANCO (AUG),BanBif,0.99059415,True,True,False,False
BanBif,legit_aug_banbif_v7_20251130T221019.png,BANCO (AUG),BanBif,0.98917717,True,True,False,False
BanBif,legit_aug_banbif_v4_20251130T221019.png,BANCO (AUG),BanBif,0.9887042,True,True,False,False
BanBif,legit_aug_banbif_v6_20251130T221019.png,BANCO (AUG),BanBif,0.9873626,True,True,False,False
BanBif,legit_aug_banbif_v9_20251130T221019.png,BANCO (AUG),BanBif,0.98697686,True,True,False,False
BanBif,legit_aug_banbif_v3_20251130T221019.png,BANCO (AUG),BanBif,0.98667216,True,True,False,False
BanBif,legit_aug_banbif_v1_20251130T221019.png,BANCO (AUG),BanBif,0.9860591,True,True,False,False
BanBif,legit_aug_banbif_v8_20251130T221019.png,BANCO (AUG),BanBif,0.98449546,True,True,False,False
BanBif,legit_aug_banbif_v2_20251130T221019.png,BANCO (AUG),BanBif,0.9842278,True,True,False,False
BanBif,legit_aug_banbif_v5_20251130T221019.png,BANCO (AUG),BanBif,0.98217577,True,True,False,False
BanBif,legit_aug_scotiabank-perú_v1_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.95288897,True,False,True,False
BanBif,legit_aug_banco-ficohsa_v3_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.9515288,True,False,True,False
BanBif,legit_aug_banco-ficohsa_v1_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.95141375,True,False,True,False
BanBif,legit_banco-ficohsa_20251102T194238.png,BANCO (REF),Banco Ficohsa,0.95097697,True,False,True,False
BanBif,random_deepl-com_20251129T172145.png,RANDOM,unknown,0.9503268,True,False,True,False
BanBif,legit_aug_banco-ficohsa_v6_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.9503212,True,False,True,False
BanBif,random_github-io_20251129T163235.png,RANDOM,unknown,0.94987357,True,False,True,False
BanBif,legit_aug_banco-ficohsa_v2_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.9498377,True,False,True,False
BanBif,legit_aug_banco-ficohsa_v9_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.9489713,True,False,True,False
BanBif,legit_aug_banco-ficohsa_v0_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.94867766,True,False,True,False
BanBif,legit_aug_bbva-colombia_v8_20251130T221007.png,BANCO (AUG),BBVA Colombia,0.9486397,True,False,True,False
BanBif,legit_aug_banco-provincia_v3_20251130T221013.png,BANCO (AUG),Banco Provincia,0.94828093,True,False,True,False
BanBif,legit_aug_banco-ficohsa_v4_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.9480904,True,False,True,False
BanBif,random_quickconnect-to_20251129T172216.png,RANDOM,unknown,0.9478761,True,False,True,False
BanBif,random_hotjar-com_20251129T171444.png,RANDOM,unknown,0.94772124,True,False,True,False
BanBif,legit_hsbc-m-xico_20251102T191338.png,BANCO (REF),HSBC México,0.94699997,True,False,True,False
BanBif,legit_banco-continental-paraguay_20251102T200527.png,BANCO (REF),Banco Continental Paraguay,0.94627976,True,False,True,False
BanBif,legit_aug_hsbc-méxico_v8_20251130T221004.png,BANCO (AUG),HSBC México,0.9460337,True,False,True,False
