target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
BanReservas,legit_banreservas_20251102T192206.png,BANCO (REF),BanReservas,1.0000001,True,True,False,True
BanReservas,legit_aug_banreservas_v0_20251130T221007.png,BANCO (AUG),BanReservas,0.9890758,True,True,False,False
BanReservas,legit_aug_banreservas_v2_20251130T221007.png,BANCO (AUG),BanReservas,0.9879241,True,True,False,False
BanReservas,legit_aug_banreservas_v7_20251130T221008.png,BANCO (AUG),BanReservas,0.9839854,True,True,False,False
BanReservas,legit_aug_banreservas_v6_20251130T221008.png,BANCO (AUG),BanReservas,0.98122776,True,True,False,False
BanReservas,legit_aug_banreservas_v5_20251130T221007.png,BANCO (AUG),BanReservas,0.9808669,True,True,False,False
BanReservas,legit_aug_banreservas_v8_20251130T221008.png,BANCO (AUG),BanReservas,0.97101974,True,True,False,False
BanReservas,legit_aug_banreservas_v9_20251130T221008.png,BANCO (AUG),BanReservas,0.9613895,True,True,False,False
BanReservas,legit_aug_banreservas_v1_20251130T221007.png,BANCO (AUG),BanReservas,0.957783,True,True,False,False
BanReservas,legit_aug_banreservas_v4_20251130T221007.png,BANCO (AUG),BanReservas,0.9488704,True,True,False,False
BanReservas,legit_aug_banreservas_v3_20251130T221007.png,BANCO (AUG),BanReservas,0.9026411,True,True,False,False
BanReservas,legit_aug_scotiabank-chile_v0_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.8312305,True,False,True,False
BanReservas,legit_aug_scotiabank-chile_v3_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.82251656,True,False,True,False
BanReservas,legit_scotiabank-chile_20251102T191440.png,BANCO (REF),Scotiabank Chile,0.8197885,True,False,True,False
BanReservas,legit_aug_scotiabank-chile_v2_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.8091905,True,False,True,False
BanReservas,legit_aug_scotiabank-chile_v7_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.80758566,True,False,True,False
BanReservas,legit_aug_scotiabank-chile_v5_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.80462027,True,False,True,False
BanReservas,legit_aug_scotiabank-chile_v1_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.80406904,True,False,True,False
BanReservas,legit_aug_scotiabank-chile_v9_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.8007641,True,False,True,False
BanReservas,legit_aug_scotiabank-chile_v4_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.7984891,False,False,False,False
BanReservas,legit_aug_scotiabank-chile_v8_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.79847836,False,False,False,False
BanReservas,legit_aug_scotiabank-chile_v6_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.79716444,False,False,False,False
BanReservas,random_apache-org_20251129T163228.png,RANDOM,unknown,0.7142434,False,False,False,False
BanReservas,random_wordpress-com_20251129T163104.png,RANDOM,unknown,0.7094562,False,False,False,False
BanReservas,random_bitrix24-ru_20251129T173023.png,RANDOM,unknown,0.67762685,False,False,False,False
BanReservas,random_web-de_20251129T175220.png,RANDOM,unknown,0.67002165,False,False,False,False
BanReservas,legit_produbanco_20251102T194118.png,BANCO (REF),Produbanco,0.66938734,False,False,False,False
