target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banca Afirme,legit_banca-afirme_20251102T200113.png,BANCO (REF),Banca Afirme,1.0000001,True,True,False,True
Banca Afirme,legit_aug_banca-afirme_v2_20251130T221011.png,BANCO (AUG),Banca Afirme,0.9832119,True,True,False,False
Banca Afirme,legit_aug_banca-afirme_v0_20251130T221010.png,BANCO (AUG),Banca Afirme,0.9676697,True,True,False,False
Banca Afirme,legit_aug_banca-afirme_v1_20251130T221010.png,BANCO (AUG),Banca Afirme,0.94904304,True,True,False,False
Banca Afirme,legit_aug_banca-afirme_v8_20251130T221011.png,BANCO (AUG),Banca Afirme,0.9417062,True,True,False,False
Banca Afirme,legit_aug_banca-afirme_v9_20251130T221011.png,BANCO (AUG),Banca Afirme,0.93749565,True,True,False,False
Banca Afirme,legit_aug_banca-afirme_v5_20251130T221011.png,BANCO (AUG),Banca Afirme,0.93558115,True,True,False,False
Banca Afirme,legit_aug_banca-afirme_v3_20251130T221011.png,BANCO (AUG),Banca Afirme,0.935064,True,True,False,False
Banca Afirme,legit_aug_banca-afirme_v6_20251130T221011.png,BANCO (AUG),Banca Afirme,0.93506336,True,True,False,False
Banca Afirme,legit_aug_banca-afirme_v4_20251130T221011.png,BANCO (AUG),Banca Afirme,0.9346397,True,True,False,False
Banca Afirme,legit_aug_banca-afirme_v7_20251130T221011.png,BANCO (AUG),Banca Afirme,0.8793638,True,True,False,False
Banca Afirme,legit_aug_banco-macro_v8_20251130T221014.png,BANCO (AUG),Banco Macro,0.4873972,False,False,False,False
Banca Afirme,legit_aug_banco-macro_v4_20251130T221013.png,BANCO (AUG),Banco Macro,0.4872238,False,False,False,False
Banca Afirme,legit_aug_banco-macro_v7_20251130T221013.png,BANCO (AUG),Banco Macro,0.4866438,False,False,False,False
Banca Afirme,legit_aug_banco-macro_v1_20251130T221013.png,BANCO (AUG),Banco Macro,0.48338842,False,False,False,False
Banca Afirme,legit_aug_banco-macro_v3_20251130T221013.png,BANCO (AUG),Banco Macro,0.48312393,False,False,False,False
Banca Afirme,legit_aug_banco-macro_v6_20251130T221013.png,BANCO (AUG),Banco Macro,0.48081693,False,False,False,False
Banca Afirme,legit_banco-macro_20251102T193351.png,BANCO (REF),Banco Macro,0.4801722,False,False,False,False
Banca Afirme,legit_aug_banco-macro_v5_20251130T221013.png,BANCO (AUG),Banco Macro,0.47985598,False,False,False,False
Banca Afirme,legit_aug_banco-macro_v9_20251130T221014.png,BANCO (AUG),Banco Macro,0.4761879,False,False,False,False
Banca Afirme,legit_aug_banco-macro_v2_20251130T221013.png,BANCO (AUG),Banco Macro,0.47383738,False,False,False,False
Banca Afirme,legit_aug_banco-macro_v0_20251130T221013.png,BANCO (AUG),Banco Macro,0.4686674,False,False,False,False
Banca Afirme,random_aboutads-info_20251129T171703.png,RANDOM,unknown,0.4546889,False,False,False,False
Banca Afirme,random_3lift-com_20251129T164553.png,RANDOM,unknown,0.4401006,False,False,False,False
Banca Afirme,random_caixa-gov-br_20251129T174926.png,RANDOM,unknown,0.43801445,False,False,False,False
Banca Afirme,random_instructure-com_20251129T175109.png,RANDOM,unknown,0.41939956,False,False,False,False
Banca Afirme,legit_aug_citibank-méxico_v0_20251130T221006.png,BANCO (AUG),Citibank México,0.41815418,False,False,False,False
Banca Afirme,random_amazon-com-br_20251129T174405.png,RANDOM,unknown,0.4065829,False,False,False,False
Banca Afirme,legit_aug_citibank-méxico_v6_20251130T221006.png,BANCO (AUG),Citibank México,0.4064355,False,False,False,False
