target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Agromercantil,legit_banco-agromercantil_20251102T194301.png,BANCO (REF),Banco Agromercantil,1.0000001,True,True,False,True
Banco Agromercantil,legit_aug_banco-agromercantil_v2_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.9924165,True,True,False,False
Banco Agromercantil,legit_aug_banco-agromercantil_v0_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.98977804,True,True,False,False
Banco Agromercantil,legit_aug_banco-agromercantil_v1_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.98944205,True,True,False,False
Banco Agromercantil,legit_aug_banco-agromercantil_v7_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.98912835,True,True,False,False
Banco Agromercantil,legit_aug_banco-agromercantil_v6_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.98796415,True,True,False,False
Banco Agromercantil,legit_aug_banco-agromercantil_v3_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.9875213,True,True,False,False
Banco Agromercantil,legit_aug_banco-agromercantil_v8_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.987411,True,True,False,False
Banco Agromercantil,legit_aug_banco-agromercantil_v5_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.987016,True,True,False,False
Banco Agromercantil,legit_aug_banco-agromercantil_v4_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.9695336,True,True,False,False
Banco Agromercantil,legit_aug_banco-agromercantil_v9_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.9647052,True,True,False,False
Banco Agromercantil,legit_aug_banco-de-chile_v5_20251130T221003.png,BANCO (AUG),Banco de Chile,0.95602596,True,False,True,False
Banco Agromercantil,legit_aug_banco-bolivariano_v6_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.9556346,True,False,True,False
Banco Agromercantil,legit_aug_banco-bolivariano_v1_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.9549853,True,False,True,False
Banco Agromercantil,legit_aug_banco-bolivariano_v5_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.95491153,True,False,True,False
Banco Agromercantil,legit_banco-de-chile_20251102T191314.png,BANCO (REF),Banco de Chile,0.9532262,True,False,True,False
Banco Agromercantil,legit_aug_banco-de-chile_v4_20251130T221003.png,BANCO (AUG),Banco de Chile,0.95245606,True,False,True,False
Banco Agromercantil,legit_aug_banco-bolivariano_v9_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.9524197,True,False,True,False
Banco Agromercantil,legit_aug_banco-bolivariano_v3_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.95119107,True,False,True,False
Banco Agromercantil,legit_aug_banco-bice_v4_20251130T221013.png,BANCO (AUG),Banco Bice,0.95003057,True,False,True,False
Banco Agromercantil,legit_banco-bolivariano_20251102T194855.png,BANCO (REF),Banco Bolivariano,0.9491748,True,False,True,False
Banco Agromercantil,legit_aug_banco-bolivariano_v7_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.9486246,True,False,True,False
Banco Agromercantil,legit_aug_banco-de-chile_v0_20251130T221003.png,BANCO (AUG),Banco de Chile,0.9483475,True,False,True,False
Banco Agromercantil,legit_aug_banco-bolivariano_v4_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.9480373,True,False,True,False
Banco Agromercantil,random_instagram-com_20251129T162358.png,RANDOM,unknown,0.94780487,True,False,True,False
Banco Agromercantil,legit_aug_banco-bolivariano_v2_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.9475946,True,False,True,False
Banco Agromercantil,legit_aug_banco-bice_v6_20251130T221013.png,BANCO (AUG),Banco Bice,0.9466814,True,False,True,False
Banco Agromercantil,legit_aug_banco-bice_v0_20251130T221012.png,BANCO (AUG),Banco Bice,0.94658184,True,False,True,False
Banco Agromercantil,legit_aug_banco-bolivariano_v8_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.9464951,True,False,True,False
Banco Agromercantil,legit_aug_banco-bice_v1_20251130T221012.png,BANCO (AUG),Banco Bice,0.9464545,True,False,True,False
Banco Agromercantil,legit_aug_banco-de-chile_v6_20251130T221003.png,BANCO (AUG),Banco de Chile,0.94628495,True,False,True,False
Banco Agromercantil,legit_aug_banco-bice_v3_20251130T221013.png,BANCO (AUG),Banco Bice,0.9457767,True,False,True,False
Banco Agromercantil,legit_aug_hsbc-méxico_v4_20251130T221004.png,BANCO (AUG),HSBC México,0.94452447,True,False,True,False
