target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Azteca,legit_banco-azteca_20251102T192503.png,BANCO (REF),Banco Azteca,1.0000002,True,True,False,True
Banco Azteca,legit_aug_banco-azteca_v2_20251130T221008.png,BANCO (AUG),Banco Azteca,0.9604048,True,True,False,False
Banco Azteca,legit_aug_banco-azteca_v6_20251130T221008.png,BANCO (AUG),Banco Azteca,0.9445944,True,True,False,False
Banco Azteca,legit_aug_banco-azteca_v0_20251130T221008.png,BANCO (AUG),Banco Azteca,0.9444697,True,True,False,False
Banco Azteca,legit_aug_banco-azteca_v5_20251130T221008.png,BANCO (AUG),Banco Azteca,0.9388335,True,True,False,False
Banco Azteca,legit_aug_banco-azteca_v9_20251130T221008.png,BANCO (AUG),Banco Azteca,0.89767414,True,True,False,False
Banco Azteca,legit_aug_banco-azteca_v1_20251130T221008.png,BANCO (AUG),Banco Azteca,0.8486043,True,True,False,False
Banco Azteca,legit_aug_banco-azteca_v3_20251130T221008.png,BANCO (AUG),Banco Azteca,0.7839027,False,False,False,False
Banco Azteca,legit_aug_banco-azteca_v4_20251130T221008.png,BANCO (AUG),Banco Azteca,0.7826579,False,False,False,False
Banco Azteca,legit_aug_banco-azteca_v8_20251130T221008.png,BANCO (AUG),Banco Azteca,0.78235304,False,False,False,False
Banco Azteca,legit_aug_banco-azteca_v7_20251130T221008.png,BANCO (AUG),Banco Azteca,0.75760365,False,False,False,False
Banco Azteca,random_aboutads-info_20251129T171703.png,RANDOM,unknown,0.61133367,False,False,False,False
Banco Azteca,random_3lift-com_20251129T164553.png,RANDOM,unknown,0.6038207,False,False,False,False
Banco Azteca,legit_aug_banreservas_v3_20251130T221007.png,BANCO (AUG),BanReservas,0.56306326,False,False,False,False
Banco Azteca,random_tabor-ru_20251129T180838.png,RANDOM,unknown,0.56292677,False,False,False,False
Banco Azteca,legit_banco-nacional-panam_20251102T192611.png,BANCO (REF),Banco Nacional Panamá,0.55451864,False,False,False,False
Banco Azteca,legit_aug_citibank-méxico_v7_20251130T221006.png,BANCO (AUG),Citibank México,0.55067563,False,False,False,False
Banco Azteca,legit_aug_citibank-méxico_v5_20251130T221006.png,BANCO (AUG),Citibank México,0.5470894,False,False,False,False
Banco Azteca,legit_aug_banreservas_v1_20251130T221007.png,BANCO (AUG),BanReservas,0.5456917,False,False,False,False
Banco Azteca,legit_aug_banreservas_v9_20251130T221008.png,BANCO (AUG),BanReservas,0.54501885,False,False,False,False
Banco Azteca,legit_aug_banreservas_v8_20251130T221008.png,BANCO (AUG),BanReservas,0.5441551,False,False,False,False
Banco Azteca,legit_banreservas_20251102T192206.png,BANCO (REF),BanReservas,0.5414794,False,False,False,False
Banco Azteca,legit_aug_citibank-méxico_v4_20251130T221006.png,BANCO (AUG),Citibank México,0.5407654,False,False,False,False
Banco Azteca,legit_aug_banreservas_v0_20251130T221007.png,BANCO (AUG),BanReservas,0.53968537,False,False,False,False
Banco Azteca,random_blogspot-com_20251129T163146.png,RANDOM,unknown,0.538256,False,False,False,False
Banco Azteca,random_meraki-com_20251129T164122.png,RANDOM,unknown,0.5376469,False,False,False,False
Banco Azteca,legit_aug_banreservas_v6_20251130T221008.png,BANCO (AUG),BanReservas,0.5372641,False,False,False,False
Banco Azteca,legit_citibank-m-xico_20251102T195922.png,BANCO (REF),Citibank México,0.53577536,False,False,False,False
Banco Azteca,legit_aug_citibank-méxico_v9_20251130T221006.png,BANCO (AUG),Citibank México,0.53482914,False,False,False,False
Banco Azteca,legit_aug_banco-nacional-panamá_v2_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.53453314,False,False,False,False
Banco Azteca,random_bitrix24-ru_20251129T173023.png,RANDOM,unknown,0.53385407,False,False,False,False
Banco Azteca,legit_aug_citibank-méxico_v1_20251130T221006.png,BANCO (AUG),Citibank México,0.5331855,False,False,False,False
Banco Azteca,legit_aug_citibank-méxico_v8_20251130T221006.png,BANCO (AUG),Citibank México,0.5310921,False,False,False,False
Banco Azteca,legit_aug_citibank-méxico_v6_20251130T221006.png,BANCO (AUG),Citibank México,0.5289371,False,False,False,False
Banco Azteca,random_sharethrough-com_20251129T165851.png,RANDOM,unknown,0.5288424,False,False,False,False
Banco Azteca,legit_aug_citibank-méxico_v3_20251130T221006.png,BANCO (AUG),Citibank México,0.5287754,False,False,False,False
Banco Azteca,legit_aug_banreservas_v4_20251130T221007.png,BANCO (AUG),BanReservas,0.52839035,False,False,False,False
Banco Azteca,legit_aug_banreservas_v2_20251130T221007.png,BANCO (AUG),BanReservas,0.5264785,False,False,False,False
Banco Azteca,legit_aug_citibank-méxico_v0_20251130T221006.png,BANCO (AUG),Citibank México,0.52503186,False,False,False,False
Banco Azteca,legit_aug_banco-nacional-panamá_v3_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.5223473,False,False,False,False
Banco Azteca,legit_aug_banco-nacional-panamá_v1_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.51998603,False,False,False,False
Banco Azteca,random_instructure-com_20251129T175109.png,RANDOM,unknown,0.5172368,False,False,False,False
Banco Azteca,random_jimdo-com_20251129T180550.png,RANDOM,unknown,0.5152461,False,False,False,False
Banco Azteca,legit_aug_banreservas_v7_20251130T221008.png,BANCO (AUG),BanReservas,0.51500756,False,False,False,False
Banco Azteca,legit_aug_banco-itaú-uruguay_v9_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.51404107,False,False,False,False
Banco Azteca,legit_aug_banco-nacional-panamá_v7_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.51286614,False,False,False,False
Banco Azteca,legit_scotiabank-chile_20251102T191440.png,BANCO (REF),Scotiabank Chile,0.51264274,False,False,False,False
Banco Azteca,legit_aug_scotiabank-chile_v2_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.5122659,False,False,False,False
Banco Azteca,legit_aug_banreservas_v5_20251130T221007.png,BANCO (AUG),BanReservas,0.5118825,False,False,False,False
Banco Azteca,legit_aug_banco-nacional-panamá_v0_20251130T221009.png,BANCO (AUG),Banco Nacional Panamá,0.51120347,False,False,False,False
Banco Azteca,legit_aug_banco-nacional-de-bolivia_v2_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.5103885,False,False,False,False
Banco Azteca,legit_aug_banco-nacional-de-bolivia_v9_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.50971884,False,False,False,False
Banco Azteca,random_temu-com_20251129T165219.png,RANDOM,unknown,0.5096815,False,False,False,False
Banco Azteca,legit_aug_banco-nacional-de-bolivia_v4_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.5095915,False,False,False,False
Banco Azteca,legit_aug_banco-itaú-uruguay_v5_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.50934184,False,False,False,False
Banco Azteca,legit_aug_scotiabank-chile_v0_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.5082786,False,False,False,False
Banco Azteca,legit_banco-ita-uruguay_20251102T193855.png,BANCO (REF),Banco Itaú Uruguay,0.50713015,False,False,False,False
Banco Azteca,legit_aug_banco-nacional-panamá_v9_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.5056006,False,False,False,False
Banco Azteca,legit_banco-nacional-de-bolivia_20251102T195022.png,BANCO (REF),Banco Nacional de Bolivia,0.50537044,False,False,False,False
Banco Azteca,random_mega-co-nz_20251129T171404.png,RANDOM,unknown,0.5047239,False,False,False,False
Banco Azteca,legit_aug_scotiabank-chile_v3_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.5041119,False,False,False,False
Banco Azteca,random_smartadserver-com_20251129T164647.png,RANDOM,unknown,0.50399315,False,False,False,False
Banco Azteca,legit_aug_banco-nacional-panamá_v6_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.5024942,False,False,False,False
Banco Azteca,legit_aug_banco-nacional-de-bolivia_v3_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.49800768,False,False,False,False
Banco Azteca,legit_aug_banco-nacional-panamá_v4_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.49764937,False,False,False,False
Banco Azteca,legit_aug_citibank-méxico_v2_20251130T221006.png,BANCO (AUG),Citibank México,0.49651086,False,False,False,False
Banco Azteca,legit_aug_scotiabank-chile_v8_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.49439293,False,False,False,False
Banco Azteca,legit_aug_scotiabank-chile_v6_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.49425897,False,False,False,False
Banco Azteca,legit_aug_scotiabank-chile_v1_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.49407643,False,False,False,False
Banco Azteca,random_inmobi-com_20251129T164057.png,RANDOM,unknown,0.4922462,False,False,False,False
Banco Azteca,random_tinkoff-ru_20251129T180016.png,RANDOM,unknown,0.49123773,False,False,False,False
Banco Azteca,random_t-me_20251129T163150.png,RANDOM,unknown,0.4912333,False,False,False,False
Banco Azteca,legit_aug_scotiabank-chile_v5_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.4895647,False,False,False,False
Banco Azteca,legit_aug_scotiabank-chile_v9_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.4890942,False,False,False,False
Banco Azteca,legit_aug_banco-nacional-de-bolivia_v1_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.48893243,False,False,False,False
Banco Azteca,legit_aug_banco-nacional-de-bolivia_v6_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.48789912,False,False,False,False
Banco Azteca,legit_aug_banco-nacional-de-costa-rica_v0_20251130T221008.png,BANCO (AUG),Banco Nacional de Costa Rica,0.4875129,False,False,False,False
Banco Azteca,legit_aug_scotiabank-chile_v7_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.48736477,False,False,False,False
Banco Azteca,legit_aug_banco-nacional-de-bolivia_v7_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.48694,False,False,False,False
Banco Azteca,legit_aug_banco-nacional-de-bolivia_v0_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.48480773,False,False,False,False
Banco Azteca,legit_aug_banco-nacional-de-bolivia_v5_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.48396653,False,False,False,False
Banco Azteca,legit_aug_scotiabank-chile_v4_20251130T221004.png,BANCO (AUG),Scotiabank Chile,0.4839192,False,False,False,False
Banco Azteca,legit_aug_banco-itaú-uruguay_v1_20251130T221016.png,BANCO (AUG),Banco Itaú Uruguay,0.48086792,False,False,False,False
Banco Azteca,random_android-com_20251129T163812.png,RANDOM,unknown,0.47853673,False,False,False,False
Banco Azteca,legit_banco-macro_20251102T193351.png,BANCO (REF),Banco Macro,0.4776812,False,False,False,False
Banco Azteca,random_kaspersky-com_20251129T163535.png,RANDOM,unknown,0.47681853,False,False,False,False
Banco Azteca,legit_aug_banco-itaú-uruguay_v3_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.4764231,False,False,False,False
Banco Azteca,legit_aug_banco-itaú-uruguay_v8_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.47616428,False,False,False,False
Banco Azteca,legit_produbanco_20251102T194118.png,BANCO (REF),Produbanco,0.4748178,False,False,False,False
Banco Azteca,random_moloco-com_20251129T174309.png,RANDOM,unknown,0.47367197,False,False,False,False
Banco Azteca,legit_aug_banco-itaú-uruguay_v4_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.47363117,False,False,False,False
Banco Azteca,random_snapchat-com_20251129T163212.png,RANDOM,unknown,0.4730444,False,False,False,False
Banco Azteca,legit_aug_banco-macro_v8_20251130T221014.png,BANCO (AUG),Banco Macro,0.47298226,False,False,False,False
Banco Azteca,legit_aug_produbanco_v5_20251130T221018.png,BANCO (AUG),Produbanco,0.47214186,False,False,False,False
Banco Azteca,legit_aug_produbanco_v6_20251130T221018.png,BANCO (AUG),Produbanco,0.47184792,False,False,False,False
Banco Azteca,legit_aug_banco-itaú-uruguay_v0_20251130T221016.png,BANCO (AUG),Banco Itaú Uruguay,0.47147816,False,False,False,False
Banco Azteca,random_itmedia-co-jp_20251129T181116.png,RANDOM,unknown,0.47124043,False,False,False,False
Banco Azteca,legit_aug_produbanco_v4_20251130T221018.png,BANCO (AUG),Produbanco,0.47005272,False,False,False,False
Banco Azteca,legit_aug_banco-nacional-de-bolivia_v8_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.46949834,False,False,False,False
Banco Azteca,random_aniview-com_20251129T173804.png,RANDOM,unknown,0.46862715,False,False,False,False
Banco Azteca,random_daum-net_20251129T174537.png,RANDOM,unknown,0.46797204,False,False,False,False
Banco Azteca,legit_aug_banco-nacional-panamá_v5_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.4669147,False,False,False,False
Banco Azteca,legit_aug_produbanco_v9_20251130T221018.png,BANCO (AUG),Produbanco,0.46658742,False,False,False,False
Banco Azteca,legit_aug_banco-itaú-uruguay_v6_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.46599603,False,False,False,False
Banco Azteca,legit_aug_banco-nacional-de-costa-rica_v2_20251130T221009.png,BANCO (AUG),Banco Nacional de Costa Rica,0.46497443,False,False,False,False
Banco Azteca,legit_aug_gnb-sudameris_v7_20251130T221012.png,BANCO (AUG),GNB Sudameris,0.4646808,False,False,False,False
Banco Azteca,legit_aug_banco-macro_v4_20251130T221013.png,BANCO (AUG),Banco Macro,0.46311536,False,False,False,False
Banco Azteca,legit_aug_banco-itaú-uruguay_v2_20251130T221016.png,BANCO (AUG),Banco Itaú Uruguay,0.46220177,False,False,False,False
Banco Azteca,legit_aug_banco-itaú-uruguay_v7_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.4618043,False,False,False,False
Banco Azteca,random_zendesk-com_20251129T170406.png,RANDOM,unknown,0.46142122,False,False,False,False
Banco Azteca,legit_aug_produbanco_v8_20251130T221018.png,BANCO (AUG),Produbanco,0.4611706,False,False,False,False
Banco Azteca,legit_aug_banco-macro_v1_20251130T221013.png,BANCO (AUG),Banco Macro,0.4609763,False,False,False,False
Banco Azteca,legit_aug_produbanco_v3_20251130T221018.png,BANCO (AUG),Produbanco,0.46088797,False,False,False,False
Banco Azteca,legit_aug_banco-macro_v7_20251130T221013.png,BANCO (AUG),Banco Macro,0.45984322,False,False,False,False
Banco Azteca,legit_aug_produbanco_v2_20251130T221018.png,BANCO (AUG),Produbanco,0.459476,False,False,False,False
Banco Azteca,legit_aug_banco-nacional-de-costa-rica_v4_20251130T221009.png,BANCO (AUG),Banco Nacional de Costa Rica,0.4567687,False,False,False,False
Banco Azteca,legit_aug_banco-macro_v5_20251130T221013.png,BANCO (AUG),Banco Macro,0.4551602,False,False,False,False
Banco Azteca,random_apache-org_20251129T163228.png,RANDOM,unknown,0.45432976,False,False,False,False
Banco Azteca,legit_aug_produbanco_v1_20251130T221018.png,BANCO (AUG),Produbanco,0.4531805,False,False,False,False
Banco Azteca,legit_aug_banco-nacional-de-costa-rica_v7_20251130T221009.png,BANCO (AUG),Banco Nacional de Costa Rica,0.45155227,False,False,False,False
Banco Azteca,random_office-com_20251129T162404.png,RANDOM,unknown,0.4505214,False,False,False,False
Banco Azteca,random_pinimg-com_20251129T172244.png,RANDOM,unknown,0.45025557,False,False,False,False
Banco Azteca,random_ultimate-guitar-com_20251129T180108.png,RANDOM,unknown,0.4498812,False,False,False,False
Banco Azteca,random_cloudinary-com_20251129T174018.png,RANDOM,unknown,0.44909203,False,False,False,False
Banco Azteca,random_statcounter-com_20251129T175708.png,RANDOM,unknown,0.44870886,False,False,False,False
Banco Azteca,legit_aug_banco-macro_v9_20251130T221014.png,BANCO (AUG),Banco Macro,0.44717818,False,False,False,False
Banco Azteca,legit_aug_gnb-sudameris_v4_20251130T221011.png,BANCO (AUG),GNB Sudameris,0.44348204,False,False,False,False
Banco Azteca,legit_aug_produbanco_v7_20251130T221018.png,BANCO (AUG),Produbanco,0.4432281,False,False,False,False
Banco Azteca,random_indiamart-com_20251129T181043.png,RANDOM,unknown,0.44205076,False,False,False,False
Banco Azteca,legit_aug_banco-nacional-panamá_v8_20251130T221010.png,BANCO (AUG),Banco Nacional Panamá,0.4414059,False,False,False,False
Banco Azteca,random_wordpress-com_20251129T163104.png,RANDOM,unknown,0.44097823,False,False,False,False
Banco Azteca,legit_banco-santander-uruguay_20251102T193706.png,BANCO (REF),Banco Santander Uruguay,0.4399667,False,False,False,False
Banco Azteca,random_att-com_20251129T180955.png,RANDOM,unknown,0.4397961,False,False,False,False
Banco Azteca,legit_aug_banco-macro_v2_20251130T221013.png,BANCO (AUG),Banco Macro,0.4393882,False,False,False,False
Banco Azteca,legit_aug_produbanco_v0_20251130T221018.png,BANCO (AUG),Produbanco,0.4389653,False,False,False,False
Banco Azteca,legit_aug_gnb-sudameris_v3_20251130T221011.png,BANCO (AUG),GNB Sudameris,0.4379326,False,False,False,False
Banco Azteca,legit_aug_gnb-sudameris_v5_20251130T221011.png,BANCO (AUG),GNB Sudameris,0.43699896,False,False,False,False
Banco Azteca,legit_aug_gnb-sudameris_v1_20251130T221011.png,BANCO (AUG),GNB Sudameris,0.4367337,False,False,False,False
Banco Azteca,random_ad-nl_20251129T180833.png,RANDOM,unknown,0.43640563,False,False,False,False
Banco Azteca,random_notion-so_20251129T180340.png,RANDOM,unknown,0.43502405,False,False,False,False
Banco Azteca,random_leparisien-fr_20251129T175018.png,RANDOM,unknown,0.4344803,False,False,False,False
Banco Azteca,legit_aug_banco-macro_v6_20251130T221013.png,BANCO (AUG),Banco Macro,0.4344424,False,False,False,False
Banco Azteca,legit_aug_gnb-sudameris_v0_20251130T221011.png,BANCO (AUG),GNB Sudameris,0.43369102,False,False,False,False
Banco Azteca,legit_banco-nacional-de-costa-rica_20251102T192522.png,BANCO (REF),Banco Nacional de Costa Rica,0.43361157,False,False,False,False
Banco Azteca,random_wix-com_20251129T171207.png,RANDOM,unknown,0.43360952,False,False,False,False
Banco Azteca,legit_aug_banco-nacional-de-costa-rica_v8_20251130T221009.png,BANCO (AUG),Banco Nacional de Costa Rica,0.43327898,False,False,False,False
Banco Azteca,random_gofundme-com_20251129T181222.png,RANDOM,unknown,0.43259883,False,False,False,False
