target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco BHD,legit_banco-bhd_20251102T193442.png,BANCO (REF),Banco BHD,1.0000004,True,True,False,True
Banco BHD,legit_aug_banco-bhd_v0_20251130T221014.png,BANCO (AUG),Banco BHD,0.95899034,True,True,False,False
Banco BHD,legit_aug_banco-bhd_v4_20251130T221014.png,BANCO (AUG),Banco BHD,0.9588892,True,True,False,False
Banco BHD,legit_aug_banco-bhd_v2_20251130T221014.png,BANCO (AUG),Banco BHD,0.9500637,True,True,False,False
Banco BHD,legit_aug_banco-bhd_v5_20251130T221014.png,BANCO (AUG),Banco BHD,0.9401846,True,True,False,False
Banco BHD,legit_aug_banco-bhd_v8_20251130T221014.png,BANCO (AUG),Banco BHD,0.91053265,True,True,False,False
Banco BHD,legit_aug_banco-bhd_v6_20251130T221014.png,BANCO (AUG),Banco BHD,0.9047587,True,True,False,False
Banco BHD,legit_aug_banco-bhd_v7_20251130T221014.png,BANCO (AUG),Banco BHD,0.90407956,True,True,False,False
Banco BHD,legit_aug_banco-bhd_v1_20251130T221014.png,BANCO (AUG),Banco BHD,0.8933246,True,True,False,False
Banco BHD,legit_aug_banco-bhd_v9_20251130T221014.png,BANCO (AUG),Banco BHD,0.8901837,True,True,False,False
Banco BHD,legit_aug_banco-bhd_v3_20251130T221014.png,BANCO (AUG),Banco BHD,0.58105236,False,False,False,False
Banco BHD,legit_banco-internacional-chile_20251102T194936.png,BANCO (REF),Banco Internacional Chile,0.2949641,False,False,False,False
Banco BHD,random_mysql-com_20251129T170535.png,RANDOM,unknown,0.2931706,False,False,False,False
Banco BHD,legit_aug_colpatria_v0_20251130T221015.png,BANCO (AUG),Colpatria,0.28862956,False,False,False,False
Banco BHD,legit_aug_colpatria_v4_20251130T221015.png,BANCO (AUG),Colpatria,0.27912176,False,False,False,False
Banco BHD,legit_aug_banco-internacional-chile_v9_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.2742535,False,False,False,False
Banco BHD,legit_aug_banco-internacional-chile_v6_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.2741526,False,False,False,False
Banco BHD,legit_aug_banco-internacional-chile_v4_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.27391985,False,False,False,False
Banco BHD,random_ietf-org_20251129T170606.png,RANDOM,unknown,0.27191615,False,False,False,False
Banco BHD,legit_aug_banco-internacional-chile_v1_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.27040428,False,False,False,False
Banco BHD,legit_aug_banco-internacional-chile_v5_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.2668019,False,False,False,False
Banco BHD,legit_aug_colpatria_v7_20251130T221015.png,BANCO (AUG),Colpatria,0.26167122,False,False,False,False
Banco BHD,legit_aug_banco-internacional-chile_v0_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.25057918,False,False,False,False
Banco BHD,legit_aug_banco-internacional-chile_v2_20251130T221021.png,BANCO (AUG),Banco Internacional Chile,0.24960934,False,False,False,False
Banco BHD,random_hostgator-com_20251129T164438.png,RANDOM,unknown,0.24716319,False,False,False,False
Banco BHD,random_weather-com_20251129T164102.png,RANDOM,unknown,0.24454515,False,False,False,False
