target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Bolivariano,legit_banco-bolivariano_20251102T194855.png,BANCO (REF),Banco Bolivariano,1.0,True,True,False,True
Banco Bolivariano,legit_aug_banco-bolivariano_v1_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.9942267,True,True,False,False
Banco Bolivariano,legit_aug_banco-bolivariano_v6_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.9933733,True,True,False,False
Banco Bolivariano,legit_aug_banco-bolivariano_v9_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.9897098,True,True,False,False
Banco Bolivariano,legit_aug_banco-bolivariano_v4_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.98835117,True,True,False,False
Banco Bolivariano,legit_aug_banco-bolivariano_v5_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.9874747,True,True,False,False
Banco Bolivariano,legit_aug_banco-bolivariano_v2_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.9864439,True,True,False,False
Banco Bolivariano,legit_aug_banco-bolivariano_v7_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.97691274,True,True,False,False
Banco Bolivariano,legit_aug_banco-bolivariano_v3_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.9764445,True,True,False,False
Banco Bolivariano,legit_aug_banco-bolivariano_v8_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.9741072,True,True,False,False
Banco Bolivariano,legit_aug_hsbc-méxico_v4_20251130T221004.png,BANCO (AUG),HSBC México,0.9558841,True,False,True,False
Banco Bolivariano,legit_hsbc-m-xico_20251102T191338.png,BANCO (REF),HSBC México,0.9533168,True,False,True,False
Banco Bolivariano,legit_aug_hsbc-méxico_v5_20251130T221004.png,BANCO (AUG),HSBC México,0.9507325,True,False,True,False
Banco Bolivariano,legit_banco-agromercantil_20251102T194301.png,BANCO (REF),Banco Agromercantil,0.9491748,True,False,True,False
Banco Bolivariano,legit_aug_hsbc-méxico_v8_20251130T221004.png,BANCO (AUG),HSBC México,0.94894737,True,False,True,False
Banco Bolivariano,legit_aug_hsbc-méxico_v3_20251130T221004.png,BANCO (AUG),HSBC México,0.9484266,True,False,True,False
