target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Bradesco,legit_banco-bradesco_20251102T190853.png,BANCO (REF),Banco Bradesco,1.0,True,True,False,True
Banco Bradesco,legit_aug_banco-bradesco_v6_20251130T221002.png,BANCO (AUG),Banco Bradesco,0.9752319,True,True,False,False
Banco Bradesco,legit_aug_banco-bradesco_v2_20251130T221001.png,BANCO (AUG),Banco Bradesco,0.975161,True,True,False,False
Banco Bradesco,legit_aug_banco-bradesco_v0_20251130T221001.png,BANCO (AUG),Banco Bradesco,0.9744802,True,True,False,False
Banco Bradesco,legit_aug_banco-bradesco_v3_20251130T221001.png,BANCO (AUG),Banco Bradesco,0.97413623,True,True,False,False
Banco Bradesco,legit_aug_banco-bradesco_v4_20251130T221002.png,BANCO (AUG),Banco Bradesco,0.9720947,True,True,False,False
Banco Bradesco,legit_aug_banco-bradesco_v9_20251130T221002.png,BANCO (AUG),Banco Bradesco,0.97062474,True,True,False,False
Banco Bradesco,legit_aug_banco-bradesco_v1_20251130T221001.png,BANCO (AUG),Banco Bradesco,0.95910245,True,True,False,False
Banco Bradesco,legit_aug_banco-bradesco_v8_20251130T221002.png,BANCO (AUG),Banco Bradesco,0.9478507,True,True,False,False
Banco Bradesco,legit_aug_banco-bradesco_v7_20251130T221002.png,BANCO (AUG),Banco Bradesco,0.93865085,True,True,False,False
Banco Bradesco,legit_aug_banco-bradesco_v5_20251130T221002.png,BANCO (AUG),Banco Bradesco,0.9375326,True,True,False,False
Banco Bradesco,random_coursera-org_20251129T180138.png,RANDOM,unknown,0.8247855,True,False,True,False
Banco Bradesco,random_moloco-com_20251129T174309.png,RANDOM,unknown,0.79274416,False,False,False,False
Banco Bradesco,random_rapid7-com_20251129T180042.png,RANDOM,unknown,0.77772516,False,False,False,False
Banco Bradesco,random_zoom-us_20251129T162855.png,RANDOM,unknown,0.77617717,False,False,False,False
Banco Bradesco,random_networkadvertising-org_20251129T173422.png,RANDOM,unknown,0.762172,False,False,False,False
Banco Bradesco,random_atlassian-net_20251129T173527.png,RANDOM,unknown,0.761444,False,False,False,False
Banco Bradesco,random_mixpanel-com_20251129T172931.png,RANDOM,unknown,0.7611496,False,False,False,False
Banco Bradesco,random_superhosting-bg_20251129T174624.png,RANDOM,unknown,0.76016366,False,False,False,False
Banco Bradesco,random_plesk-com_20251129T165342.png,RANDOM,unknown,0.75620496,False,False,False,False
Banco Bradesco,random_sentry-io_20251129T163136.png,RANDOM,unknown,0.753693,False,False,False,False
Banco Bradesco,random_sedo-com_20251129T174801.png,RANDOM,unknown,0.7499656,False,False,False,False
Banco Bradesco,random_stripchat-com_20251129T175146.png,RANDOM,unknown,0.7499279,False,False,False,False
Banco Bradesco,random_linklist-bio_20251129T174110.png,RANDOM,unknown,0.74952173,False,False,False,False
Banco Bradesco,random_amazonalexa-com_20251129T165347.png,RANDOM,unknown,0.74744606,False,False,False,False
Banco Bradesco,random_stripe-com_20251129T164420.png,RANDOM,unknown,0.74607646,False,False,False,False
Banco Bradesco,random_ilovepdf-com_20251129T175824.png,RANDOM,unknown,0.7455797,False,False,False,False
Banco Bradesco,random_split-io_20251129T175048.png,RANDOM,unknown,0.7445301,False,False,False,False
Banco Bradesco,random_jquery-com_20251129T170836.png,RANDOM,unknown,0.7396385,False,False,False,False
Banco Bradesco,random_duckduckgo-com_20251129T165354.png,RANDOM,unknown,0.7388711,False,False,False,False
Banco Bradesco,random_utorrent-com_20251129T174853.png,RANDOM,unknown,0.73574185,False,False,False,False
Banco Bradesco,random_cpanel-net_20251129T164025.png,RANDOM,unknown,0.7346281,False,False,False,False
Banco Bradesco,legit_aug_banamex_v3_20251130T221003.png,BANCO (AUG),Banamex,0.7330271,False,False,False,False
Banco Bradesco,random_stackadapt-com_20251129T172128.png,RANDOM,unknown,0.73258674,False,False,False,False
Banco Bradesco,random_wpguardian-com_20251129T180421.png,RANDOM,unknown,0.73191047,False,False,False,False
Banco Bradesco,random_taboola-com_20251129T163754.png,RANDOM,unknown,0.7298831,False,False,False,False
Banco Bradesco,legit_aug_banamex_v0_20251130T221003.png,BANCO (AUG),Banamex,0.72979915,False,False,False,False
Banco Bradesco,random_usatoday-com_20251129T170649.png,RANDOM,unknown,0.7293837,False,False,False,False
Banco Bradesco,legit_aug_banamex_v8_20251130T221003.png,BANCO (AUG),Banamex,0.7285602,False,False,False,False
Banco Bradesco,random_epicgames-com_20251129T163336.png,RANDOM,unknown,0.72832066,False,False,False,False
Banco Bradesco,random_atlassian-com_20251129T170652.png,RANDOM,unknown,0.72785157,False,False,False,False
Banco Bradesco,random_branch-io_20251129T171524.png,RANDOM,unknown,0.72674406,False,False,False,False
Banco Bradesco,random_mega-co-nz_20251129T171404.png,RANDOM,unknown,0.726666,False,False,False,False
Banco Bradesco,random_cloudflare-com_20251129T162319.png,RANDOM,unknown,0.7263875,False,False,False,False
Banco Bradesco,legit_aug_banco-itaú-uruguay_v7_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.7260903,False,False,False,False
Banco Bradesco,random_wps-com_20251129T174320.png,RANDOM,unknown,0.7236365,False,False,False,False
Banco Bradesco,random_digitalocean-com_20251129T172159.png,RANDOM,unknown,0.72319955,False,False,False,False
Banco Bradesco,random_newrelic-com_20251129T172154.png,RANDOM,unknown,0.7224586,False,False,False,False
Banco Bradesco,random_deezer-com_20251129T181047.png,RANDOM,unknown,0.72236156,False,False,False,False
Banco Bradesco,legit_aug_banamex_v6_20251130T221003.png,BANCO (AUG),Banamex,0.72125185,False,False,False,False
Banco Bradesco,legit_aug_banamex_v4_20251130T221003.png,BANCO (AUG),Banamex,0.7210628,False,False,False,False
Banco Bradesco,random_att-com_20251129T180955.png,RANDOM,unknown,0.71980464,False,False,False,False
Banco Bradesco,random_fastly-net_20251129T162620.png,RANDOM,unknown,0.71805024,False,False,False,False
Banco Bradesco,random_duckdns-org_20251129T172230.png,RANDOM,unknown,0.71739244,False,False,False,False
Banco Bradesco,random_adblockplus-org_20251129T174731.png,RANDOM,unknown,0.7165128,False,False,False,False
Banco Bradesco,random_tinyurl-com_20251129T164309.png,RANDOM,unknown,0.7162627,False,False,False,False
Banco Bradesco,random_jotform-com_20251129T172240.png,RANDOM,unknown,0.7157897,False,False,False,False
Banco Bradesco,legit_aug_banco-itaú-uruguay_v2_20251130T221016.png,BANCO (AUG),Banco Itaú Uruguay,0.71574694,False,False,False,False
Banco Bradesco,random_xing-com_20251129T175042.png,RANDOM,unknown,0.7143233,False,False,False,False
Banco Bradesco,random_slack-com_20251129T164623.png,RANDOM,unknown,0.71373165,False,False,False,False
Banco Bradesco,legit_aug_banamex_v7_20251130T221003.png,BANCO (AUG),Banamex,0.7135223,False,False,False,False
Banco Bradesco,random_ryanair-com_20251129T174749.png,RANDOM,unknown,0.7127846,False,False,False,False
Banco Bradesco,legit_aug_banamex_v5_20251130T221003.png,BANCO (AUG),Banamex,0.7118288,False,False,False,False
Banco Bradesco,legit_aug_banco-itaú-uruguay_v4_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.7113415,False,False,False,False
Banco Bradesco,legit_aug_banamex_v1_20251130T221003.png,BANCO (AUG),Banamex,0.7112829,False,False,False,False
Banco Bradesco,legit_aug_banco-itaú-uruguay_v6_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.7098607,False,False,False,False
Banco Bradesco,legit_aug_banamex_v2_20251130T221003.png,BANCO (AUG),Banamex,0.7060752,False,False,False,False
Banco Bradesco,legit_aug_banco-itaú-uruguay_v3_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.70524406,False,False,False,False
Banco Bradesco,random_ixl-com_20251129T181057.png,RANDOM,unknown,0.704094,False,False,False,False
Banco Bradesco,random_pccc-com_20251129T173616.png,RANDOM,unknown,0.70356834,False,False,False,False
Banco Bradesco,random_notion-so_20251129T180340.png,RANDOM,unknown,0.7034968,False,False,False,False
Banco Bradesco,random_xerox-com_20251129T172412.png,RANDOM,unknown,0.7018891,False,False,False,False
Banco Bradesco,random_notamedia-ru_20251129T165510.png,RANDOM,unknown,0.7018008,False,False,False,False
Banco Bradesco,legit_aug_banco-itaú-uruguay_v1_20251130T221016.png,BANCO (AUG),Banco Itaú Uruguay,0.70162773,False,False,False,False
Banco Bradesco,legit_aug_banco-itaú-uruguay_v0_20251130T221016.png,BANCO (AUG),Banco Itaú Uruguay,0.70127565,False,False,False,False
Banco Bradesco,random_marca-com_20251129T175532.png,RANDOM,unknown,0.7012536,False,False,False,False
Banco Bradesco,random_segment-io_20251129T174400.png,RANDOM,unknown,0.7003379,False,False,False,False
Banco Bradesco,random_figma-com_20251129T173914.png,RANDOM,unknown,0.70033395,False,False,False,False
Banco Bradesco,random_wired-com_20251129T170401.png,RANDOM,unknown,0.6995406,False,False,False,False
Banco Bradesco,legit_aug_banco-itaú-uruguay_v8_20251130T221017.png,BANCO (AUG),Banco Itaú Uruguay,0.69946146,False,False,False,False
Banco Bradesco,random_zhihu-com_20251129T180630.png,RANDOM,unknown,0.69941115,False,False,False,False
Banco Bradesco,random_mediafire-com_20251129T172826.png,RANDOM,unknown,0.6973052,False,False,False,False
Banco Bradesco,legit_aug_banco-santander-argentina_v1_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.69712627,False,False,False,False
Banco Bradesco,legit_aug_banamex_v9_20251130T221003.png,BANCO (AUG),Banamex,0.697073,False,False,False,False
Banco Bradesco,random_myfritz-net_20251129T164009.png,RANDOM,unknown,0.6969763,False,False,False,False
Banco Bradesco,random_myshopify-com_20251129T164750.png,RANDOM,unknown,0.69176376,False,False,False,False
Banco Bradesco,legit_aug_produbanco_v4_20251130T221018.png,BANCO (AUG),Produbanco,0.6916374,False,False,False,False
Banco Bradesco,random_w3schools-com_20251129T172329.png,RANDOM,unknown,0.69140804,False,False,False,False
Banco Bradesco,random_bankofamerica-com_20251129T174014.png,RANDOM,unknown,0.6911582,False,False,False,False
Banco Bradesco,random_mailchimp-com_20251129T172441.png,RANDOM,unknown,0.6897966,False,False,False,False
Banco Bradesco,random_opera-com_20251129T163028.png,RANDOM,unknown,0.6889523,False,False,False,False
Banco Bradesco,random_kaspi-kz_20251129T175432.png,RANDOM,unknown,0.6888373,False,False,False,False
Banco Bradesco,legit_aug_banco-santander-argentina_v9_20251130T221011.png,BANCO (AUG),Banco Santander Argentina,0.68874097,False,False,False,False
Banco Bradesco,random_ipinfo-io_20251129T175713.png,RANDOM,unknown,0.6883415,False,False,False,False
