target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Caja Social,legit_banco-caja-social_20251102T194626.png,BANCO (REF),Banco Caja Social,1.0000001,True,True,False,True
Banco Caja Social,legit_aug_banco-caja-social_v9_20251130T221020.png,BANCO (AUG),Banco Caja Social,0.98643494,True,True,False,False
Banco Caja Social,legit_aug_banco-caja-social_v4_20251130T221020.png,BANCO (AUG),Banco Caja Social,0.98583883,True,True,False,False
Banco Caja Social,legit_aug_banco-caja-social_v6_20251130T221020.png,BANCO (AUG),Banco Caja Social,0.9812802,True,True,False,False
Banco Caja Social,legit_aug_banco-caja-social_v2_20251130T221020.png,BANCO (AUG),Banco Caja Social,0.9776732,True,True,False,False
Banco Caja Social,legit_aug_banco-caja-social_v0_20251130T221020.png,BANCO (AUG),Banco Caja Social,0.9773785,True,True,False,False
Banco Caja Social,legit_aug_banco-caja-social_v5_20251130T221020.png,BANCO (AUG),Banco Caja Social,0.9751699,True,True,False,False
Banco Caja Social,legit_aug_banco-caja-social_v7_20251130T221020.png,BANCO (AUG),Banco Caja Social,0.96996295,True,True,False,False
Banco Caja Social,legit_aug_banco-caja-social_v1_20251130T221020.png,BANCO (AUG),Banco Caja Social,0.8756097,True,True,False,False
Banco Caja Social,legit_aug_banco-caja-social_v8_20251130T221020.png,BANCO (AUG),Banco Caja Social,0.8711852,True,True,False,False
Banco Caja Social,legit_aug_banco-caja-social_v3_20251130T221020.png,BANCO (AUG),Banco Caja Social,0.8659638,True,True,False,False
Banco Caja Social,legit_aug_banco-nacional-de-bolivia_v3_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.7300446,False,False,False,False
Banco Caja Social,legit_aug_banco-nacional-de-bolivia_v9_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.72583747,False,False,False,False
Banco Caja Social,legit_aug_banco-nacional-de-bolivia_v4_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.72560036,False,False,False,False
Banco Caja Social,legit_banco-nacional-de-bolivia_20251102T195022.png,BANCO (REF),Banco Nacional de Bolivia,0.7235315,False,False,False,False
Banco Caja Social,legit_aug_banco-nacional-de-bolivia_v2_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.7162832,False,False,False,False
Banco Caja Social,legit_aug_banco-nacional-de-bolivia_v5_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.6933553,False,False,False,False
Banco Caja Social,legit_aug_banco-nacional-de-bolivia_v0_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.68388784,False,False,False,False
Banco Caja Social,legit_aug_banco-nacional-de-bolivia_v7_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.67453223,False,False,False,False
Banco Caja Social,legit_aug_banco-nacional-de-bolivia_v6_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.673305,False,False,False,False
Banco Caja Social,legit_aug_banco-nacional-de-bolivia_v1_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.6632044,False,False,False,False
Banco Caja Social,random_paypal-com_20251129T163520.png,RANDOM,unknown,0.6551875,False,False,False,False
Banco Caja Social,legit_aug_banco-nacional-de-bolivia_v8_20251130T221022.png,BANCO (AUG),Banco Nacional de Bolivia,0.63210875,False,False,False,False
Banco Caja Social,random_opendns-com_20251129T164655.png,RANDOM,unknown,0.6274476,False,False,False,False
Banco Caja Social,random_ebay-com_20251129T164046.png,RANDOM,unknown,0.57254845,False,False,False,False
Banco Caja Social,random_aboutads-info_20251129T171703.png,RANDOM,unknown,0.5658877,False,False,False,False
Banco Caja Social,random_bidmachine-io_20251129T172409.png,RANDOM,unknown,0.5311681,False,False,False,False
