target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Ciudad de Buenos Aires,legit_banco-ciudad-de-buenos-aires_20251102T194956.png,BANCO (REF),Banco Ciudad de Buenos Aires,0.99999976,True,True,False,True
Banco Ciudad de Buenos Aires,legit_aug_banco-ciudad-de-buenos-aires_v3_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.99296904,True,True,False,False
Banco Ciudad de Buenos Aires,legit_aug_banco-ciudad-de-buenos-aires_v6_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.99031174,True,True,False,False
Banco Ciudad de Buenos Aires,legit_aug_banco-ciudad-de-buenos-aires_v5_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.9893453,True,True,False,False
Banco Ciudad de Buenos Aires,legit_aug_banco-ciudad-de-buenos-aires_v2_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.9890253,True,True,False,False
Banco Ciudad de Buenos Aires,legit_aug_banco-ciudad-de-buenos-aires_v8_20251130T221022.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.98891044,True,True,False,False
Banco Ciudad de Buenos Aires,legit_aug_banco-ciudad-de-buenos-aires_v7_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.9885088,True,True,False,False
Banco Ciudad de Buenos Aires,legit_aug_banco-ciudad-de-buenos-aires_v4_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.9878094,True,True,False,False
Banco Ciudad de Buenos Aires,legit_aug_banco-ciudad-de-buenos-aires_v0_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.98667306,True,True,False,False
Banco Ciudad de Buenos Aires,random_google-com_20251129T162253.png,RANDOM,unknown,0.94982064,True,False,True,False
Banco Ciudad de Buenos Aires,legit_sudameris-paraguay_20251102T194916.png,BANCO (REF),Sudameris Paraguay,0.9313642,True,False,True,False
Banco Ciudad de Buenos Aires,legit_banco-agromercantil_20251102T194301.png,BANCO (REF),Banco Agromercantil,0.9300934,True,False,True,False
Banco Ciudad de Buenos Aires,legit_aug_banco-agromercantil_v6_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.9292863,True,False,True,False
Banco Ciudad de Buenos Aires,legit_scotiabank-per_20251102T192231.png,BANCO (REF),Scotiabank Perú,0.927311,True,False,True,False
Banco Ciudad de Buenos Aires,legit_aug_sudameris-paraguay_v3_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.9271143,True,False,True,False
Banco Ciudad de Buenos Aires,legit_aug_banistmo_v7_20251130T221014.png,BANCO (AUG),Banistmo,0.9270482,True,False,True,False
Banco Ciudad de Buenos Aires,legit_aug_banco-itaú-chile_v7_20251130T221004.png,BANCO (AUG),Banco Itaú Chile,0.9243017,True,False,True,False
Banco Ciudad de Buenos Aires,legit_aug_banco-agromercantil_v2_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.92414516,True,False,True,False
Banco Ciudad de Buenos Aires,legit_aug_banco-agromercantil_v0_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.9238344,True,False,True,False
Banco Ciudad de Buenos Aires,legit_banistmo_20251102T193415.png,BANCO (REF),Banistmo,0.9232937,True,False,True,False
Banco Ciudad de Buenos Aires,legit_aug_sudameris-paraguay_v2_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.9217161,True,False,True,False
Banco Ciudad de Buenos Aires,legit_aug_sudameris-paraguay_v1_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.9211408,True,False,True,False
Banco Ciudad de Buenos Aires,legit_aug_banco-agromercantil_v5_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.9208185,True,False,True,False
Banco Ciudad de Buenos Aires,legit_aug_banco-agromercantil_v7_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.92062503,True,False,True,False
Banco Ciudad de Buenos Aires,legit_aug_sudameris-paraguay_v6_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.920614,True,False,True,False
Banco Ciudad de Buenos Aires,legit_aug_sudameris-paraguay_v8_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.9200193,True,False,True,False
Banco Ciudad de Buenos Aires,legit_aug_banco-agromercantil_v1_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.9180972,True,False,True,False
Banco Ciudad de Buenos Aires,legit_aug_banco-itaú-chile_v5_20251130T221004.png,BANCO (AUG),Banco Itaú Chile,0.91803735,True,False,True,False
