target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Consorcio,legit_banco-consorcio_20251102T193919.png,BANCO (REF),Banco Consorcio,1.0,True,True,False,True
Banco Consorcio,legit_aug_banco-consorcio_v7_20251130T221017.png,BANCO (AUG),Banco Consorcio,0.98944855,True,True,False,False
Banco Consorcio,legit_aug_banco-consorcio_v4_20251130T221017.png,BANCO (AUG),Banco Consorcio,0.9859104,True,True,False,False
Banco Consorcio,legit_aug_banco-consorcio_v8_20251130T221017.png,BANCO (AUG),Banco Consorcio,0.983415,True,True,False,False
Banco Consorcio,legit_aug_banco-consorcio_v2_20251130T221017.png,BANCO (AUG),Banco Consorcio,0.98129445,True,True,False,False
Banco Consorcio,legit_aug_banco-consorcio_v0_20251130T221017.png,BANCO (AUG),Banco Consorcio,0.9806961,True,True,False,False
Banco Consorcio,legit_aug_banco-consorcio_v1_20251130T221017.png,BANCO (AUG),Banco Consorcio,0.97983325,True,True,False,False
Banco Consorcio,legit_aug_banco-consorcio_v5_20251130T221017.png,BANCO (AUG),Banco Consorcio,0.9783635,True,True,False,False
Banco Consorcio,legit_aug_banco-consorcio_v3_20251130T221017.png,BANCO (AUG),Banco Consorcio,0.9764626,True,True,False,False
Banco Consorcio,legit_aug_banco-consorcio_v6_20251130T221017.png,BANCO (AUG),Banco Consorcio,0.97527206,True,True,False,False
Banco Consorcio,legit_aug_banco-consorcio_v9_20251130T221017.png,BANCO (AUG),Banco Consorcio,0.97321975,True,True,False,False
Banco Consorcio,legit_aug_banco-de-chile_v7_20251130T221003.png,BANCO (AUG),Banco de Chile,0.95407546,True,False,True,False
Banco Consorcio,legit_aug_banco-de-chile_v3_20251130T221003.png,BANCO (AUG),Banco de Chile,0.95363826,True,False,True,False
Banco Consorcio,legit_aug_banco-de-chile_v8_20251130T221003.png,BANCO (AUG),Banco de Chile,0.9524058,True,False,True,False
Banco Consorcio,legit_aug_banco-agromercantil_v9_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.95077115,True,False,True,False
Banco Consorcio,legit_aug_banco-de-chile_v9_20251130T221003.png,BANCO (AUG),Banco de Chile,0.94872826,True,False,True,False
Banco Consorcio,legit_aug_banco-de-chile_v4_20251130T221003.png,BANCO (AUG),Banco de Chile,0.9480993,True,False,True,False
Banco Consorcio,legit_aug_banco-agromercantil_v4_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.9464258,True,False,True,False
Banco Consorcio,legit_aug_banco-de-chile_v1_20251130T221003.png,BANCO (AUG),Banco de Chile,0.9458388,True,False,True,False
Banco Consorcio,legit_aug_banco-guayaquil_v8_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.9451419,True,False,True,False
Banco Consorcio,legit_aug_banco-de-chile_v2_20251130T221003.png,BANCO (AUG),Banco de Chile,0.944176,True,False,True,False
Banco Consorcio,legit_aug_banco-de-chile_v5_20251130T221003.png,BANCO (AUG),Banco de Chile,0.94237226,True,False,True,False
Banco Consorcio,legit_aug_banco-de-chile_v6_20251130T221003.png,BANCO (AUG),Banco de Chile,0.9380612,True,False,True,False
Banco Consorcio,legit_aug_banco-agromercantil_v3_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.93764013,True,False,True,False
Banco Consorcio,legit_aug_banco-de-chile_v0_20251130T221003.png,BANCO (AUG),Banco de Chile,0.93745244,True,False,True,False
