target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Continental Paraguay,legit_banco-continental-paraguay_20251102T200527.png,BANCO (REF),Banco Continental Paraguay,1.0,True,True,False,True
Banco Continental Paraguay,legit_aug_banco-continental-paraguay_v2_20251130T221020.png,BANCO (AUG),Banco Continental Paraguay,0.98602164,True,True,False,False
Banco Continental Paraguay,legit_aug_banco-continental-paraguay_v3_20251130T221020.png,BANCO (AUG),Banco Continental Paraguay,0.98351693,True,True,False,False
Banco Continental Paraguay,legit_aug_banco-continental-paraguay_v4_20251130T221020.png,BANCO (AUG),Banco Continental Paraguay,0.98169404,True,True,False,False
Banco Continental Paraguay,legit_aug_banco-continental-paraguay_v0_20251130T221019.png,BANCO (AUG),Banco Continental Paraguay,0.9776362,True,True,False,False
Banco Continental Paraguay,legit_aug_banco-continental-paraguay_v9_20251130T221020.png,BANCO (AUG),Banco Continental Paraguay,0.97539604,True,True,False,False
Banco Continental Paraguay,legit_aug_banco-continental-paraguay_v7_20251130T221020.png,BANCO (AUG),Banco Continental Paraguay,0.9727454,True,True,False,False
Banco Continental Paraguay,legit_aug_banco-continental-paraguay_v1_20251130T221020.png,BANCO (AUG),Banco Continental Paraguay,0.96920896,True,True,False,False
Banco Continental Paraguay,legit_aug_banco-continental-paraguay_v5_20251130T221020.png,BANCO (AUG),Banco Continental Paraguay,0.9684119,True,True,False,False
Banco Continental Paraguay,legit_aug_banco-continental-paraguay_v8_20251130T221020.png,BANCO (AUG),Banco Continental Paraguay,0.96723956,True,True,False,False
Banco Continental Paraguay,legit_aug_banco-continental-paraguay_v6_20251130T221020.png,BANCO (AUG),Banco Continental Paraguay,0.96514606,True,True,False,False
Banco Continental Paraguay,random_github-io_20251129T163235.png,RANDOM,unknown,0.95829177,True,False,True,False
Banco Continental Paraguay,random_grammarly-com_20251129T164400.png,RANDOM,unknown,0.9533077,True,False,True,False
Banco Continental Paraguay,random_instagram-com_20251129T162358.png,RANDOM,unknown,0.9530587,True,False,True,False
Banco Continental Paraguay,random_yandex-net_20251129T163019.png,RANDOM,unknown,0.9523641,True,False,True,False
Banco Continental Paraguay,legit_aug_banbif_v2_20251130T221019.png,BANCO (AUG),BanBif,0.9508942,True,False,True,False
Banco Continental Paraguay,legit_aug_banbif_v4_20251130T221019.png,BANCO (AUG),BanBif,0.95088,True,False,True,False
Banco Continental Paraguay,legit_aug_scotiabank-perú_v1_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.9490802,True,False,True,False
Banco Continental Paraguay,legit_aug_banbif_v9_20251130T221019.png,BANCO (AUG),BanBif,0.94886863,True,False,True,False
Banco Continental Paraguay,legit_aug_banco-popular-costa-rica_v6_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.9485581,True,False,True,False
Banco Continental Paraguay,legit_aug_banbif_v3_20251130T221019.png,BANCO (AUG),BanBif,0.9480747,True,False,True,False
Banco Continental Paraguay,legit_aug_scotiabank-perú_v8_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.9480488,True,False,True,False
Banco Continental Paraguay,legit_aug_banbif_v8_20251130T221019.png,BANCO (AUG),BanBif,0.94803375,True,False,True,False
Banco Continental Paraguay,legit_aug_banco-provincia_v3_20251130T221013.png,BANCO (AUG),Banco Provincia,0.94731265,True,False,True,False
Banco Continental Paraguay,random_cox-net_20251129T170452.png,RANDOM,unknown,0.9470007,True,False,True,False
Banco Continental Paraguay,legit_aug_banco-popular-costa-rica_v2_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.94677603,True,False,True,False
Banco Continental Paraguay,legit_aug_banbif_v5_20251130T221019.png,BANCO (AUG),BanBif,0.946697,True,False,True,False
Banco Continental Paraguay,legit_banbif_20251102T194347.png,BANCO (REF),BanBif,0.94627976,True,False,True,False
Banco Continental Paraguay,legit_aug_banbif_v6_20251130T221019.png,BANCO (AUG),BanBif,0.94615924,True,False,True,False
Banco Continental Paraguay,legit_aug_scotiabank-perú_v7_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.94612706,True,False,True,False
Banco Continental Paraguay,legit_aug_banbif_v1_20251130T221019.png,BANCO (AUG),BanBif,0.94576067,True,False,True,False
Banco Continental Paraguay,legit_aug_scotiabank-perú_v0_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.94572127,True,False,True,False
Banco Continental Paraguay,legit_aug_scotiabank-perú_v9_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.94553304,True,False,True,False
Banco Continental Paraguay,legit_aug_hsbc-méxico_v2_20251130T221004.png,BANCO (AUG),HSBC México,0.945309,True,False,True,False
Banco Continental Paraguay,legit_aug_banco-agromercantil_v6_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.94472516,True,False,True,False
Banco Continental Paraguay,legit_aug_banco-popular-costa-rica_v4_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.94448656,True,False,True,False
Banco Continental Paraguay,random_google-com_20251129T162253.png,RANDOM,unknown,0.944083,True,False,True,False
Banco Continental Paraguay,legit_aug_scotiabank-perú_v4_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.94368017,True,False,True,False
Banco Continental Paraguay,legit_aug_hsbc-méxico_v9_20251130T221004.png,BANCO (AUG),HSBC México,0.9435371,True,False,True,False
Banco Continental Paraguay,legit_aug_banco-popular-costa-rica_v7_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.9433649,True,False,True,False
Banco Continental Paraguay,legit_aug_banbif_v0_20251130T221019.png,BANCO (AUG),BanBif,0.94323856,True,False,True,False
Banco Continental Paraguay,legit_aug_banco-popular-costa-rica_v1_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.94290274,True,False,True,False
Banco Continental Paraguay,legit_aug_banbif_v7_20251130T221019.png,BANCO (AUG),BanBif,0.9413038,True,False,True,False
Banco Continental Paraguay,legit_aug_banco-popular-costa-rica_v9_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.9408039,True,False,True,False
Banco Continental Paraguay,legit_aug_hsbc-méxico_v8_20251130T221004.png,BANCO (AUG),HSBC México,0.94060487,True,False,True,False
Banco Continental Paraguay,random_apa-org_20251129T180433.png,RANDOM,unknown,0.94021237,True,False,True,False
