target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Falabella,legit_banco-falabella_20251102T193607.png,BANCO (REF),Banco Falabella,1.0000001,True,True,False,True
Banco Falabella,random_zendesk-com_20251129T170406.png,RANDOM,unknown,0.7110994,False,False,False,False
Banco Falabella,random_dailymail-co-uk_20251129T164838.png,RANDOM,unknown,0.6686516,False,False,False,False
Banco Falabella,random_ad-nl_20251129T180833.png,RANDOM,unknown,0.6663189,False,False,False,False
Banco Falabella,random_daum-net_20251129T174537.png,RANDOM,unknown,0.6416651,False,False,False,False
Banco Falabella,random_sapo-pt_20251129T175945.png,RANDOM,unknown,0.63789773,False,False,False,False
Banco Falabella,random_ibm-com_20251129T164343.png,RANDOM,unknown,0.634315,False,False,False,False
Banco Falabella,legit_gnb-sudameris_20251102T193010.png,BANCO (REF),GNB Sudameris,0.63043404,False,False,False,False
Banco Falabella,random_unsplash-com_20251129T165115.png,RANDOM,unknown,0.6298995,False,False,False,False
Banco Falabella,legit_aug_citibank-méxico_v8_20251130T221006.png,BANCO (AUG),Citibank México,0.6267551,False,False,False,False
Banco Falabella,random_pinimg-com_20251129T172244.png,RANDOM,unknown,0.6238016,False,False,False,False
Banco Falabella,legit_aug_citibank-méxico_v5_20251130T221006.png,BANCO (AUG),Citibank México,0.62374115,False,False,False,False
Banco Falabella,legit_aug_citibank-méxico_v3_20251130T221006.png,BANCO (AUG),Citibank México,0.6221851,False,False,False,False
Banco Falabella,legit_aug_gnb-sudameris_v1_20251130T221011.png,BANCO (AUG),GNB Sudameris,0.62202036,False,False,False,False
Banco Falabella,legit_aug_gnb-sudameris_v7_20251130T221012.png,BANCO (AUG),GNB Sudameris,0.61170304,False,False,False,False
Banco Falabella,legit_aug_gnb-sudameris_v5_20251130T221011.png,BANCO (AUG),GNB Sudameris,0.61053395,False,False,False,False
Banco Falabella,random_wix-com_20251129T171207.png,RANDOM,unknown,0.6085477,False,False,False,False
Banco Falabella,legit_aug_gnb-sudameris_v4_20251130T221011.png,BANCO (AUG),GNB Sudameris,0.6076219,False,False,False,False
Banco Falabella,legit_citibank-m-xico_20251102T195922.png,BANCO (REF),Citibank México,0.6074678,False,False,False,False
Banco Falabella,random_intel-com_20251129T171229.png,RANDOM,unknown,0.60398185,False,False,False,False
Banco Falabella,legit_aug_citibank-méxico_v1_20251130T221006.png,BANCO (AUG),Citibank México,0.6029347,False,False,False,False
Banco Falabella,legit_aug_citibank-méxico_v4_20251130T221006.png,BANCO (AUG),Citibank México,0.60219145,False,False,False,False
Banco Falabella,legit_aug_gnb-sudameris_v0_20251130T221011.png,BANCO (AUG),GNB Sudameris,0.60079736,False,False,False,False
Banco Falabella,random_msn-com_20251129T162722.png,RANDOM,unknown,0.5997863,False,False,False,False
Banco Falabella,random_wordpress-com_20251129T163104.png,RANDOM,unknown,0.59975916,False,False,False,False
Banco Falabella,random_npr-org_20251129T170056.png,RANDOM,unknown,0.5994333,False,False,False,False
Banco Falabella,legit_aug_gnb-sudameris_v2_20251130T221011.png,BANCO (AUG),GNB Sudameris,0.5972159,False,False,False,False
Banco Falabella,legit_aug_citibank-méxico_v0_20251130T221006.png,BANCO (AUG),Citibank México,0.59663534,False,False,False,False
Banco Falabella,random_jimdo-com_20251129T180550.png,RANDOM,unknown,0.5961967,False,False,False,False
Banco Falabella,random_dnevnik-ru_20251129T181133.png,RANDOM,unknown,0.5932617,False,False,False,False
