target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Ficohsa,legit_banco-ficohsa_20251102T194238.png,BANCO (REF),Banco Ficohsa,0.9999999,True,True,False,True
Banco Ficohsa,legit_aug_banco-ficohsa_v6_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.9945026,True,True,False,False
Banco Ficohsa,legit_aug_banco-ficohsa_v3_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.9938065,True,True,False,False
Banco Ficohsa,legit_aug_banco-ficohsa_v0_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.9915856,True,True,False,False
Banco Ficohsa,legit_aug_banco-ficohsa_v7_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.99044716,True,True,False,False
Banco Ficohsa,legit_aug_banco-ficohsa_v4_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.9900317,True,True,False,False
Banco Ficohsa,legit_aug_banco-ficohsa_v1_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.9895159,True,True,False,False
Banco Ficohsa,legit_aug_banco-ficohsa_v5_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.9886281,True,True,False,False
Banco Ficohsa,legit_aug_banco-ficohsa_v2_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.98795307,True,True,False,False
Banco Ficohsa,legit_aug_banco-ficohsa_v8_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.9875,True,True,False,False
Banco Ficohsa,legit_aug_banco-ficohsa_v9_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.9832232,True,True,False,False
Banco Ficohsa,legit_aug_scotiabank-perú_v1_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.95352685,True,False,True,False
Banco Ficohsa,legit_banbif_20251102T194347.png,BANCO (REF),BanBif,0.95097697,True,False,True,False
Banco Ficohsa,legit_scotiabank-per_20251102T192231.png,BANCO (REF),Scotiabank Perú,0.9509538,True,False,True,False
Banco Ficohsa,legit_aug_banbif_v3_20251130T221019.png,BANCO (AUG),BanBif,0.9490741,True,False,True,False
Banco Ficohsa,legit_aug_scotiabank-perú_v0_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.948987,True,False,True,False
Banco Ficohsa,legit_aug_banbif_v0_20251130T221019.png,BANCO (AUG),BanBif,0.9475137,True,False,True,False
Banco Ficohsa,legit_aug_banbif_v6_20251130T221019.png,BANCO (AUG),BanBif,0.94670093,True,False,True,False
Banco Ficohsa,random_deepl-com_20251129T172145.png,RANDOM,unknown,0.9465866,True,False,True,False
Banco Ficohsa,legit_aug_banbif_v9_20251130T221019.png,BANCO (AUG),BanBif,0.94608295,True,False,True,False
Banco Ficohsa,legit_aug_scotiabank-perú_v4_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.94318235,True,False,True,False
Banco Ficohsa,legit_aug_banbif_v4_20251130T221019.png,BANCO (AUG),BanBif,0.94298375,True,False,True,False
Banco Ficohsa,legit_aug_hsbc-méxico_v8_20251130T221004.png,BANCO (AUG),HSBC México,0.94149154,True,False,True,False
Banco Ficohsa,legit_aug_hsbc-méxico_v3_20251130T221004.png,BANCO (AUG),HSBC México,0.9414474,True,False,True,False
Banco Ficohsa,legit_aug_banbif_v7_20251130T221019.png,BANCO (AUG),BanBif,0.9413793,True,False,True,False
Banco Ficohsa,legit_aug_banbif_v1_20251130T221019.png,BANCO (AUG),BanBif,0.9406323,True,False,True,False
Banco Ficohsa,legit_aug_scotiabank-perú_v9_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.94044006,True,False,True,False
Banco Ficohsa,legit_aug_banbif_v8_20251130T221019.png,BANCO (AUG),BanBif,0.9395167,True,False,True,False
Banco Ficohsa,legit_hsbc-m-xico_20251102T191338.png,BANCO (REF),HSBC México,0.93947923,True,False,True,False
Banco Ficohsa,legit_aug_banbif_v2_20251130T221019.png,BANCO (AUG),BanBif,0.93851453,True,False,True,False
Banco Ficohsa,random_quickconnect-to_20251129T172216.png,RANDOM,unknown,0.938354,True,False,True,False
Banco Ficohsa,legit_aug_banco-de-crédito-e-inversiones_v9_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.93767166,True,False,True,False
Banco Ficohsa,random_mail-ru_20251129T162306.png,RANDOM,unknown,0.93714,True,False,True,False
Banco Ficohsa,legit_aug_scotiabank-perú_v8_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.93705916,True,False,True,False
Banco Ficohsa,legit_aug_banco-de-crédito-e-inversiones_v1_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.93680274,True,False,True,False
Banco Ficohsa,legit_aug_banbif_v5_20251130T221019.png,BANCO (AUG),BanBif,0.9363353,True,False,True,False
Banco Ficohsa,legit_aug_hsbc-méxico_v5_20251130T221004.png,BANCO (AUG),HSBC México,0.9357334,True,False,True,False
Banco Ficohsa,legit_aug_hsbc-méxico_v9_20251130T221004.png,BANCO (AUG),HSBC México,0.9356057,True,False,True,False
Banco Ficohsa,legit_aug_banco-de-crédito-e-inversiones_v5_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.93482876,True,False,True,False
Banco Ficohsa,legit_aug_scotiabank-perú_v5_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.93451995,True,False,True,False
Banco Ficohsa,legit_aug_hsbc-méxico_v2_20251130T221004.png,BANCO (AUG),HSBC México,0.9337573,True,False,True,False
Banco Ficohsa,legit_aug_banco-provincia_v3_20251130T221013.png,BANCO (AUG),Banco Provincia,0.93327665,True,False,True,False
Banco Ficohsa,legit_aug_banco-falabella_v5_20251130T221015.png,BANCO (AUG),Banco Falabella,0.93266535,True,False,True,False
Banco Ficohsa,legit_aug_banco-provincia_v5_20251130T221013.png,BANCO (AUG),Banco Provincia,0.9323809,True,False,True,False
Banco Ficohsa,random_grammarly-com_20251129T164400.png,RANDOM,unknown,0.932218,True,False,True,False
Banco Ficohsa,legit_aug_hsbc-méxico_v7_20251130T221004.png,BANCO (AUG),HSBC México,0.9317874,True,False,True,False
Banco Ficohsa,legit_aug_banco-falabella_v1_20251130T221015.png,BANCO (AUG),Banco Falabella,0.93165565,True,False,True,False
Banco Ficohsa,legit_aug_scotiabank-perú_v7_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.93145746,True,False,True,False
Banco Ficohsa,legit_aug_banco-de-crédito-e-inversiones_v6_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.9313151,True,False,True,False
Banco Ficohsa,legit_aug_hsbc-méxico_v4_20251130T221004.png,BANCO (AUG),HSBC México,0.9307986,True,False,True,False
Banco Ficohsa,legit_aug_hsbc-méxico_v6_20251130T221004.png,BANCO (AUG),HSBC México,0.9306766,True,False,True,False
Banco Ficohsa,random_github-io_20251129T163235.png,RANDOM,unknown,0.93061155,True,False,True,False
Banco Ficohsa,legit_aug_banco-de-crédito-e-inversiones_v3_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.92953444,True,False,True,False
Banco Ficohsa,legit_aug_banco-do-nordeste_v2_20251130T221012.png,BANCO (AUG),Banco do Nordeste,0.9291963,True,False,True,False
Banco Ficohsa,legit_aug_banco-falabella_v8_20251130T221015.png,BANCO (AUG),Banco Falabella,0.92918617,True,False,True,False
Banco Ficohsa,legit_banco-de-cr-dito-e-inversiones_20251102T191004.png,BANCO (REF),Banco de Crédito e Inversiones,0.9289017,True,False,True,False
Banco Ficohsa,legit_aug_banco-de-crédito-e-inversiones_v2_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.9285965,True,False,True,False
Banco Ficohsa,legit_banco-continental-paraguay_20251102T200527.png,BANCO (REF),Banco Continental Paraguay,0.9279606,True,False,True,False
