target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
Banco Galicia,legit_banco-galicia_20251102T192544.png,BANCO (REF),Banco Galicia,1.0,True,True,False,True
Banco Galicia,legit_aug_banco-galicia_v4_20251130T221009.png,BANCO (AUG),Banco Galicia,0.9966601,True,True,False,False
Banco Galicia,legit_aug_banco-galicia_v6_20251130T221009.png,BANCO (AUG),Banco Galicia,0.994657,True,True,False,False
Banco Galicia,legit_aug_banco-galicia_v7_20251130T221009.png,BANCO (AUG),Banco Galicia,0.9940423,True,True,False,False
Banco Galicia,legit_aug_banco-galicia_v3_20251130T221009.png,BANCO (AUG),Banco Galicia,0.9854267,True,True,False,False
Banco Galicia,legit_aug_banco-galicia_v2_20251130T221009.png,BANCO (AUG),Banco Galicia,0.98198307,True,True,False,False
Banco Galicia,legit_aug_banco-galicia_v5_20251130T221009.png,BANCO (AUG),Banco Galicia,0.98114115,True,True,False,False
Banco Galicia,legit_aug_banco-galicia_v0_20251130T221009.png,BANCO (AUG),Banco Galicia,0.9798287,True,True,False,False
Banco Galicia,legit_aug_banco-galicia_v1_20251130T221009.png,BANCO (AUG),Banco Galicia,0.9775807,True,True,False,False
Banco Galicia,legit_aug_banco-galicia_v9_20251130T221009.png,BANCO (AUG),Banco Galicia,0.9758003,True,True,False,False
Banco Galicia,legit_aug_banco-galicia_v8_20251130T221009.png,BANCO (AUG),Banco Galicia,0.9708088,True,True,False,False
Banco Galicia,legit_aug_hsbc-méxico_v7_20251130T221004.png,BANCO (AUG),HSBC México,0.96189785,True,False,True,False
Banco Galicia,legit_aug_hsbc-méxico_v2_20251130T221004.png,BANCO (AUG),HSBC México,0.9591712,True,False,True,False
Banco Galicia,legit_aug_scotiabank-perú_v3_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.95665777,True,False,True,False
Banco Galicia,legit_aug_banco-bolivariano_v0_20251130T221020.png,BANCO (AUG),Banco Bolivariano,0.9560136,True,False,True,False
Banco Galicia,legit_aug_scotiabank-perú_v8_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.955865,True,False,True,False
Banco Galicia,legit_aug_hsbc-méxico_v8_20251130T221004.png,BANCO (AUG),HSBC México,0.9557193,True,False,True,False
Banco Galicia,legit_aug_scotiabank-perú_v7_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.9553329,True,False,True,False
Banco Galicia,legit_aug_hsbc-méxico_v3_20251130T221004.png,BANCO (AUG),HSBC México,0.95507705,True,False,True,False
Banco Galicia,legit_aug_banistmo_v5_20251130T221014.png,BANCO (AUG),Banistmo,0.9538386,True,False,True,False
Banco Galicia,legit_hsbc-m-xico_20251102T191338.png,BANCO (REF),HSBC México,0.95346195,True,False,True,False
Banco Galicia,legit_aug_scotiabank-perú_v6_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.95337945,True,False,True,False
Banco Galicia,legit_aug_hsbc-méxico_v5_20251130T221004.png,BANCO (AUG),HSBC México,0.9529551,True,False,True,False
Banco Galicia,legit_aug_scotiabank-perú_v9_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.950894,True,False,True,False
Banco Galicia,legit_aug_hsbc-méxico_v4_20251130T221004.png,BANCO (AUG),HSBC México,0.9505138,True,False,True,False
Banco Galicia,legit_aug_scotiabank-perú_v0_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.9495815,True,False,True,False
Banco Galicia,legit_aug_hsbc-méxico_v9_20251130T221004.png,BANCO (AUG),HSBC México,0.9491773,True,False,True,False
Banco Galicia,legit_aug_hsbc-méxico_v0_20251130T221003.png,BANCO (AUG),HSBC México,0.94884086,True,False,True,False
Banco Galicia,legit_aug_scotiabank-perú_v4_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.9480783,True,False,True,False
Banco Galicia,legit_aug_banistmo_v9_20251130T221014.png,BANCO (AUG),Banistmo,0.94758475,True,False,True,False
Banco Galicia,legit_aug_hsbc-méxico_v6_20251130T221004.png,BANCO (AUG),HSBC México,0.9474015,True,False,True,False
Banco Galicia,legit_aug_banistmo_v6_20251130T221014.png,BANCO (AUG),Banistmo,0.9463672,True,False,True,False
Banco Galicia,random_mit-edu_20251129T164041.png,RANDOM,unknown,0.94604367,True,False,True,False
Banco Galicia,legit_aug_bbva-colombia_v6_20251130T221007.png,BANCO (AUG),BBVA Colombia,0.9448749,True,False,True,False
Banco Galicia,legit_aug_banistmo_v4_20251130T221014.png,BANCO (AUG),Banistmo,0.943381,True,False,True,False
Banco Galicia,legit_aug_scotiabank-perú_v2_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.94308865,True,False,True,False
Banco Galicia,random_yandex-net_20251129T163019.png,RANDOM,unknown,0.9404459,True,False,True,False
Banco Galicia,legit_aug_scotiabank-perú_v1_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.9403167,True,False,True,False
